date, pm25, o3, no2, so2, co
2019/1/20, 11, 28, , , 
2019/1/21, 17, 33, , , 
2019/1/22, 19, 26, , , 
2019/1/23, 20, 29, , , 
2019/1/24, 10, 29, , , 
2019/1/25, 18, 26, , , 
2019/1/26, 19, 31, , , 
2019/1/27, 20, 33, , , 
2019/1/28, 14, 35, , , 
2019/1/29, 22, 29, , , 
2019/1/30, 9, 27, , , 
2019/1/31, 19, 23, , , 
2019/2/1, 22, 21, , , 
2019/2/2, 20, 20, , , 
2019/2/3, 31, 25, , , 
2019/2/4, 33, 19, , , 
2019/2/5, 53, 23, , , 
2019/2/6, 64, 19, , , 
2019/2/7, 55, 21, , , 
2019/2/8, 32, 21, , , 
2019/2/9, 18, 22, , , 
2019/2/10, 26, 15, , , 
2019/2/11, 19, 10, , , 
2019/2/12, 29, 30, , , 
2019/2/13, 16, 32, , , 
2019/2/14, 15, 37, , , 
2019/2/15, 22, 37, , , 
2019/2/16, 35, 19, , , 
2019/2/17, 35, 29, , , 
2019/2/18, 33, 28, , , 
2019/2/19, 16, 19, , , 
2019/2/20, 14, 30, , , 
2019/2/21, 13, 21, , , 
2019/2/22, 21, 15, , , 
2019/2/23, 17, 40, , , 
2019/2/24, 13, 37, , , 
2019/2/25, 18, 32, , , 
2019/2/26, 23, 23, , , 
2019/2/27, 27, 27, , , 
2019/2/28, 22, 14, , , 
2019/3/1, 19, 10, , , 
2019/3/2, 47, 7, , , 
2019/3/3, 38, 24, , , 
2019/3/4, 12, 29, , , 
2019/3/5, 16, 34, , , 
2019/3/6, 20, 39, , , 
2019/3/7, 21, 32, , , 
2019/3/8, 23, 24, , , 
2019/3/9, 24, 37, , , 
2019/3/10, 25, 24, , , 
2019/3/11, 46, 20, , , 
2019/3/12, 41, 18, , , 
2019/3/13, 27, 37, , , 
2019/3/14, 28, 38, , , 
2019/3/15, 31, 35, , , 
2019/3/16, 12, 40, , , 
2019/3/17, 12, 44, , , 
2019/3/18, 21, 41, , , 
2019/3/19, 32, 43, , , 
2019/3/20, 41, 40, , , 
2019/3/21, 42, 51, , , 
2019/3/22, 22, 51, , , 
2019/3/23, 35, 41, , , 
2019/3/24, 31, 34, , , 
2019/3/25, 29, 44, , , 
2019/3/26, 31, 41, , , 
2019/3/27, 24, 43, , , 
2019/3/28, 34, 41, , , 
2019/3/29, 27, 36, , , 
2019/3/30, 23, 30, , , 
2019/3/31, 13, 36, , , 
2019/4/1, 14, 34, , , 
2018/10/2, 21, 22, , , 
2018/10/3, 20, 25, , , 
2018/10/4, 22, 26, , , 
2018/10/5, 21, 24, , , 
2018/10/6, 21, 25, , , 
2018/10/7, 24, 21, , , 
2018/10/8, 22, 19, , , 
2018/10/9, 21, 19, , , 
2018/10/10, 15, 22, , , 
2018/10/11, 13, 25, , , 
2018/10/12, 15, 33, , , 
2018/10/13, 28, 23, , , 
2018/10/14, 25, 22, , , 
2018/10/15, 24, 14, , , 
2018/10/16, 4, 15, , , 
2018/10/17, 6, 17, , , 
2018/10/18, 10, 19, , , 
2018/10/19, 23, 11, , , 
2018/10/20, 22, 21, , , 
2018/10/21, 15, 32, , , 
2018/10/22, 16, 22, , , 
2018/10/23, 23, 26, , , 
2018/10/24, 20, 18, , , 
2018/10/25, 21, 20, , , 
2018/10/26, 5, 30, , , 
2018/10/27, 24, 31, , , 
2018/10/28, 27, 37, , , 
2018/10/29, 24, 31, , , 
2018/10/30, 24, 29, , , 
2018/10/31, 21, 20, , , 
2018/11/1, 15, 28, , , 
2018/11/2, 13, 28, , , 
2018/11/3, 16, 34, , , 
2018/11/4, 22, 24, , , 
2018/11/5, 13, 28, , , 
2018/11/6, 37, 14, , , 
2018/11/7, 37, 25, , , 
2018/11/8, 40, 10, , , 
2018/11/9, 20, 23, , , 
2018/11/10, 9, 24, , , 
2018/11/11, 13, 22, , , 
2018/11/12, 24, 23, , , 
2018/11/13, 10, 25, , , 
2018/11/14, 14, 26, , , 
2018/11/15, 16, 26, , , 
2018/11/16, 25, 33, , , 
2018/11/17, 25, 31, , , 
2018/11/18, 29, 15, , , 
2018/11/19, 17, 15, , , 
2018/11/20, 17, 26, , , 
2018/11/21, 26, 21, , , 
2018/11/22, 30, 28, , , 
2018/11/23, 29, 27, , , 
2018/11/24, 21, 29, , , 
2018/11/25, 25, 26, , , 
2018/11/26, 25, 25, , , 
2018/11/27, 18, 24, , , 
2018/11/28, 19, 29, , , 
2018/11/29, 23, 23, , , 
2018/11/30, 24, 22, , , 
2018/12/1, 22, 30, , , 
2018/12/2, 12, 26, , , 
2018/12/3, 16, 24, , , 
2018/12/4, 12, 19, , , 
2018/12/5, 10, 17, , , 
2018/12/6, 21, 20, , , 
2018/12/7, 22, 9, , , 
2018/12/8, 7, 10, , , 
2018/12/9, 8, 20, , , 
2018/12/10, 16, 26, , , 
2018/12/11, 16, 28, , , 
2018/12/12, 18, 23, , , 
2018/12/13, 16, 27, , , 
2018/12/14, 12, 24, , , 
2018/12/15, 8, 30, , , 
2018/12/16, 10, 13, , , 
2018/12/17, 25, 25, , , 
2018/12/18, 21, 20, , , 
2018/12/19, 23, 14, , , 
2018/12/20, 25, 28, , , 
2018/12/21, 9, 26, , , 
2018/12/22, 9, 31, , , 
2018/12/23, 25, 26, , , 
2018/12/24, 18, 20, , , 
2018/12/25, 32, 25, , , 
2018/12/26, 21, 24, , , 
2018/12/27, 12, 29, , , 
2018/12/28, 11, 17, , , 
2018/12/29, 16, 15, , , 
2018/12/30, 19, 12, , , 
2018/12/31, 26, , , , 
2018/7/2, 97, 25, , , 
2018/7/3, 71, 34, , , 
2018/7/4, 68, 22, , , 
2018/7/5, 53, 29, , , 
2018/7/6, 54, 38, , , 
2018/7/7, 36, 31, , , 
2018/7/8, 23, 36, , , 
2018/7/9, 21, 14, , , 
2018/7/10, 34, 25, , , 
2018/7/11, 58, 30, , , 
2018/7/12, 53, 28, , , 
2018/7/13, 52, 26, , , 
2018/7/14, 51, 26, , , 
2018/7/15, 38, 23, , , 
2018/7/16, 82, 28, , , 
2018/7/17, 100, 31, , , 
2018/7/18, 74, 39, , , 
2018/7/19, 61, 36, , , 
2018/7/20, 54, 35, , , 
2018/7/21, 55, 32, , , 
2018/7/22, 62, 34, , , 
2018/7/23, 64, 44, , , 
2018/7/24, 48, 44, , , 
2018/7/25, 45, 64, , , 
2018/7/26, 53, 62, , , 
2018/7/27, 47, 62, , , 
2018/7/28, 48, 39, , , 
2018/7/29, 55, 36, , , 
2018/7/30, 62, 45, , , 
2018/7/31, 39, 62, , , 
2018/8/1, 34, 54, , , 
2018/8/2, 27, 64, , , 
2018/8/3, 39, 58, , , 
2018/8/4, 45, 30, , , 
2018/8/5, 30, 25, , , 
2018/8/6, 48, 30, , , 
2018/8/7, 18, 29, , , 
2018/8/8, 22, 31, , , 
2018/8/9, 20, 36, , , 
2018/8/10, 19, 36, , , 
2018/8/11, 28, 25, , , 
2018/8/12, 39, 20, , , 
2018/8/13, 56, 21, , , 
2018/8/14, 78, 23, , , 
2018/8/15, 77, 28, , , 
2018/8/16, 41, 27, , , 
2018/8/17, 43, 28, , , 
2018/8/18, 35, 22, , , 
2018/8/19, 43, 29, , , 
2018/8/20, 30, 37, , , 
2018/8/21, 28, 37, , , 
2018/8/22, 27, 39, , , 
2018/8/23, 27, 47, , , 
2018/8/24, 36, 34, , , 
2018/8/25, 30, 34, , , 
2018/8/26, 32, 34, , , 
2018/8/27, 40, 26, , , 
2018/8/28, 28, 24, , , 
2018/8/29, 22, 25, , , 
2018/8/30, 23, 34, , , 
2018/8/31, 23, 37, , , 
2018/9/1, 15, 37, , , 
2018/9/2, 16, 27, , , 
2018/9/3, 15, 23, , , 
2018/9/4, 30, 24, , , 
2018/9/5, 19, 26, , , 
2018/9/6, 22, 33, , , 
2018/9/7, 22, 22, , , 
2018/9/8, 28, 18, , , 
2018/9/9, 20, 18, , , 
2018/9/10, 12, 19, , , 
2018/9/11, 17, 20, , , 
2018/9/12, 11, 24, , , 
2018/9/13, 16, 23, , , 
2018/9/14, 18, 18, , , 
2018/9/15, 20, 20, , , 
2018/9/16, 16, 22, , , 
2018/9/17, 18, 27, , , 
2018/9/18, 19, 24, , , 
2018/9/19, 26, 27, , , 
2018/9/20, 29, 17, , , 
2018/9/21, 28, 12, , , 
2018/9/22, 24, 16, , , 
2018/9/23, 8, 14, , , 
2018/9/24, 8, 29, , , 
2018/9/25, 21, 21, , , 
2018/9/26, 26, 28, , , 
2018/9/27, 25, 35, , , 
2018/9/28, 17, 32, , , 
2018/9/29, 35, 18, , , 
2018/9/30, 21, 25, , , 
2018/10/1, 21, 23, , , 
2018/4/2, 27, 24, 5, , 
2018/4/3, 33, 30, 2, , 
2018/4/4, 40, 38, 4, , 
2018/4/5, 15, 37, 7, , 
2018/4/6, 33, 28, 2, , 
2018/4/7, 37, 25, 1, , 
2018/4/8, 8, 27, 4, , 
2018/4/9, 24, 30, 5, , 
2018/4/10, 45, 41, 5, , 
2018/4/11, 26, 48, 8, 1, 
2018/4/12, 22, 35, 3, , 
2018/4/13, 28, 29, 2, , 
2018/4/14, 51, 40, , , 
2018/4/15, 25, 42, 3, , 
2018/4/16, 31, 46, 7, , 
2018/4/17, 28, 43, 4, , 
2018/4/18, 27, 54, 3, , 
2018/4/19, 44, 42, 3, , 
2018/4/20, 14, 41, 5, , 
2018/4/21, 26, 31, 5, , 
2018/4/22, 45, 37, 1, , 
2018/4/23, 9, 46, 4, , 
2018/4/24, 19, 54, 9, , 
2018/4/25, 29, 42, 3, , 
2018/4/26, 24, 45, 4, , 
2018/4/27, 12, 52, 6, , 
2018/4/28, 22, 60, 5, , 
2018/4/29, 29, 49, 4, , 
2018/4/30, 31, 37, 3, , 
2018/5/1, 28, 30, 3, , 
2018/5/2, 31, 24, 3, , 
2018/5/3, 44, 26, 3, , 
2018/5/4, 55, 31, , , 
2018/5/5, 28, 43, , , 
2018/5/6, 19, 55, , , 
2018/5/7, 31, 62, , , 
2018/5/8, 34, 44, , , 
2018/5/9, 26, 44, , , 
2018/5/10, 32, 43, , , 
2018/5/11, 36, 35, , , 
2018/5/12, 33, 32, , , 
2018/5/13, 43, 28, , , 
2018/5/14, 45, 28, , , 
2018/5/15, 33, 33, , , 
2018/5/16, 41, 50, , , 
2018/5/17, 30, 44, , , 
2018/5/18, 30, 37, , , 
2018/5/19, 38, 28, , , 
2018/5/20, 39, 24, , , 
2018/5/21, 19, 31, , , 
2018/5/22, 19, 29, , , 
2018/5/23, 23, 29, , , 
2018/5/24, 20, 36, , , 
2018/5/25, 21, 40, , , 
2018/5/26, 20, 41, , , 
2018/5/27, 28, 39, , , 
2018/5/28, 24, 44, , , 
2018/5/29, 25, 44, , , 
2018/5/30, 25, 30, , , 
2018/5/31, 16, 33, , , 
2018/6/1, 26, 34, , , 
2018/6/2, 54, 35, , , 
2018/6/3, 45, 35, , , 
2018/6/4, 38, 40, , , 
2018/6/5, 31, 35, , , 
2018/6/6, 28, 32, , , 
2018/6/7, 30, 30, , , 
2018/6/8, 30, 29, , , 
2018/6/9, 31, 25, , , 
2018/6/10, 45, 22, , , 
2018/6/11, 66, 23, , , 
2018/6/12, 53, 25, , , 
2018/6/13, 35, 25, , , 
2018/6/14, 32, 27, , , 
2018/6/15, 25, 24, , , 
2018/6/16, 23, 23, , , 
2018/6/17, 39, 23, , , 
2018/6/18, 30, 24, , , 
2018/6/19, 13, 13, , , 
2018/6/20, 15, 18, , , 
2018/6/21, 16, 26, , , 
2018/6/22, 32, 38, , , 
2018/6/23, 52, 24, , , 
2018/6/24, 37, 24, , , 
2018/6/25, 32, 25, , , 
2018/6/26, 33, 24, , , 
2018/6/27, 34, 27, , , 
2018/6/28, 28, 16, , , 
2018/6/29, 29, 18, , , 
2018/6/30, 61, 21, , , 
2018/7/1, 97, 23, , , 
2018/1/2, 13, 22, 4, , 
2018/1/3, 17, 24, 6, , 
2018/1/4, 20, 22, 16, , 
2018/1/5, 27, 28, 15, 1, 
2018/1/6, 26, 29, 10, , 
2018/1/7, 41, 29, 3, , 
2018/1/8, 19, 29, 3, , 
2018/1/9, 15, 25, 12, , 
2018/1/10, 16, 29, 6, 1, 
2018/1/11, 27, 25, 3, , 
2018/1/12, 19, 27, 3, , 
2018/1/13, 12, 24, 8, , 
2018/1/14, 15, 30, 11, 1, 
2018/1/15, 27, 30, 7, , 
2018/1/16, 20, 27, 1, , 
2018/1/17, 10, 24, 9, , 
2018/1/18, 17, 20, 13, , 
2018/1/19, 22, 17, 13, 1, 
2018/1/20, 28, 22, 6, , 
2018/1/21, 18, 23, 3, , 
2018/1/22, 31, 31, 1, , 
2018/1/23, 13, 29, 8, , 
2018/1/24, 12, 32, 13, , 
2018/1/25, 27, 34, 13, , 
2018/1/26, 27, 29, 7, , 
2018/1/27, 31, 22, 3, , 
2018/1/28, 21, 33, 4, , 
2018/1/29, 19, 30, 4, , 
2018/1/30, 17, 22, 12, 1, 
2018/1/31, 19, 32, 5, , 
2018/2/1, 22, 35, 3, , 
2018/2/2, 27, 28, 4, , 
2018/2/3, 16, 21, 7, , 
2018/2/4, 28, 27, 5, , 
2018/2/5, 38, 16, 8, , 
2018/2/6, 35, 9, 8, , 
2018/2/7, 35, 21, 5, , 
2018/2/8, 24, 24, 8, , 
2018/2/9, 28, 15, 10, , 
2018/2/10, 37, 14, 5, , 
2018/2/11, 34, 24, 3, , 
2018/2/12, 23, 22, 5, , 
2018/2/13, 27, 7, 10, , 
2018/2/14, 41, 8, 10, , 
2018/2/15, 28, 16, 4, , 
2018/2/16, 25, 30, 4, , 
2018/2/17, 25, 20, 6, , 
2018/2/18, 28, 18, 4, , 
2018/2/19, 28, 21, 2, , 
2018/2/20, 34, 18, 3, , 
2018/2/21, 37, 15, 3, , 
2018/2/22, 11, 13, 3, , 
2018/2/23, 14, 6, 9, , 
2018/2/24, 25, 14, 4, , 
2018/2/25, 41, 25, 5, , 
2018/2/26, 20, 27, 7, , 
2018/2/27, 20, 22, 5, , 
2018/2/28, 31, 25, 4, , 
2018/3/1, 39, 26, 2, , 
2018/3/2, 29, 34, 6, , 
2018/3/3, 28, 34, 6, , 
2018/3/4, 38, 27, 2, , 
2018/3/5, 30, 35, 2, , 
2018/3/6, 18, 38, 6, , 
2018/3/7, 9, 39, 4, , 
2018/3/8, 19, 42, 7, , 
2018/3/9, 26, 39, 4, 1, 
2018/3/10, 28, 41, 2, , 
2018/3/11, 28, 38, 1, , 
2018/3/12, 33, 39, 3, , 
2018/3/13, 29, 47, 8, , 
2018/3/14, 30, 49, 8, , 
2018/3/15, 49, 43, 7, , 
2018/3/16, 42, 37, 3, , 
2018/3/17, 25, 30, 3, , 
2018/3/18, 50, 28, 1, , 
2018/3/19, 45, 41, , , 
2018/3/20, 33, 34, 1, , 
2018/3/21, 10, 42, 8, , 
2018/3/22, 20, 43, 6, , 
2018/3/23, 30, 37, 3, , 
2018/3/24, 34, 34, 2, , 
2018/3/25, 40, 27, 3, , 
2018/3/26, 37, 33, 2, , 
2018/3/27, 45, 29, 2, , 
2018/3/28, 34, 30, 3, , 
2018/3/29, 13, 39, 4, , 
2018/3/30, 21, 37, 4, , 
2018/3/31, 22, 45, 3, , 
2018/4/1, 31, 36, 2, , 
2017/10/2, 45, 38, 7, , 
2017/10/3, 48, 23, 5, , 
2017/10/4, 25, 32, 5, , 
2017/10/5, 23, 39, 6, , 
2017/10/6, 34, 36, 6, , 
2017/10/7, 31, 31, 2, , 
2017/10/8, 30, 42, 4, , 
2017/10/9, 29, 30, 4, , 
2017/10/10, 29, 25, 1, , 
2017/10/11, 12, 21, 4, , 
2017/10/12, 14, 42, 8, , 
2017/10/13, 37, 27, 6, , 
2017/10/14, 41, 31, 4, , 
2017/10/15, 42, 32, 1, , 
2017/10/16, 9, 36, 3, , 
2017/10/17, 11, 34, 9, , 
2017/10/18, 23, 44, 11, 1, 
2017/10/19, 36, 34, 8, , 
2017/10/20, 34, 26, 7, , 
2017/10/21, 28, 23, 3, , 
2017/10/22, 13, 30, 1, , 
2017/10/23, 11, 40, 6, , 
2017/10/24, 12, 34, 2, , 
2017/10/25, 9, 33, 4, , 
2017/10/26, 8, 41, 5, 1, 
2017/10/27, 13, 28, 1, , 
2017/10/28, 14, 32, 2, , 
2017/10/29, 10, 34, 3, , 
2017/10/30, 12, 37, 8, 1, 
2017/10/31, 19, 23, 6, , 
2017/11/1, 14, 28, 7, 1, 
2017/11/2, 32, 30, 5, , 
2017/11/3, 58, 28, 5, , 
2017/11/4, 52, 21, 4, , 
2017/11/5, 39, 22, 4, , 
2017/11/6, 40, 27, 5, , 
2017/11/7, 24, 18, 3, , 
2017/11/8, 22, 12, 3, , 
2017/11/9, 14, 7, 3, , 
2017/11/10, 19, 24, 6, , 
2017/11/11, 26, 30, 6, , 
2017/11/12, 31, 32, 4, , 
2017/11/13, 25, 31, 7, , 
2017/11/14, 42, 30, 5, , 
2017/11/15, 24, 26, 7, , 
2017/11/16, 35, 31, 9, , 
2017/11/17, 34, 26, 3, , 
2017/11/18, 13, 31, 1, , 
2017/11/19, 14, 31, 6, , 
2017/11/20, 11, 19, 10, , 
2017/11/21, 22, 29, , , 
2017/11/22, 24, 29, , , 
2017/11/23, 15, 31, 5, , 
2017/11/24, 20, 39, 7, 1, 
2017/11/25, 19, 40, 8, , 
2017/11/26, 34, 40, 7, , 
2017/11/27, 41, 41, 9, , 
2017/11/28, 40, 37, 9, , 
2017/11/29, 25, 27, 4, , 
