date, pm25, o3, no2, co
2021/9/5, 29, 37, 3, 
2021/9/6, 27, 36, 2, 
2021/9/7, 41, 35, 2, 
2021/9/8, 46, 31, 2, 
2021/9/9, 26, 32, 5, 
2021/9/10, 21, 35, 4, 
2021/9/11, 33, 38, 5, 
2021/9/12, 51, 33, 2, 
2021/9/13, 51, 46, 4, 
2021/9/14, 47, 39, 3, 
2021/9/15, 44, 31, 5, 
2021/9/16, 29, 35, 2, 
2021/9/17, 32, 33, 6, 
2021/9/18, 32, 36, 4, 
2021/9/19, 29, 33, 2, 
2021/9/20, 33, 27, 1, 
2021/9/21, 27, 26, 1, 
2021/9/22, 20, 23, 3, 
2021/9/23, 25, 30, 9, 
2021/9/24, 36, 29, 4, 
2021/9/25, 27, 32, 4, 
2021/9/26, 23, 39, 5, 
2021/9/27, 30, 47, 8, 
2021/9/28, 44, 39, 5, 
2021/9/29, 49, 36, 5, 
2021/9/30, 54, 29, 4, 
2021/10/1, 57, 20, 3, 
2021/4/2, 29, 40, 3, 
2021/4/3, 46, 45, 4, 
2021/4/4, 65, 43, 6, 
2021/4/5, 77, 39, 2, 
2021/4/6, 51, 32, 3, 
2021/4/7, 43, 34, 4, 
2021/4/8, 35, 24, 3, 
2021/4/9, 12, 20, 1, 
2021/4/10, 7, 26, 2, 
2021/4/11, 13, 37, 1, 
2021/4/12, 18, 31, 2, 
2021/4/13, 13, 32, 2, 
2021/4/14, 11, 24, 2, 
2021/4/15, 13, 19, 2, 
2021/4/16, 21, 22, 6, 
2021/4/17, 32, 37, 3, 
2021/4/18, 36, 38, 3, 
2021/4/19, 25, 32, 2, 
2021/4/20, 18, 32, 3, 
2021/4/21, 20, 33, 7, 
2021/4/22, 23, 41, 5, 
2021/4/23, 31, 37, 4, 
2021/4/24, 33, 30, 4, 
2021/4/25, 46, 31, 4, 
2021/4/26, 30, 40, 3, 
2021/4/27, 33, 39, 4, 
2021/4/28, 34, 29, 4, 
2021/4/29, 39, 39, 3, 
