date, pm25, pm10, o3, no2
2022/5/4, 36, 24, 35, 4
2022/5/5, 32, 23, 36, 3
2022/5/6, 25, 20, 36, 2
2022/5/7, 19, 17, 38, 2
2022/5/8, 29, 11, 37, 1
2022/5/9, 17, 18, 44, 6
2022/5/10, 27, 30, 45, 8
2022/5/11, 35, 29, 39, 4
2022/5/12, 46, 18, 29, 4
2022/5/13, 19, 19, 37, 3
2022/5/14, 21, 19, 39, 4
2022/5/15, 27, 20, 33, 3
2022/5/16, 32, 18, 33, 5
2022/5/17, 27, 21, 35, 5
2022/5/18, 29, 19, 40, 6
2022/5/19, 24, 23, 33, 4
2022/5/20, 33, 27, 32, 3
2022/5/21, 42, 20, 39, 4
2022/5/22, 27, 30, 36, 5
2022/5/23, 50, 24, 33, 1
2022/5/24, 23, 15, 31, 2
2022/5/25, 81, 13, 29, 3
2022/5/26, 11, 10, 30, 1
2022/5/27, 14, 9, 32, 1
2022/5/28, 13, 11, 40, 1
2022/5/29, 10, 11, 37, 1
2022/5/30, 17, 14, 42, 2
2022/5/31, 13, 21, 38, 4
2022/6/1, 19, 12, 36, 4
2022/6/2, 15, 22, 39, 4
2022/6/3, 23, 19, 34, 5
2022/6/4, 24, 14, 33, 2
2022/6/5, 26, 15, 36, 
2022/6/6, 18, 11, 32, 2
2022/6/7, 15, 18, 26, 1
2022/6/8, 16, 13, 24, 3
2022/6/9, 8, 18, 23, 4
2022/6/10, 16, 15, 34, 4
2022/6/11, 12, 13, 39, 2
2022/6/12, 12, 16, 42, 3
2022/6/13, 22, 19, 42, 2
2022/6/14, 21, 18, 59, 7
2022/6/15, 19, 25, 49, 7
2022/6/16, 34, 28, 64, 9
2022/6/17, 37, 32, 52, 10
2022/6/18, 44, 35, 66, 7
2022/6/19, 49, 28, 33, 2
2022/6/20, 43, 15, 38, 3
2022/6/21, 21, 17, 32, 3
2022/6/22, 26, 10, 35, 3
2022/6/23, 14, 12, 35, 3
2022/6/24, 13, , , 
2022/6/28, 23, 11, 29, 2
2022/6/29, 27, 13, 23, 4
2022/6/30, 28, 8, 24, 4
2022/7/1, 23, 11, 34, 7
2022/1/4, 35, 14, 25, 8
2022/1/5, 29, 21, 20, 12
2022/1/6, 47, 39, 16, 23
2022/1/7, 85, 20, 26, 10
2022/1/8, 44, 16, 32, 4
2022/1/9, 36, 20, 29, 6
2022/1/10, 50, 8, 22, 9
2022/1/11, 24, 16, 16, 10
2022/1/12, 47, 16, 15, 9
2022/1/13, 52, 26, 13, 11
2022/1/14, 79, 32, 11, 11
2022/1/15, 83, 46, 1, 14
2022/1/16, 170, 47, 7, 12
2022/1/17, 143, 31, 14, 11
2022/1/18, 92, 21, 8, 12
2022/1/19, 67, 24, 7, 13
2022/1/20, 69, 15, 16, 10
2022/1/21, 61, 18, 24, 8
2022/1/22, 39, 16, 24, 9
2022/1/23, 40, 27, 18, 10
2022/1/24, 74, 41, 14, 17
2022/1/25, 128, 57, 8, 20
2022/1/26, 142, 62, 11, 14
2022/1/27, 136, 23, 14, 8
2022/1/28, 67, 28, 14, 13
2022/1/29, 82, 13, 10, 6
2022/1/30, 56, 11, 15, 7
2022/1/31, 45, 11, 28, 6
2022/2/1, 23, 23, 30, 10
2022/2/2, 37, 9, 28, 8
2022/2/3, 18, 15, 23, 9
2022/2/4, 35, 16, 24, 13
2022/2/5, 35, 18, 29, 8
2022/2/6, 34, 16, 30, 5
2022/2/7, 47, 19, 30, 5
2022/2/8, 31, 21, 25, 12
2022/2/9, 53, 32, 26, 17
2022/2/10, 56, 40, 28, 14
2022/2/11, 79, 18, 25, 8
2022/2/12, 42, 18, 21, 13
2022/2/13, 63, 26, 27, 9
2022/2/14, 70, 12, 30, 5
2022/2/15, 24, 14, 31, 10
2022/2/16, 30, 11, 30, 2
2022/2/17, 23, 7, 25, 3
2022/2/18, 14, 15, 28, 4
2022/2/19, 23, 17, 30, 7
2022/2/20, 34, 15, 30, 3
2022/2/21, 29, 34, 32, 2
2022/2/22, 58, 35, 30, 7
2022/2/23, 57, 28, 29, 14
2022/2/24, 47, 25, 32, 9
2022/2/25, 72, 25, 29, 11
2022/2/26, 29, 14, 29, 9
2022/2/27, 42, 19, 27, 6
2022/2/28, 33, 32, 26, 16
2022/3/1, 51, 34, 33, 14
2022/3/2, 49, 17, 28, 6
2022/3/3, 36, 13, 24, 7
2022/3/4, 19, 13, 29, 4
2022/3/5, 21, 14, 33, 4
2022/3/6, 23, 17, 34, 4
2022/3/7, 49, 28, 30, 10
2022/3/8, 64, 17, 24, 9
2022/3/9, 46, 10, 28, 9
2022/3/10, 26, 14, 25, 9
2022/3/11, 34, 14, 26, 10
2022/3/12, 35, 9, 33, 7
2022/3/13, 17, 11, 35, 4
2022/3/14, 17, 9, 31, 4
2022/3/15, 19, 21, 34, 3
2022/3/16, 25, 38, 29, 6
2022/3/17, 46, 25, 22, 5
2022/3/18, 32, 21, 20, 5
2022/3/19, 43, 27, 35, 7
2022/3/20, 47, 20, 31, 3
2022/3/21, 44, 13, 38, 5
2022/3/22, 20, 25, 40, 5
2022/3/23, 41, 21, 43, 6
2022/3/24, 43, 21, 42, 9
2022/3/25, 52, 24, 38, 13
2022/3/26, 49, 17, 42, 7
2022/3/27, 41, 27, 42, 8
2022/3/28, 55, 35, 36, 12
2022/3/29, 56, 48, 29, 12
2022/3/30, 66, 35, 34, 6
2022/3/31, 56, 23, 35, 4
2022/4/1, 49, 13, 34, 3
2021/10/2, 22, 8, 22, 5
2021/10/3, 22, 9, 26, 4
2021/10/4, 26, 12, , 6
2021/10/31, 27, 6, 22, 3
2021/11/1, 20, 9, 30, 2
2021/11/2, 19, 8, 31, 7
2021/11/3, 17, 9, 24, 9
2021/11/4, 26, 20, 11, 11
2021/11/5, 59, 17, 17, 10
2021/11/6, 64, 13, 24, 6
2021/11/7, 43, 17, 22, 9
2021/11/8, 47, 18, 21, 6
2021/11/9, 40, 24, 23, 11
2021/11/10, 57, 27, 13, 11
2021/11/11, 78, 28, 12, 10
2021/11/12, 86, 36, 19, 10
2021/11/13, 90, 17, 24, 7
2021/11/14, 48, 11, 16, 3
2021/11/15, 29, 11, 12, 4
2021/11/16, 45, 15, 11, 4
2021/11/17, 52, 22, 12, 10
2021/11/18, 45, 21, 18, 8
2021/11/19, 68, 19, 12, 8
2021/11/20, 74, 37, 12, 11
2021/11/21, 105, 30, 7, 7
2021/11/22, 110, 13, 11, 7
2021/11/23, 46, 15, 13, 5
2021/11/24, 32, 12, 13, 7
2021/11/25, 47, 15, 18, 4
2021/11/26, 58, 16, 11, 8
2021/11/27, 54, 7, , 4
2021/11/28, 22, 9, 25, 3
2021/11/29, 30, 17, 18, 11
2021/11/30, 45, 23, 10, 11
2021/12/1, 78, 13, 24, 9
2021/12/2, 37, 11, 20, 9
2021/12/3, 27, 12, 27, 9
2021/12/4, 30, 10, 29, 2
2021/12/5, 23, 8, 27, 2
2021/12/6, 23, 16, 26, 11
2021/12/7, 34, 13, 25, 8
2021/12/8, 37, 10, 26, 14
2021/12/9, 25, 7, 25, 14
2021/12/10, 22, 14, 31, 3
2021/12/11, 32, 18, 22, 13
2021/12/12, 56, 13, 16, 7
2021/12/13, 47, 22, 18, 9
2021/12/14, 51, 45, 4, 13
2021/12/15, 114, 18, 2, 8
2021/12/16, 62, , 5, 9
2021/12/17, 45, 33, 5, 11
2021/12/18, 73, 30, 8, 14
2021/12/19, 98, 35, 8, 11
2021/12/20, 126, 28, 5, 11
2021/12/21, 88, 40, 3, 13
2021/12/22, 109, 26, 14, 11
2021/12/23, 92, 17, 14, 7
2021/12/24, 52, 14, 11, 7
2021/12/25, 46, 21, 10, 11
2021/12/26, 58, 16, 20, 8
2021/12/27, 51, 17, 28, 3
2021/12/28, 37, 12, 31, 1
2021/12/29, 27, 15, 26, 4
2021/12/30, 29, 12, 18, 8
2021/12/31, 28, 19, 7, 11
