date, pm25, pm10, o3, no2
2021/7/23, 17, 15, 18, 7
2021/7/24, 40, 15, 24, 3
2021/7/25, 44, 12, 29, 5
2021/7/26, 41, 13, 29, 9
2021/7/27, 35, 9, 33, 5
2021/7/28, 32, 7, 35, 4
2021/7/29, 27, 5, 34, 7
2021/7/30, 16, 10, 28, 2
2021/7/31, 31, 6, 24, 7
2021/8/1, 14, 5, 25, 3
2021/8/2, 8, 6, 25, 3
2021/8/3, 10, 38, 24, 2
2021/8/4, 19, 5, 29, 4
2021/8/5, 12, 6, 39, 4
2021/8/6, 17, 5, 34, 6
2021/8/7, 14, 5, 34, 2
2021/8/8, 11, 6, 34, 5
2021/8/9, 17, 5, 21, 8
2021/8/10, 13, 6, 26, 3
2021/8/11, 17, 6, 29, 5
2021/8/12, 14, 5, 27, 3
2021/8/13, 16, 6, 26, 2
2021/8/14, 17, 5, 24, 1
2021/8/15, 14, 4, 24, 5
2021/8/16, 12, 3, 19, 5
2021/8/17, 7, 7, 30, 5
2021/8/18, 18, 5, 29, 2
2021/8/19, 9, 5, 29, 3
2021/8/20, 9, 4, 26, 2
2021/8/21, 8, 4, 26, 3
2021/8/22, 9, 5, 26, 7
2021/8/23, 13, 36, 28, 6
2021/8/24, 27, 7, 26, 2
2021/8/25, 15, 5, 22, 2
2021/8/26, 11, 6, 25, 5
2021/8/27, 17, 6, 24, 7
2021/8/28, 7, 5, 24, 7
2021/8/29, 10, 6, 21, 4
2021/8/30, 14, 8, 24, 3
2021/8/31, 20, 9, 27, 3
2021/9/1, 16, 10, 26, 3
2021/9/2, 31, 7, 26, 4
2021/9/3, 19, 9, 28, 1
2021/9/4, 23, 5, 29, 2
2021/9/5, 10, 6, 32, 5
2021/9/6, 16, 7, 30, 2
2021/9/7, 21, 4, 30, 3
2021/9/8, 15, 4, 22, 4
2021/9/9, 13, 22, 34, 6
2021/9/10, 57, 30, 19, 13
2021/9/11, 80, 12, 38, 5
2021/9/12, 39, 6, 25, 2
2021/9/13, 16, 4, 25, 4
2021/9/14, 8, 5, 25, 8
2021/9/15, 9, 7, 17, 9
2021/9/16, 13, 4, 20, 6
2021/9/17, 12, 6, 25, 5
2021/9/18, 12, 3, 25, 1
2021/9/19, 7, 3, 20, 3
2021/9/20, 7, 6, 27, 1
2021/9/21, 13, 17, 25, 3
2021/9/22, 38, 11, 26, 3
2021/9/23, 31, 8, 29, 3
2021/9/24, 17, 9, 25, 2
2021/9/25, 19, 7, 26, 2
2021/9/26, 14, 3, 27, 
2021/9/27, 9, 4, 28, 1
2021/9/28, 8, 8, 31, 1
2021/9/29, 16, 4, 31, 2
2021/9/30, 8, 4, 27, 5
2021/10/1, 7, 3, 28, 2
2021/4/2, 9, 11, 36, 
2021/4/3, 25, 12, 34, 2
2021/4/4, 24, 8, 34, 1
2021/4/5, 20, 9, 26, 1
2021/4/6, 20, 9, 30, 2
2021/4/7, 22, 7, 31, 3
2021/4/8, 15, 5, 35, 3
2021/4/9, 13, 9, 34, 1
2021/4/10, 21, 6, 32, 2
2021/4/11, 14, 4, 35, 1
2021/4/12, 11, 2, 31, 1
2021/4/13, 4, 4, 36, 
2021/4/14, 9, 8, 31, 3
2021/4/15, 22, 9, 33, 4
2021/4/16, 26, 9, 34, 7
2021/4/17, 18, 7, 34, 7
2021/4/18, 17, 9, 32, 6
2021/4/19, 19, 17, 36, 10
2021/4/20, 26, 14, 37, 4
2021/4/21, 27, 7, 37, 1
2021/4/22, 15, 10, 34, 1
2021/4/23, 21, 6, 32, 2
2021/4/24, 12, 4, 32, 1
2021/4/25, 6, 3, 33, 3
2021/4/26, 5, 7, 31, 6
2021/4/27, 11, 7, 37, 5
2021/4/28, 14, 8, 40, 6
2021/4/29, 14, 9, 37, 8
2021/4/30, 14, 8, 40, 7
2021/5/1, 14, 7, 37, 2
2021/5/2, 15, 7, 35, 3
2021/5/3, 16, 4, 34, 2
2021/5/4, 9, 4, 37, 5
2021/5/5, 7, 3, 39, 1
2021/5/6, 5, 4, 32, 2
2021/5/7, 7, 5, 34, 4
2021/5/8, 12, 4, 33, 2
2021/5/9, 9, 3, 35, 3
2021/5/10, 10, 8, 34, 6
2021/5/11, 23, 9, 35, 3
2021/5/12, 27, 11, 29, 7
2021/5/13, 29, 12, 29, 3
2021/5/14, 37, 12, 24, 10
2021/5/15, 36, 9, 34, 10
2021/5/16, 31, 3, 31, 
2021/5/17, 10, 5, 38, 
2021/5/18, 14, 6, 33, 8
2021/5/19, 21, 5, 31, 2
2021/5/20, 20, 5, 36, 2
2021/5/21, 10, 5, 33, 4
2021/5/22, 11, 4, 33, 6
2021/5/23, 10, 5, 32, 3
2021/5/24, 15, 3, 30, 3
2021/5/25, 9, 2, 33, 3
2021/5/26, 4, 3, 36, 2
2021/5/27, 6, 6, 30, 6
2021/5/28, 13, 17, 29, 8
2021/5/29, 44, 16, 30, 5
2021/5/30, 50, 15, 26, 4
2021/5/31, 48, 14, 29, 5
