date, pm25, no2, so2
2020/7/18, 34, 8, 1
2020/7/19, 40, 6, 1
2020/7/20, 46, 8, 1
2020/7/21, 33, 5, 3
2020/7/22, 32, 5, 1
2020/7/23, 25, 7, 1
2020/7/24, 30, 6, 1
2020/7/25, 29, 7, 7
2020/7/26, 39, 6, 1
2020/7/27, 51, 6, 1
2020/7/28, 30, 6, 1
2020/7/29, 27, 9, 1
2020/7/30, 41, 9, 2
2020/7/31, 26, 5, 1
2020/8/1, 26, 6, 1
2020/8/2, 31, 5, 1
2020/8/3, 24, 9, 2
2020/8/4, 35, , 
2020/8/8, 36, 9, 5
2020/8/9, 46, 7, 9
2020/8/10, 47, 8, 6
2020/8/11, 62, 9, 2
2020/8/12, 25, 11, 2
2020/8/13, 41, 12, 4
2020/8/14, 46, 7, 1
2020/8/15, 37, 5, 1
2020/8/16, 38, 6, 1
2020/8/17, 33, 10, 1
2020/8/18, 39, 7, 1
2020/8/19, 20, 6, 1
2020/8/20, 21, 9, 8
2020/8/21, 40, 12, 8
2020/8/22, 56, 11, 5
2020/8/23, 53, 7, 5
2020/8/24, 54, 11, 3
2020/8/25, 60, 9, 2
2020/8/26, 41, 9, 3
2020/8/27, 43, 7, 1
2020/8/28, 54, 8, 1
2020/8/29, 21, 5, 1
2020/8/30, 20, 2, 1
2020/8/31, 17, 4, 2
2020/9/1, 24, 8, 4
2020/9/2, 42, 11, 1
2020/9/3, 32, 9, 1
2020/9/4, 35, 7, 4
2020/9/5, 19, 9, 3
2020/9/6, 36, 7, 3
2020/9/7, 49, 5, 3
2020/9/8, 39, 6, 1
2020/9/9, 23, 5, 1
2020/9/10, 44, 5, 1
2020/9/11, 31, 3, 2
2020/9/12, 25, 3, 1
2020/9/13, 33, 4, 1
2020/9/14, 33, 8, 1
2020/9/15, 22, 6, 5
2020/9/16, 29, 11, 5
2020/9/17, 44, 3, 1
2020/9/18, 13, 5, 
2020/9/19, 17, 8, 1
2020/9/20, 30, 8, 
2020/9/21, 44, 9, 7
2020/9/22, 33, 18, 4
2020/9/23, 55, , 
2020/4/2, 30, 12, 1
2020/4/3, 38, 18, 1
2020/4/4, 51, 14, 11
2020/4/5, 42, 4, 1
2020/4/6, 25, 11, 4
2020/4/7, 44, 13, 1
2020/4/8, 42, 8, 1
2020/4/9, 34, 3, 
2020/4/10, 25, 2, 
2020/4/11, 21, 7, 3
2020/4/12, 38, 3, 4
2020/4/13, 40, 6, 
2020/4/14, 29, 7, 
2020/4/15, 29, 10, 
2020/4/16, 36, 8, 
2020/4/17, 31, 13, 1
2020/4/18, 45, 12, 1
2020/4/19, 54, 5, 1
2020/4/20, 40, 8, 15
2020/4/21, 28, 2, 1
2020/4/22, 24, 10, 2
2020/4/23, 35, 8, 1
2020/4/24, 36, 11, 1
2020/4/25, 56, 10, 1
2020/4/26, 41, 3, 1
2020/4/27, 26, 11, 6
2020/4/28, 45, 7, 13
2020/4/29, 43, 7, 13
2020/4/30, 33, 6, 4
2020/5/1, 24, 5, 4
2020/5/2, 29, 6, 13
2020/5/3, 51, 4, 1
2020/5/4, 33, 4, 5
2020/5/5, 18, 5, 1
2020/5/6, 17, 3, 1
2020/5/7, 17, 10, 2
2020/5/8, 34, 4, 1
2020/5/9, 20, 3, 1
2020/5/10, 17, 4, 2
2020/5/11, 33, 5, 
2020/5/12, 19, 8, 1
2020/5/13, 35, 9, 1
2020/5/14, 29, 10, 1
2020/5/15, 38, 10, 1
2020/5/16, 31, 4, 1
2020/5/17, 27, 3, 1
2020/5/18, 23, 3, 
2020/5/19, 30, 4, 1
2020/5/20, 27, 5, 1
2020/5/21, 25, 3, 1
2020/5/22, 27, 8, 1
2020/5/23, 30, 6, 1
2020/5/24, 32, 6, 6
2020/5/25, 43, 8, 7
2020/5/26, 51, 7, 6
2020/5/27, 42, 5, 5
2020/5/28, 47, 7, 6
2020/5/29, 28, 6, 1
2020/5/30, 28, 2, 1
2020/5/31, 23, 3, 5
2020/6/1, 22, 10, 2
2020/6/2, 41, 9, 3
2020/6/3, 44, 9, 1
2020/6/4, 38, 12, 6
2020/6/5, 57, 12, 2
2020/6/6, 54, 5, 2
2020/6/7, 42, 3, 5
2020/6/8, 26, 6, 4
2020/6/9, 50, 6, 3
2020/6/10, 86, 8, 8
2020/6/11, 71, 5, 1
2020/6/12, 42, 6, 6
2020/6/13, 23, 2, 1
2020/6/14, 49, 3, 1
2020/6/15, 38, 5, 1
2020/6/16, 37, 6, 1
2020/6/17, 34, 13, 1
2020/6/18, 50, 13, 1
2020/6/19, 35, 13, 3
2020/6/20, 48, 8, 7
2020/6/21, 53, 5, 1
2020/6/22, 44, 12, 4
2020/6/23, 50, 8, 1
2020/6/24, 27, 7, 1
2020/6/25, 21, 12, 1
2020/6/26, 36, 14, 5
2020/6/27, 51, 8, 1
2020/6/28, 29, 6, 3
2020/6/29, 42, 9, 2
2020/6/30, 43, 10, 1
2020/7/1, 45, 7, 2
2020/3/26, 74, 11, 5
2020/3/27, 51, 7, 1
2020/3/28, 44, 7, 
2020/3/29, 28, 3, 1
2020/3/30, 22, 6, 1
2020/3/31, 18, 9, 1
2020/4/1, 25, 11, 1
2022/10/19, , 4, 1
2022/12/8, , 15, 1
2022/8/19, , 12, 7
2022/8/25, , 12, 4
2022/9/3, , 6, 7
2022/9/4, , 1, 1
2022/9/5, , 3, 3
2022/9/6, , 5, 3
2021/4/4, , 31, 2
2021/4/15, , 5, 1
