date, pm25, pm10, no2, so2
2016/2/22, , 8, 5, 4
2016/2/23, , 9, 5, 3
2016/2/24, , 11, 6, 1
2016/2/25, , 10, 7, 2
2016/2/26, , 14, 9, 5
2016/2/27, , 20, 9, 3
2016/2/28, , 25, 7, 4
2016/2/29, , 28, 3, 3
2016/3/1, , 7, 5, 1
2016/3/2, , 13, 10, 2
2016/3/3, , 30, 8, 2
2016/3/4, , 32, 8, 1
2016/3/5, , 26, 2, 1
2016/3/6, , 14, 2, 2
2016/3/7, , 22, 8, 2
2016/3/8, , 23, 10, 2
2016/3/9, , 26, 8, 2
2016/3/10, , 28, 2, 1
2016/3/11, , 9, 5, 1
2016/3/12, , 10, 3, 1
2016/3/13, , 8, 3, 1
2016/3/14, , 11, 8, 8
2016/3/15, , 16, 2, 2
2016/3/16, , 7, 9, 2
2016/3/17, , 25, 10, 15
2016/3/18, , 16, 4, 16
2016/3/19, , 13, 7, 7
2016/3/20, , 15, 5, 7
2016/3/21, , 11, 6, 2
2016/3/22, , 14, 8, 1
2016/3/23, , 8, 12, 2
2016/3/24, , 32, 12, 2
2016/3/25, , 31, 9, 2
2016/3/26, , 26, 6, 2
2016/3/27, , 13, 2, 1
2016/3/28, , 13, 4, 2
2016/3/29, , 24, 8, 2
2016/3/30, , 17, 8, 1
2016/3/31, , 15, 10, 3
2016/4/1, , 21, 9, 8
2015/10/2, , 33, 6, 1
2015/10/3, , 27, 7, 2
2015/10/4, , 24, 9, 1
2015/10/5, , 42, 10, 1
2015/10/6, , 36, 1, 1
2015/10/7, , 12, 1, 1
2015/10/8, , 20, 4, 3
2015/10/9, , 19, 5, 2
2015/10/10, , 37, 10, 2
2015/10/11, , 53, 7, 2
2015/10/12, , 36, 1, 2
2015/10/13, , 24, 4, 2
2015/10/14, , 27, 3, 2
2015/10/15, , 37, 2, 2
2015/10/16, , 39, 5, 2
2015/10/17, , 39, 6, 2
2015/10/18, , 42, 8, 1
2015/10/19, , 38, 6, 1
2015/10/20, , 37, 5, 1
2015/10/21, , 34, 11, 5
2015/10/22, , 26, 9, 3
2015/10/23, , 14, 9, 4
2015/10/24, , 14, 11, 7
2015/10/25, , 22, 6, 2
2015/10/26, , 17, 15, 10
2015/10/27, , 27, 13, 3
2015/10/28, , 37, 8, 2
2015/10/29, , 25, 6, 2
2015/10/30, , 21, 7, 2
2015/10/31, , 44, 9, 3
2015/11/1, , 47, 8, 3
2015/11/2, , 38, 9, 4
2015/11/3, , 14, 6, 2
2015/11/4, , 11, 11, 3
2015/11/5, , 34, 9, 2
2015/11/6, , 30, 8, 2
2015/11/7, , 38, 9, 2
2015/11/8, , 44, 3, 5
2015/11/9, , 11, 7, 3
2015/11/10, , 11, 7, 4
2015/11/11, , 6, 9, 6
2015/11/12, , 7, 7, 2
2015/11/13, , 9, 10, 2
2015/11/14, , 20, 3, 1
2015/11/15, , 8, 6, 1
2015/11/16, , 14, 10, 2
2015/11/17, , 18, 11, 2
2015/11/18, , 18, 7, 2
2015/11/19, , 8, 4, 1
