date, pm10, no2, co
2022/3/28, 34, , 
2022/3/30, 35, 4, 2
2022/3/31, 43, 8, 4
2022/4/1, 47, 7, 2
2021/10/2, 22, , 
2021/10/3, 17, , 
2021/10/4, 12, , 
2021/10/5, 20, , 
2021/10/6, 17, , 
2021/10/7, 19, , 
2021/10/8, 19, , 
2021/10/9, 16, , 
2021/10/10, 15, , 
2021/10/11, 11, , 
2021/10/12, 9, , 
2021/10/13, 11, , 
2021/10/14, 20, , 
2021/10/16, 16, , 
2021/10/17, 11, , 
2021/10/18, 16, , 
2021/10/19, 21, , 
2021/10/20, 13, , 
2021/10/21, 16, , 
2021/10/22, 20, , 
2021/10/23, 20, , 
2021/10/24, 13, , 
2021/10/25, 22, , 
2021/10/26, 32, , 
2021/10/27, 44, , 
2021/10/28, 34, , 
2021/10/30, 22, 1, 
2021/10/31, 20, 1, 
2021/11/1, 19, , 
2021/11/2, 16, , 
2021/11/3, 15, , 
2021/11/4, 13, , 
2021/11/5, 11, , 
2021/11/6, 22, , 
2021/11/7, 19, , 
2021/11/8, 17, , 
2021/11/9, 23, , 
2021/11/12, 17, , 
2021/11/13, 20, , 
2021/11/14, 16, , 
2021/11/15, 16, , 
2021/11/16, 17, , 
2021/11/17, 15, , 
2021/11/18, 17, , 
2021/11/19, 20, , 
2021/11/22, 33, , 
2021/11/23, 41, , 
2021/11/24, 30, , 
2021/11/30, 21, , 
2021/12/5, 17, , 
2021/12/6, 11, , 
2021/12/7, 14, , 
2021/12/8, 14, , 
2021/12/9, 15, , 
2021/12/10, 18, , 
2021/12/11, 21, , 
2021/12/12, 19, , 
2021/12/13, 23, , 
2021/12/14, 20, , 
2021/12/15, 20, 2, 
2021/12/16, 19, 1, 
2021/12/17, 15, 1, 
2021/12/18, 19, 1, 
2021/12/19, 22, 2, 
2021/12/20, 17, , 
2021/12/23, 19, , 
2021/12/24, 16, , 
2021/12/25, 31, , 
2021/12/26, 22, , 
2021/12/27, 20, , 
2021/12/28, 20, , 
2021/12/29, 23, , 
2021/7/2, 18, , 
2021/7/3, 35, , 
2021/7/4, 31, , 
2021/7/5, 34, , 
2021/7/7, 22, , 
2021/7/8, 30, , 
2021/7/9, 33, , 
2021/7/10, 27, , 
2021/7/11, 21, , 
2021/7/12, 17, , 
2021/7/13, 27, , 
2021/7/14, 26, , 
2021/7/15, 15, , 
2021/7/16, 21, , 
2021/7/17, 24, , 
2021/7/18, 16, , 
2021/7/19, 18, , 
2021/7/20, 25, , 
2021/7/21, 28, , 
2021/7/22, 29, , 
2021/7/24, 35, , 
2021/7/25, 24, , 
2021/7/26, 17, , 
2021/7/27, 14, , 
2021/7/28, 14, , 
2021/7/29, 17, 6, 
2021/7/30, 24, 5, 
2021/7/31, 25, 5, 
2021/8/1, 24, , 
2021/8/2, 22, , 
2021/8/3, 21, , 
2021/8/4, 20, , 
2021/8/5, 17, , 
2021/8/6, 12, , 
2021/8/7, 19, , 
2021/8/8, 37, , 
2021/8/9, 24, , 
2021/8/10, 14, , 
2021/8/11, 17, , 
2021/8/13, 19, , 
2021/8/14, 19, , 
2021/8/15, 20, , 
2021/8/16, 9, , 
2021/8/17, 14, , 
2021/8/18, 18, , 
2021/8/19, 24, , 
2021/8/20, 20, 5, 
2021/8/21, 23, 3, 
2021/8/22, 21, 4, 
2021/8/23, 29, , 
2021/8/24, 41, , 
2021/8/25, 24, , 
2021/8/26, 17, , 
2021/8/27, 33, , 
2021/8/28, 34, , 
2021/8/29, 22, , 
2021/8/30, 17, , 
2021/8/31, 19, , 
2021/9/1, 22, , 
2021/9/2, 11, , 
2021/9/17, 18, , 
2021/9/18, 18, , 
2021/9/19, 14, , 
2021/9/20, 18, , 
2021/9/21, 18, , 
2021/9/22, 18, , 
2021/9/28, 23, , 
2021/5/30, 17, 10, 
2021/5/31, 19, 13, 
2021/6/1, 27, , 
2021/6/2, 34, , 
2021/6/3, 21, , 
2021/6/4, 21, , 
2021/6/5, 21, , 
2021/6/6, 29, , 
2021/6/7, 19, , 
2021/6/8, 16, , 
2021/6/9, 16, , 
2021/6/10, 19, , 
2021/6/11, 19, , 
2021/6/12, 23, , 
2021/6/13, 26, , 
2021/6/14, 14, , 
2021/6/15, 18, , 
2021/6/16, 17, , 
2021/6/17, 22, , 
2021/6/18, 25, , 
2021/6/19, 34, , 
2021/6/20, 38, , 
2021/6/21, 33, , 
2021/6/22, 9, , 
2021/6/23, 10, , 
2021/6/24, 15, , 
2021/6/25, 15, , 
2021/6/26, 24, , 
2021/6/27, 14, , 
2021/6/28, 9, , 
2021/6/29, 9, , 
2021/6/30, 23, , 
2021/7/1, 15, , 
2020/10/2, 26, , 
2020/10/3, 26, , 
2020/10/4, 20, , 
2020/10/5, 16, , 
2020/10/6, 10, , 
2020/10/7, 14, , 
2020/10/16, 28, 5, 
2020/10/17, 20, , 
2020/10/20, 10, , 
2020/10/21, 13, 4, 
2020/10/22, 20, 6, 
2020/10/23, 12, , 
2020/10/24, 17, , 
2020/10/27, 14, , 
2020/10/28, 21, , 
2020/10/29, 16, , 
2020/10/30, 17, , 
2020/10/31, 19, 4, 
2020/11/1, 15, 5, 
2020/11/2, 13, , 
2020/11/3, 13, , 
2020/11/13, 11, , 
2020/11/14, 13, , 
2020/11/15, 23, , 
2020/11/16, 21, , 
2020/11/17, 24, , 
2020/11/18, 19, , 
2020/11/19, 25, , 
2020/11/20, 17, , 
2020/11/21, 15, 3, 
2020/11/22, 13, 3, 
2020/11/23, 14, 5, 
2020/11/24, 17, 8, 
2020/11/25, 33, , 
2020/11/26, 31, 4, 
2020/11/27, 26, 5, 
2020/11/28, 24, 6, 
2020/11/29, 20, 2, 
2020/11/30, 17, , 
2020/12/1, 20, , 
2020/12/2, 21, , 
2020/12/3, 19, , 
2020/12/4, 21, , 
2020/12/5, 22, , 
2020/12/6, 13, , 
2020/12/7, 15, , 
2020/12/8, 15, , 
2020/12/9, 15, , 
2020/12/10, 20, , 
2020/12/11, 21, , 
2020/12/12, 26, , 
2020/12/13, 14, , 
2020/12/14, 13, , 
2020/12/15, 15, , 
2020/12/16, 21, , 
2020/12/17, 19, 10, 
2020/12/18, 20, 9, 
2020/12/19, 23, 2, 
2020/12/22, 18, , 
2020/12/23, 19, , 
2020/12/24, 16, , 
2020/12/25, 16, , 
2020/12/26, 18, , 
2020/12/27, 20, , 
2020/12/28, 18, , 
2020/12/29, 19, 8, 
2020/12/30, 20, , 
2020/8/13, 40, , 
2020/8/14, 47, , 
2020/8/15, 28, , 
2020/8/16, 33, , 
2020/8/17, 47, , 
2020/8/18, 34, , 
2020/8/19, 38, , 
2020/8/20, 16, , 
2020/8/21, 23, , 
2020/8/22, 31, , 
2020/8/23, 28, , 
2020/8/24, 18, , 
2020/8/25, 19, , 
2020/8/26, 19, , 
2020/8/27, 21, , 
2020/8/28, 15, , 
2020/8/29, 18, , 
2020/8/30, 15, , 
2020/8/31, 14, , 
2020/9/1, 20, , 
2020/9/2, 16, , 
2020/9/3, 8, , 
2020/9/4, 11, , 
2020/9/5, 20, , 
2020/9/6, 16, , 
2020/9/7, 12, , 
2020/9/8, 16, , 
2020/9/9, 15, , 
2020/9/10, 22, , 
2020/9/11, 20, , 
2020/9/12, 24, , 
2020/9/13, 18, , 
2020/9/14, 18, , 
2020/9/15, 13, , 
2020/9/16, 15, , 
2020/9/17, 25, , 
2020/9/18, 24, , 
2020/9/29, 24, 8, 
2020/9/30, 19, , 
2020/10/1, 19, , 
2020/4/2, 9, 2, 
2020/4/3, 10, , 1
2020/4/4, 13, , 1
2020/4/5, 11, , 2
2020/4/6, 12, , 1
2020/4/7, 14, , 2
2020/4/8, 15, , 2
2020/4/9, 18, , 2
2020/4/10, 16, , 2
2020/4/11, 9, , 2
2020/4/12, 8, , 2
2020/4/13, 9, , 2
2020/4/14, 10, , 1
2020/4/15, 7, , 2
2020/4/16, 12, , 2
2020/4/17, 17, , 2
2020/4/18, 12, , 2
2020/4/19, 9, , 2
2020/4/20, 11, , 3
2020/4/21, 23, , 2
2020/4/22, 20, , 2
2020/4/23, 17, , 3
2020/4/24, 20, , 3
2020/4/25, 23, , 2
2020/4/26, 15, , 1
2020/4/27, 15, , 
2020/5/1, 25, , 3
2020/5/2, 19, , 2
2020/5/3, 12, , 3
2020/5/4, 9, , 3
2020/5/5, 12, , 2
2020/5/6, 9, , 3
2020/5/7, 14, , 4
2020/5/8, 17, , 2
2020/5/9, 14, , 3
2020/5/10, 16, , 
2020/5/11, 23, 9, 5
2020/5/12, 26, , 6
2020/5/13, 28, , 6
2020/5/14, 28, , 3
2020/5/15, 17, , 3
2020/5/16, 17, , 3
2020/5/17, 31, , 3
2020/5/18, 31, , 2
2020/5/19, 35, , 2
2020/5/20, 20, , 
2020/5/23, 14, , 
2020/5/25, 16, , 
2020/5/26, 11, , 
2020/5/27, 14, , 2
2020/5/28, 17, , 2
2020/5/29, 17, , 
2020/1/7, 26, 9, 
2020/1/8, 26, 10, 
2020/1/9, 22, 9, 7
2020/1/18, 23, 6, 14
2020/1/19, 23, 6, 14
2020/1/20, 25, 7, 13
2020/1/21, 27, 11, 
2020/1/22, 26, 8, 
2020/1/23, 24, 6, 
2020/1/25, 26, 10, 
2020/1/26, 28, 6, 
2020/1/27, 32, 3, 
2020/1/28, 42, 7, 
2020/2/6, 10, 9, 
2020/3/1, 13, 6, 4
2020/3/22, 10, 6, 1
2020/3/23, 8, 3, 
2020/3/24, 9, 2, 
2020/3/25, 12, 4, 1
2020/3/26, 13, 5, 1
2020/3/27, 14, 3, 1
2020/3/28, 12, 3, 1
2020/3/29, 14, 3, 1
2020/3/30, 16, 5, 1
2020/3/31, 14, 3, 2
2020/4/1, 8, 2, 
2019/10/2, 18, 10, 3
