date, pm25, pm10
2021/2/15, 166, 
2021/2/16, 167, 
2021/2/17, 143, 
2021/2/18, 139, 
2021/2/19, 124, 
2021/2/20, 100, 
2021/2/21, 106, 
2021/2/22, 143, 
2021/2/23, 155, 
2021/2/24, 162, 
2021/2/25, 163, 
2021/2/26, 173, 
2021/2/27, 174, 
2021/2/28, 171, 
2021/3/1, 160, 
2021/3/2, 148, 
2021/3/3, 129, 
2021/3/4, 144, 70
2021/3/5, 158, 129
2021/3/6, 157, 
2021/3/7, 131, 
2021/3/8, 163, 
2021/3/9, 150, 48
2021/3/10, 133, 40
2021/3/11, 129, 43
2021/3/12, 116, 40
2021/3/13, 152, 32
2021/3/14, 135, 92
2021/3/15, 143, 89
2021/3/16, 155, 62
2021/3/17, 159, 116
2021/3/18, 162, 80
2021/3/19, 182, 
2021/3/20, 175, 83
2021/3/21, 172, 80
2021/3/22, 161, 78
2021/3/23, 181, 108
2021/3/24, 197, 79
2021/3/25, 177, 106
2021/3/26, 166, 115
2021/3/27, 242, 101
2021/3/28, 339, 87
2021/3/29, 320, 71
2021/3/30, 291, 
2021/3/31, 227, 124
2021/4/1, 197, 72
2020/10/2, 78, 
2020/10/3, 76, 34
2020/10/4, 76, 30
2020/10/5, 69, 25
2020/10/6, 68, 27
2020/10/7, 66, 30
2020/10/8, 65, 36
2020/10/9, 55, 39
2020/10/10, 53, 31
2020/10/11, 65, 30
2020/10/12, 61, 27
2020/10/13, 62, 26
2020/10/14, 67, 25
2020/10/15, 83, 32
2020/10/16, 82, 28
2020/10/17, 70, 32
2020/10/18, 67, 26
2020/10/19, 69, 31
2020/10/20, 80, 30
2020/10/21, 87, 26
2020/10/22, 102, 21
2020/10/23, 93, 25
2020/10/24, 83, 8
2020/10/25, 84, 
2020/10/26, 74, 19
2020/10/27, 68, 19
2020/10/28, 65, 16
2020/10/29, 67, 19
2020/10/30, 60, 16
2020/11/3, 71, 21
2020/11/4, 79, 17
2020/11/5, 84, 21
2020/11/6, 143, 25
2020/11/7, 144, 25
2020/11/8, 143, 36
2020/11/9, 128, 32
2020/11/10, 116, 61
2020/11/11, 110, 33
2020/11/12, 101, 
2020/11/13, 100, 
2020/11/14, 95, 
2020/11/15, 95, 
2020/11/16, 103, 
2020/11/17, 138, 
2020/11/18, 100, 
2020/11/19, 78, 
2020/11/20, 84, 
2020/11/21, 97, 
2020/11/22, 102, 
2020/11/23, 111, 
2020/11/24, 123, 108
2020/11/25, 138, 94
2020/11/26, 141, 90
2020/11/27, 129, 108
2020/11/28, 165, 93
2020/11/29, 143, 99
2020/11/30, 141, 86
2020/12/1, 137, 75
2020/12/2, 129, 79
2020/12/3, 108, 76
2020/12/4, 101, 74
2020/12/5, 113, 66
2020/12/6, 118, 69
2020/12/7, 114, 76
2020/12/8, 136, 82
2020/12/9, 159, 86
2020/12/10, 160, 84
2020/12/11, 160, 84
2020/12/12, 160, 
2020/12/13, 142, 
2020/12/14, 133, 
2020/12/15, 130, 
2020/12/16, 131, 
2020/12/17, 131, 
2020/12/18, 135, 
2020/12/19, 141, 90
2020/12/20, 156, 85
2020/12/21, 160, 
2020/12/22, 163, 
2020/12/23, 154, 
2020/12/24, 160, 
2020/12/25, 160, 90
2020/12/26, 149, 
2020/12/27, 151, 
2020/12/28, 157, 
2020/12/29, 161, 
2020/12/30, 153, 
2020/12/31, 167, 
2021/1/1, 180, 
2021/1/2, 176, 
2021/1/3, 186, 
2021/1/4, 176, 
2020/7/2, 70, 37
2020/7/3, 74, 26
2020/7/4, 64, 
2020/7/5, 47, 
2020/7/6, 36, 
2020/7/7, 14, 12
2020/7/8, 25, 11
2020/7/9, 14, 16
2020/7/10, 30, 13
2020/7/11, 18, 10
2020/7/12, 15, 19
2020/7/13, 34, 19
2020/7/14, 34, 17
2020/7/15, 30, 23
2020/7/16, 39, 17
2020/7/17, 31, 15
2020/7/18, 26, 12
2020/7/19, 17, 11
2020/7/20, 20, 9
2020/7/21, 27, 14
2020/7/22, 24, 14
2020/7/23, 20, 14
2020/7/24, 31, 16
2020/7/25, 30, 21
2020/7/26, 23, 21
2020/7/27, 31, 19
2020/7/28, 30, 26
2020/7/29, 40, 28
2020/7/30, 30, 23
2020/7/31, 33, 24
2020/8/1, 38, 17
2020/8/2, 25, 19
2020/8/3, 29, 21
2020/8/4, 32, 26
2020/8/5, 36, 7
2020/8/6, 22, 12
2020/8/7, 19, 15
2020/8/8, 18, 14
2020/8/9, 26, 13
2020/8/10, 21, 20
2020/8/11, 31, 7
2020/8/12, 15, 
2020/8/13, 11, 
2020/8/14, 35, 19
2020/8/15, 22, 14
2020/8/16, 19, 12
2020/8/17, 13, 15
2020/8/18, 18, 14
2020/8/19, 23, 16
2020/8/20, 26, 10
2020/8/21, 17, 9
2020/8/22, 7, 10
2020/8/23, 16, 11
2020/8/24, 15, 11
2020/8/25, 14, 10
2020/8/26, 13, 14
2020/8/27, 17, 11
2020/8/28, 16, 13
2020/8/29, 17, 14
2020/8/30, 19, 15
2020/8/31, 33, 16
2020/9/1, 38, 19
2020/9/2, 38, 16
2020/9/3, 27, 15
2020/9/4, 18, 17
2020/9/5, 24, 21
2020/9/6, 35, 28
2020/9/7, 42, 28
2020/9/8, 48, 25
2020/9/9, 39, 23
2020/9/10, 40, 25
2020/9/11, 41, 26
2020/9/12, 43, 21
2020/9/13, 38, 
2020/9/14, 30, 
2020/9/15, 47, 
2020/9/16, 56, 
2020/9/17, 57, 37
2020/9/18, 71, 30
2020/9/19, 53, 30
2020/9/20, 53, 36
2020/9/21, 53, 27
2020/9/22, 47, 23
2020/9/23, 35, 9
2020/9/24, 15, 8
2020/9/25, 17, 11
2020/9/26, 13, 12
2020/9/27, 14, 19
2020/9/28, 25, 23
2020/9/29, 36, 37
2020/9/30, 55, 
2020/10/1, 68, 
2020/4/2, 115, 36
2020/4/3, 85, 49
2020/4/4, 115, 57
2020/4/5, 133, 60
2020/4/6, 153, 72
2020/4/7, 159, 70
2020/4/8, 153, 77
2020/4/9, 164, 66
2020/4/10, 144, 73
2020/4/11, 150, 87
2020/4/12, 194, 77
2020/4/13, 174, 76
2020/4/14, 166, 57
2020/4/15, 142, 30
2020/4/16, 93, 43
2020/4/17, 109, 45
2020/4/18, 116, 35
2020/4/19, 78, 42
2020/4/20, 73, 34
2020/4/21, 96, 14
2020/4/22, 41, 18
2020/4/23, 47, 32
2020/4/24, 86, 34
2020/4/25, 78, 
2020/4/26, 76, 
2020/4/27, 84, 23
2020/4/28, 67, 26
2020/4/29, 60, 29
2020/4/30, 64, 28
2020/5/1, 69, 28
2020/5/2, 61, 27
2020/5/3, 62, 36
2020/5/4, 71, 28
2020/5/5, 51, 
2020/5/6, 49, 17
2020/5/7, 32, 23
2020/5/8, 50, 26
2020/5/9, 56, 35
2020/5/10, 66, 42
2020/5/11, 76, 53
2020/5/12, 106, 45
2020/5/13, 89, 70
2020/5/14, 86, 47
2020/5/15, 95, 44
2020/5/16, 96, 54
2020/5/17, 112, 55
2020/5/18, 110, 50
2020/5/19, 103, 41
2020/5/20, 82, 43
2020/5/21, 81, 31
2020/5/22, 74, 42
2020/5/23, 87, 34
2020/5/24, 73, 42
2020/5/25, 85, 43
2020/5/26, 84, 36
2020/5/27, 81, 24
2020/5/28, 67, 29
2020/5/29, 52, 21
2020/5/30, 35, 27
2020/5/31, 55, 29
2020/6/1, 60, 34
2020/6/2, 66, 32
2020/6/3, 50, 39
2020/6/4, 66, 36
2020/6/5, 79, 17
2020/6/6, 35, 12
2020/6/7, 18, 15
2020/6/8, 19, 13
2020/6/9, 31, 30
2020/6/10, 55, 28
2020/6/11, 65, 32
2020/6/12, 61, 22
2020/6/13, 49, 19
2020/6/14, 34, 13
2020/6/15, 18, 13
2020/6/16, 17, 13
2020/6/17, 13, 15
2020/6/18, 21, 14
2020/6/19, 15, 16
2020/6/20, 27, 
2020/6/21, 50, 
2020/6/22, 52, 
2020/6/23, 17, 51
2020/6/24, 29, 35
2020/6/25, 46, 27
2020/6/26, 45, 13
2020/6/27, 22, 22
2020/6/28, 35, 25
2020/6/29, 42, 22
2020/6/30, 37, 37
2020/7/1, 63, 35
2020/1/2, 200, 60
2020/1/3, 211, 54
2020/1/4, 213, 56
2020/1/5, 141, 42
2020/1/6, 105, 56
2020/1/7, 128, 55
2020/1/8, 156, 67
2020/1/9, 178, 60
2020/1/10, 137, 47
2020/1/11, 136, 49
2020/1/12, 152, 44
2020/1/13, 161, 47
2020/1/14, 171, 57
2020/1/15, 134, 42
2020/1/16, 181, 47
2020/1/17, 165, 
2020/1/18, 103, 52
2020/1/22, 184, 45
2020/1/23, 155, 35
2020/1/24, 132, 35
2020/1/25, 133, 45
2020/1/26, 163, 43
2020/1/27, 164, 45
2020/1/28, 159, 45
2020/1/29, 163, 35
2020/1/30, 148, 37
2020/1/31, 145, 35
2020/2/1, 133, 36
2020/2/2, 137, 33
2020/2/3, 139, 36
2020/2/4, 149, 36
2020/2/5, 157, 28
2020/2/6, 149, 34
2020/2/7, 155, 35
2020/2/8, 160, 35
2020/2/9, 151, 39
2020/2/10, 157, 
2020/2/11, 149, 
2020/2/12, 148, 
2020/2/13, 153, 66
2020/2/14, 159, 67
2020/2/15, 158, 75
2020/2/16, 174, 80
2020/2/17, 185, 74
2020/2/18, 185, 68
2020/2/19, 181, 63
2020/2/20, 177, 
2020/2/21, 182, 
2020/2/22, 218, 
2020/2/23, 139, 
2020/2/24, 152, 42
2020/2/25, 135, 49
2020/2/26, 108, 21
2020/2/27, 65, 21
2020/2/28, 77, 31
2020/2/29, 103, 28
2020/3/1, 116, 34
2020/3/2, 113, 40
2020/3/3, 115, 28
2020/3/4, 110, 32
2020/3/5, 115, 33
2020/3/6, 114, 42
2020/3/7, 116, 26
2020/3/8, 91, 23
2020/3/9, 104, 24
2020/3/10, 100, 31
