date, pm25, o3, no2
2018/6/26, 33, 23, 
2018/6/27, 33, 24, 
2018/6/28, 30, 23, 
2018/6/29, 33, 22, 
2018/6/30, 62, 23, 
2018/7/1, 88, 23, 
2018/1/2, 15, 20, 3
2018/1/3, 19, 25, 11
2018/1/4, 23, 28, 14
2018/1/5, 19, 29, 19
2018/1/6, 29, 29, 14
2018/1/7, 41, 27, 5
2018/1/8, 23, 28, 8
2018/1/9, 13, 25, 17
2018/1/10, 25, 33, 6
2018/1/11, 31, 24, 4
2018/1/12, 25, 29, 4
2018/1/13, 13, 27, 5
2018/1/14, 20, 33, 13
2018/1/15, 37, 29, 10
2018/1/16, 29, 27, 1
2018/1/17, 10, 25, 5
2018/1/18, 19, 19, 10
2018/1/19, 22, 21, 12
2018/1/20, 26, 20, 5
2018/1/21, 22, 21, 5
2018/1/22, 44, 30, 6
2018/1/23, 16, 26, 17
2018/1/24, 22, 29, 16
2018/1/25, 24, 32, 15
2018/1/26, 35, 26, 10
2018/1/27, 29, 22, 3
2018/1/28, 16, 31, 4
2018/1/29, 22, 33, 6
2018/1/30, 15, 29, 11
2018/1/31, 22, 33, 6
2018/2/1, 23, 33, 5
2018/2/2, 28, 27, 4
2018/2/3, 17, 20, 7
2018/2/4, 25, 38, 5
2018/2/5, 37, 19, 4
2018/2/6, 43, 9, 8
2018/2/7, 40, 20, 4
2018/2/8, 23, 19, 8
2018/2/9, 32, 14, 14
2018/2/10, 44, 13, 6
2018/2/11, 25, 21, 2
2018/2/12, 22, 25, 6
2018/2/13, 23, 6, 9
2018/2/14, 46, 12, 7
2018/2/15, 24, 15, 6
2018/2/16, 28, 27, 4
2018/2/17, 28, 20, 5
2018/2/18, 32, 22, 4
2018/2/19, 29, 20, 2
2018/2/20, 37, 17, 2
2018/2/21, 39, 15, 2
2018/2/22, 14, 12, 3
2018/2/23, 26, 9, 7
2018/2/24, 22, 12, 4
2018/2/25, 37, 29, 5
2018/2/26, 19, 37, 6
2018/2/27, 19, 22, 4
2018/2/28, 31, 26, 4
2018/3/1, 35, 30, 3
2018/3/2, 25, 36, 4
2018/3/3, 28, 29, 4
2018/3/4, 39, 23, 2
2018/3/5, 28, 34, 3
2018/3/6, 26, 43, 3
2018/3/7, 11, 38, 6
2018/3/8, 22, 42, 8
2018/3/9, 30, 36, 5
2018/3/10, 33, 36, 5
2018/3/11, 27, 35, 2
2018/3/12, 36, 39, 2
2018/3/13, 25, 42, 7
2018/3/14, 29, 50, 6
2018/3/15, 47, 38, 4
2018/3/16, 38, 36, 5
2018/3/17, 29, 29, 2
2018/3/18, 54, 33, 1
2018/3/19, 53, 41, 
2018/3/20, 27, 36, 1
2018/3/21, 15, 48, 
2018/3/22, 24, 43, 2
2018/3/23, 29, 34, 3
2018/3/24, 32, 29, 3
2018/3/25, 44, 30, 2
2018/3/26, 43, 32, 2
2018/3/27, 47, 25, 2
2018/3/28, 43, 27, 2
2018/3/29, 18, 35, 1
2018/3/30, 18, 42, 4
2018/3/31, 22, 42, 2
2018/4/1, 30, 36, 1
2017/10/2, 46, 45, 5
2017/10/3, 42, 21, 3
2017/10/4, 22, 27, 3
2017/10/5, 18, 35, 5
2017/10/6, 22, 45, 5
2017/10/7, 29, 29, 4
2017/10/8, 27, 36, 4
2017/10/9, 33, 31, 4
2017/10/10, 30, 22, 2
2017/10/11, 16, 34, 6
2017/10/12, 19, 35, 11
2017/10/13, 41, 25, 4
2017/10/14, 33, 31, 3
2017/10/15, 39, 32, 1
2017/10/16, 12, 32, 4
2017/10/17, 13, 44, 12
2017/10/18, 26, 47, 13
2017/10/19, 37, 35, 8
2017/10/20, 39, 26, 7
2017/10/21, 27, 23, 2
2017/10/22, 19, 32, 2
2017/10/23, 13, 39, 10
2017/10/24, 21, 31, 8
2017/10/25, 13, 32, 11
2017/10/26, 15, 37, 9
2017/10/27, 22, 26, 3
2017/10/28, 19, 31, 5
2017/10/29, 19, 37, 9
2017/10/30, 26, 39, 12
2017/10/31, 29, 22, 6
2017/11/1, 23, 31, 8
2017/11/2, 33, 26, 7
2017/11/3, 58, 27, 7
2017/11/4, 54, 22, 4
2017/11/5, 42, 24, 4
2017/11/6, 33, 26, 5
2017/11/7, 25, 28, 3
2017/11/8, 32, 18, 2
2017/11/9, 14, 12, 2
2017/11/10, 17, 18, 7
2017/11/11, 28, 26, 6
2017/11/12, 28, 19, 4
2017/11/13, 15, 31, 7
2017/11/14, 27, 26, 7
2017/11/15, 26, 27, 5
2017/11/16, 27, 27, 9
2017/11/17, 25, 23, 3
2017/11/18, 20, 30, 2
2017/11/19, 20, 30, 5
2017/11/20, 16, 34, 12
2017/11/21, 24, 29, 7
2017/11/22, 27, 28, 
2017/11/23, 21, 32, 10
2017/11/24, 29, 41, 14
2017/11/25, 31, 41, 11
2017/11/26, 41, 41, 6
2017/11/27, 39, 40, 11
2017/11/28, 38, 36, 9
2017/11/29, 29, 26, 10
2017/11/30, 21, 32, 16
2017/12/1, 39, 41, 16
2017/12/2, 37, 38, 9
2017/12/3, 46, 22, 4
2017/12/4, 33, 23, 5
2017/12/5, 20, 23, 3
2017/12/6, 14, 24, 3
2017/12/7, 15, 23, 3
2017/12/8, 9, 23, 8
2017/12/9, 17, 32, 8
2017/12/10, 22, 28, 13
2017/12/11, 24, 25, 15
2017/12/12, 21, 29, 9
2017/12/13, 16, 20, 17
2017/12/14, 22, 28, 12
2017/12/15, 33, 24, 7
2017/12/16, 24, 18, 10
2017/12/17, 31, 14, 7
2017/12/18, 21, 8, 11
2017/12/19, 28, 8, 7
2017/12/20, 13, 22, 7
2017/12/21, 15, 27, 8
2017/12/22, 39, 14, 3
2017/12/23, 40, 22, 6
2017/12/24, 22, 5, 5
2017/12/25, 30, , 5
2017/12/26, 36, , 6
2017/12/27, 30, , 2
2017/12/28, 20, 8, 7
2017/12/29, 33, 7, 11
2017/12/30, 38, 20, 5
2017/12/31, 29, 7, 2
2018/1/1, 21, 21, 1
2017/7/2, 75, 23, 1
2017/7/3, 53, 23, 1
2017/7/4, 32, 23, 1
2017/7/5, 38, 27, 1
2017/7/6, 30, 30, 2
2017/7/7, 30, 31, 3
2017/7/8, 24, 30, 2
2017/7/9, 18, 26, 2
2017/7/10, 20, 25, 2
2017/7/11, 34, 21, 2
2017/7/12, 38, 16, 3
2017/7/13, 35, 24, 3
2017/7/14, 29, 33, 3
2017/7/15, 26, 38, 3
2017/7/16, 26, 42, 3
2017/7/17, 19, 46, 4
2017/7/18, 17, 26, 3
2017/7/19, 40, 24, 3
2017/7/20, 24, 27, 2
2017/7/21, 36, 23, 2
2017/7/22, 42, 26, 2
2017/7/23, 30, 29, 2
2017/7/24, 35, 27, 2
2017/7/25, 74, 24, 2
2017/7/26, 63, 27, 2
2017/7/27, 26, 31, 3
2017/7/28, 15, 28, 3
2017/7/29, 33, 36, 3
2017/7/30, 28, 40, 4
2017/7/31, 35, 55, 5
2017/8/1, 37, 66, 5
2017/8/2, 39, 42, 4
2017/8/3, 39, 55, 6
2017/8/4, 31, 63, 4
2017/8/5, 26, 29, 2
2017/8/6, 36, 24, 1
2017/8/7, 52, 38, 5
2017/8/8, 19, 38, 5
2017/8/9, 22, 48, 5
2017/8/10, 38, 26, 3
2017/8/11, 30, 26, 3
2017/8/12, 27, 25, 2
2017/8/13, 25, 24, 2
2017/8/14, 32, 22, 2
2017/8/15, 49, 24, 2
2017/8/16, 38, 23, 2
2017/8/17, 38, 23, 2
2017/8/18, 47, 29, 3
2017/8/19, 37, 30, 2
2017/8/20, 27, 24, 1
2017/8/21, 27, 35, 3
2017/8/22, 23, 35, 3
2017/8/23, 20, 41, 4
2017/8/24, 22, 31, 7
2017/8/25, 27, 21, 5
2017/8/26, 27, , 
2017/8/30, 28, 37, 4
2017/8/31, 30, 39, 7
2017/9/1, 28, 37, 9
2017/9/2, 41, , 5
2017/9/3, 37, , 4
2017/9/4, 46, , 3
2017/9/5, 38, 12, 3
2017/9/6, 15, , 
2017/9/10, 29, , 
2017/9/11, 32, 38, 6
2017/9/12, 40, 46, 7
2017/9/13, 38, 55, 10
2017/9/14, 48, 42, 4
2017/9/15, 44, 41, 3
2017/9/16, 34, 37, 3
2017/9/17, 38, 31, 2
2017/9/18, 42, 27, 4
2017/9/19, 29, 20, 3
2017/9/20, 42, 22, 2
2017/9/21, 40, 20, 3
2017/9/22, 31, 28, 4
2017/9/23, 26, 33, 3
2017/9/24, 31, 27, 2
2017/9/25, 33, 22, 4
2017/9/26, 29, 12, 6
2017/9/27, 19, 18, 5
2017/9/28, 18, 20, 4
2017/9/29, 38, 23, 4
2017/9/30, 33, 47, 4
2017/10/1, 45, 51, 5
2017/4/2, 43, 31, 2
2017/4/3, 26, 41, 7
2017/4/4, 18, 44, 10
2017/4/5, 36, 36, 3
2017/4/6, 25, 47, 10
2017/4/7, 19, 51, 7
2017/4/8, 26, 40, 3
2017/4/9, 30, 33, 
2017/4/10, 33, 26, 2
2017/4/11, 51, 27, 3
2017/4/12, 31, 39, 3
2017/4/13, 21, 33, 2
2017/4/14, 27, 34, 2
2017/4/15, 23, 28, 1
2017/4/16, 30, 29, 1
2017/4/17, 42, 32, 4
2017/4/18, 26, 40, 4
2017/4/19, 20, 43, 3
2017/4/20, 26, 33, 2
2017/4/21, 35, 29, 1
2017/4/22, 33, 29, 1
2017/4/23, 18, 40, 2
2017/4/24, 12, 47, 7
2017/4/25, 23, 38, 3
2017/4/26, 39, 47, 2
2017/4/27, 30, 48, 4
2017/4/28, 22, 44, 2
2017/4/29, 72, 39, 1
2017/4/30, 83, 41, 2
2017/5/1, 13, 46, 6
2017/5/2, 18, 47, 4
2017/5/3, 23, 40, 2
2017/5/4, 54, 38, 3
2017/5/5, 9, 44, 7
2017/5/6, 18, 56, 7
2017/5/7, 31, 65, 3
2017/5/8, 29, 35, 3
2017/5/9, 25, 34, 3
2017/5/10, 45, 29, 2
2017/5/11, 55, 28, 6
2017/5/12, 66, 41, 4
2017/5/13, 21, 53, 5
2017/5/14, 29, 50, 2
2017/5/15, 33, 39, 2
2017/5/16, 28, 28, 2
2017/5/17, 29, 38, 3
2017/5/18, 43, 29, 2
2017/5/19, 62, 26, 2
2017/5/20, 46, 21, 2
2017/5/21, 38, 26, 2
2017/5/22, 26, 27, 2
2017/5/23, 21, 35, 3
2017/5/24, 18, 41, 4
2017/5/25, 12, 44, 5
2017/5/26, 31, 33, 2
2017/5/27, 48, 32, 1
2017/5/28, 80, 32, 2
2017/5/29, 60, 38, 2
2017/5/30, 21, 42, 5
2017/5/31, 29, 34, 5
2017/6/1, 39, 31, 4
2017/6/2, 29, 28, 3
2017/6/3, 37, 32, 2
2017/6/4, 20, 32, 2
2017/6/5, 15, 38, 3
2017/6/6, 18, 39, 2
2017/6/7, 20, 50, 6
2017/6/8, 28, 72, 8
2017/6/9, 45, 45, 2
2017/6/10, 39, 43, 2
2017/6/11, 26, 38, 1
2017/6/12, 23, 36, 2
2017/6/13, 20, 28, 1
2017/6/14, 42, 21, 1
2017/6/15, 35, 25, 1
2017/6/16, 33, 25, 1
2017/6/17, 35, 26, 1
2017/6/18, 35, 25, 
2017/6/19, 27, 32, 2
2017/6/20, 27, 41, 4
2017/6/21, 39, 43, 2
2017/6/22, 28, 44, 4
2017/6/23, 30, 39, 2
2017/6/24, 46, 38, 2
2017/6/25, 46, 27, 2
2017/6/26, 39, 31, 3
2017/6/27, 18, 23, 4
2017/6/28, 16, 30, 3
2017/6/29, 15, 32, 3
2017/6/30, 30, 22, 1
2017/7/1, 51, 22, 1
2017/1/3, 20, 30, 10
2017/1/4, 11, 17, 6
2017/1/5, 16, 22, 6
2017/1/6, 31, 23, 3
2017/1/7, 21, 31, 6
2017/1/8, 27, 29, 13
2017/1/9, 37, 29, 14
2017/1/10, 35, 25, 11
2017/1/11, 25, 30, 5
2017/1/12, 39, 27, 4
2017/1/13, 36, 26, 4
2017/1/14, 31, 20, 7
2017/1/15, 34, 22, 3
2017/1/16, 34, 21, 5
2017/1/17, 11, 16, 4
2017/1/18, 19, 14, 4
2017/1/19, 12, 22, 8
2017/1/20, 29, 17, 18
2017/1/21, 36, 31, 7
2017/1/22, 27, 37, 2
2017/1/23, 13, 31, 14
2017/1/24, 16, 33, 13
2017/1/25, 38, 33, 5
2017/1/26, 26, 28, 8
2017/1/27, 18, 31, 9
2017/1/28, 20, 33, 5
2017/1/29, 19, 35, 7
2017/1/30, 16, 34, 17
2017/1/31, 17, 39, 17
2017/2/1, 31, 35, 21
2017/2/2, 49, 29, 6
2017/2/3, 34, 22, 5
2017/2/4, 45, 21, 9
2017/2/5, 50, 14, 10
2017/2/6, 58, 18, 6
2017/2/7, 38, 26, 9
2017/2/8, 32, 30, 10
2017/2/9, 21, 31, 6
2017/2/10, 26, 35, 10
2017/2/11, 50, 27, 5
2017/2/12, 61, 30, 2
2017/2/13, 47, 28, 4
2017/2/14, 47, 23, 2
2017/2/15, 12, 31, 7
2017/2/16, 9, 34, 16
2017/2/17, 17, 35, 13
2017/2/18, 26, 39, 6
2017/2/19, 32, 23, 2
2017/2/20, 66, 30, 7
2017/2/21, 13, 35, 6
2017/2/22, 8, 36, 16
2017/2/23, 26, 43, 15
2017/2/24, 39, 35, 5
2017/2/25, 26, 34, 4
2017/2/26, 19, 35, 7
2017/2/27, 45, 29, 5
2017/2/28, 61, 23, 8
2017/3/1, 86, 33, 7
2017/3/2, 22, 39, 4
2017/3/3, 13, 37, 7
2017/3/4, 21, 34, 4
2017/3/5, 22, 23, 6
2017/3/6, 17, 21, 3
2017/3/7, 32, 33, 4
2017/3/8, 41, 29, 9
2017/3/9, 36, 19, 6
2017/3/10, 23, 21, 6
2017/3/11, 21, 21, 4
2017/3/12, 14, 19, 2
2017/3/13, 16, 29, 5
2017/3/14, 20, 36, 9
2017/3/15, 21, 38, 8
2017/3/16, 27, 32, 5
2017/3/17, 28, 33, 2
2017/3/18, 30, 32, 4
2017/3/19, 38, 34, 2
2017/3/20, 36, 35, 4
2017/3/21, 24, 33, 4
2017/3/22, 30, 35, 3
2017/3/23, 37, 32, 2
2017/3/24, 26, 26, 12
2017/3/25, 39, 40, 6
2017/3/26, 28, 40, 2
2017/3/27, 62, 36, 5
2017/3/28, 63, 35, 3
2017/3/29, 59, 39, 6
2017/3/30, 23, 37, 7
2017/3/31, 13, 43, 6
2017/4/1, 22, 32, 2
2016/10/2, 40, 68, 8
2016/10/3, 48, 59, 10
2016/10/4, 50, 32, 5
2016/10/5, 21, 31, 4
2016/10/6, 20, 26, 3
2016/10/7, 17, 21, 4
2016/10/8, 19, 32, 3
2016/10/9, 24, 40, 6
2016/10/10, 26, 57, 11
2016/10/11, 39, 62, 14
2016/10/12, 42, 38, 14
2016/10/13, 37, 31, 
2016/10/14, 17, 32, 
2016/10/15, 23, 26, 
2016/10/16, 17, 25, 
2016/10/17, 14, 22, 
2016/10/18, 19, 22, 
2016/10/19, 23, 21, 
2016/10/20, 18, 34, 
2016/10/21, 15, 36, 
2016/10/22, 18, 45, 
2016/10/23, 34, 39, 
2016/10/24, 32, 34, 
2016/10/25, 25, 35, 
2016/10/26, 21, 35, 
2016/10/27, 21, 34, 
2016/10/28, 25, 33, 
2016/10/29, 31, 35, 7
2016/10/30, 33, 39, 9
2016/10/31, 31, 31, 9
2016/11/1, 31, 23, 5
2016/11/2, 20, 14, 4
2016/11/3, 20, 23, 4
2016/11/4, 12, 18, 4
2016/11/5, 27, 32, 4
2016/11/6, 52, 25, 5
2016/11/7, 27, 19, 8
2016/11/8, 26, 22, 4
2016/11/9, 9, 16, 3
2016/11/10, 12, 22, 5
2016/11/11, 39, 23, 8
2016/11/12, 35, 26, 7
2016/11/13, 26, 33, 10
2016/11/14, 39, 26, 11
2016/11/15, 32, 28, 13
2016/11/16, 26, 34, 12
2016/11/17, 25, 28, 5
2016/11/18, 27, 27, 4
2016/11/19, 19, 28, 5
2016/11/20, 22, 31, 13
2016/11/21, 33, 31, 11
2016/11/22, 30, 21, 7
2016/11/23, 21, 21, 7
2016/11/24, 16, 28, 9
2016/11/25, 35, 22, 4
2016/11/26, 34, 25, 6
2016/11/27, 39, 28, 4
2016/11/28, 25, 26, 9
2016/11/29, 15, 41, 12
2016/11/30, 18, 44, 8
2016/12/1, 14, 31, 12
2016/12/2, 21, 23, 8
2016/12/3, 27, 19, 3
2016/12/4, 12, 16, 2
2016/12/5, 11, 15, 5
2016/12/6, 10, 16, 6
2016/12/7, 18, 8, 10
2016/12/8, 34, 19, 3
2016/12/9, 20, 19, 8
2016/12/10, 17, 12, 16
2016/12/11, 38, 15, 5
2016/12/12, 18, 15, 10
2016/12/13, 24, 18, 7
2016/12/14, 27, 17, 10
2016/12/15, 46, 14, 10
2016/12/16, 52, 19, 8
2016/12/17, 34, 15, 6
2016/12/18, 29, 23, 1
2016/12/19, 14, 27, 3
2016/12/20, 15, 22, 12
2016/12/21, 24, 32, 16
2016/12/22, 40, 29, 8
2016/12/23, 34, 23, 12
2016/12/24, 52, 16, 3
2016/12/25, 28, 17, 2
2016/12/26, 29, 17, 3
2016/12/27, 36, 14, 8
2016/12/28, 30, 17, 5
2016/12/29, 28, 29, 4
2016/12/30, 13, 26, 7
2016/12/31, 12, 26, 9
2017/1/1, 37, 28, 6
2017/1/2, 83, 29, 8
2016/7/2, 39, 19, 1
2016/7/3, 61, 20, 
2016/7/4, 53, 25, 1
2016/7/5, 36, 28, 1
2016/7/6, 42, 23, 1
2016/7/7, 41, 23, 1
2016/7/8, 49, 21, 1
2016/7/9, 53, 23, 1
2016/7/10, 55, 20, 1
2016/7/11, 82, 20, 1
2016/7/12, 86, 22, 1
2016/7/13, 50, 23, 1
2016/7/14, 49, 24, 2
2016/7/15, 40, 22, 2
2016/7/16, 77, 24, 2
2016/7/17, 51, 27, 1
2016/7/18, 24, 27, 2
2016/7/19, 25, 25, 2
2016/7/20, 27, 28, 2
2016/7/21, 22, 33, 2
2016/7/22, 28, 37, 3
2016/7/23, 25, 27, 2
2016/7/24, 22, 26, 2
2016/7/25, 22, 32, 3
2016/7/26, 29, 23, 8
2016/7/27, 32, 15, 7
2016/7/28, 46, 23, 5
2016/7/29, 35, 30, 5
2016/7/30, 28, 25, 2
2016/7/31, 25, 23, 1
2016/8/1, 33, 24, 2
2016/8/2, 66, 25, 2
2016/8/3, 50, 30, 3
2016/8/4, 29, 27, 2
2016/8/5, 25, 28, 2
2016/8/6, 25, 23, 1
2016/8/7, 52, 21, 1
2016/8/8, 41, 26, 2
2016/8/9, 35, 27, 2
2016/8/10, 32, 25, 2
2016/8/11, 41, 27, 2
2016/8/12, 44, 34, 2
2016/8/13, 57, 35, 3
2016/8/14, 32, 28, 4
2016/8/15, 30, 13, 6
2016/8/16, 14, 19, 6
2016/8/17, 16, 19, 4
2016/8/18, 17, 21, 4
2016/8/19, 26, 22, 2
2016/8/20, 41, 18, 3
2016/8/21, 42, 23, 2
2016/8/22, 22, 18, 3
2016/8/23, 32, 21, 2
2016/8/24, 47, 23, 2
2016/8/25, 42, 22, 2
2016/8/26, 32, 30, 3
2016/8/27, 24, 44, 3
2016/8/28, 28, 34, 3
2016/8/29, 36, 29, 2
2016/8/30, 20, 25, 4
2016/8/31, 27, 33, 4
2016/9/1, 33, 45, 5
2016/9/2, 51, 36, 4
2016/9/3, 44, 53, 4
2016/9/4, 50, 37, 2
2016/9/5, 39, 20, 1
2016/9/6, 19, 19, 2
2016/9/7, 33, 21, 2
2016/9/8, 67, 23, 3
2016/9/9, 77, 21, 3
2016/9/10, 67, 32, 2
2016/9/11, 20, 43, 2
2016/9/12, 22, 37, 6
2016/9/13, 36, 36, 5
2016/9/14, 32, 36, 4
2016/9/15, 28, 39, 6
2016/9/16, 34, 45, 5
2016/9/17, 35, 35, 5
2016/9/18, 34, 30, 3
2016/9/19, 35, 29, 3
2016/9/20, 25, 36, 5
2016/9/21, 25, 46, 7
2016/9/22, 39, 38, 6
2016/9/23, 37, 27, 3
2016/9/24, 20, 19, 2
2016/9/25, 20, 21, 2
2016/9/26, 16, 20, 3
2016/9/27, 11, 22, 3
2016/9/28, 29, 35, 6
2016/9/29, 32, 38, 7
2016/9/30, 29, 34, 7
2016/10/1, 25, 50, 11
2016/4/2, 23, 27, 5
2016/4/3, 18, , 6
2016/4/4, 25, 47, 8
2016/4/5, 28, 47, 6
2016/4/6, 30, 37, 6
2016/4/7, 38, 36, 11
2016/4/8, 26, 55, 12
2016/4/9, 36, 43, 4
2016/4/10, 30, 37, 1
2016/4/11, 36, 35, 4
2016/4/12, 45, 23, 2
2016/4/13, 33, 24, 3
2016/4/14, 17, 37, 3
2016/4/15, 24, 47, 5
2016/4/16, 42, 28, 2
2016/4/17, 42, 24, 2
2016/4/18, 44, 33, 3
2016/4/19, 7, 38, 4
2016/4/20, 5, 43, 4
2016/4/21, 19, 43, 4
2016/4/22, 22, 44, 4
2016/4/23, 19, 58, 6
2016/4/24, 28, 42, 3
2016/4/25, 26, 32, 3
2016/4/26, 49, 30, 2
2016/4/27, 77, 43, 8
2016/4/28, 48, 35, 3
2016/4/29, 74, 30, 3
2016/4/30, 74, 43, 4
2016/5/1, 38, 35, 2
2016/5/2, 33, 32, 2
2016/5/3, 9, 42, 3
2016/5/4, 12, 44, 8
2016/5/5, 22, 64, 10
2016/5/6, 29, 61, 9
2016/5/7, 35, 44, 4
2016/5/8, 30, 33, 1
2016/5/9, 31, 37, 3
2016/5/10, 36, 42, 2
2016/5/11, 79, 36, 2
2016/5/12, 43, 29, 2
2016/5/13, 38, 45, 4
2016/5/14, 39, 29, 3
2016/5/15, 18, 23, 5
2016/5/16, 9, 31, 3
2016/5/17, 5, 24, 4
2016/5/18, 7, 28, 2
2016/5/19, 5, 29, 2
2016/5/20, 4, 38, 4
2016/5/21, 6, 27, 3
2016/5/22, 14, 20, 2
2016/5/23, 13, 26, 3
2016/5/24, 10, 20, 2
2016/5/25, 33, 24, 3
2016/5/26, 68, 26, 2
2016/5/27, 60, 31, 3
2016/5/28, 45, 27, 3
2016/5/29, 49, 31, 2
2016/5/30, 32, 44, 3
2016/5/31, 29, 19, 4
2016/6/1, 31, 34, 5
2016/6/2, 21, 31, 4
2016/6/3, 15, 32, 8
2016/6/4, 21, 31, 2
2016/6/5, 17, 37, 3
2016/6/6, 16, 40, 3
2016/6/7, 22, 51, 5
2016/6/8, 34, 40, 4
2016/6/9, 34, 45, 4
2016/6/10, 37, 33, 3
2016/6/11, 29, 28, 1
2016/6/12, 41, 22, 1
2016/6/13, 46, 21, 2
2016/6/14, 42, 23, 2
2016/6/15, 53, 25, 2
2016/6/16, 69, 24, 2
2016/6/17, 59, 26, 2
2016/6/18, 45, 30, 1
2016/6/19, 50, 33, 1
2016/6/20, 25, 25, 3
2016/6/21, 43, 25, 3
2016/6/22, 44, 25, 2
2016/6/23, 36, 36, 2
2016/6/24, 23, 27, 2
2016/6/25, 24, 14, 3
2016/6/26, 36, 18, 2
2016/6/27, 44, 31, 3
2016/6/28, 37, 45, 5
2016/6/29, 37, 50, 5
2016/6/30, 25, 48, 6
2016/7/1, 47, 39, 3
2016/1/5, 13, 21, 14
2016/1/6, 28, 17, 12
2016/1/7, 39, 24, 13
2016/1/8, 28, 23, 15
2016/1/9, 44, 30, 2
2016/1/10, 9, 23, 5
2016/1/11, 21, 22, 15
2016/1/12, 31, 32, 13
2016/1/13, 34, 36, 17
2016/1/14, 34, 31, 16
2016/1/15, 30, 31, 12
2016/1/16, 19, 30, 10
2016/1/17, 27, 28, 9
2016/1/18, 19, 30, 14
2016/1/19, 32, 30, 13
2016/1/20, 26, 13, 12
2016/1/21, 30, 28, 8
2016/1/22, 26, 27, 5
2016/1/23, 15, 24, 14
2016/1/24, 28, 36, 8
2016/1/25, 31, 32, 12
2016/1/26, 38, 27, 4
2016/1/27, 14, 28, 7
2016/1/28, 16, 26, 13
2016/1/29, 22, 33, 15
2016/1/30, 24, 37, 12
2016/1/31, 41, 28, 9
2016/2/1, 39, 32, 10
2016/2/2, 50, 32, 5
2016/2/3, 17, 30, 4
2016/2/4, 16, 31, 9
2016/2/5, 17, 36, 15
2016/2/6, 35, 34, 7
2016/2/7, 27, 39, 13
2016/2/8, 40, 33, 6
2016/2/9, 16, 33, 14
2016/2/10, 17, 34, 17
2016/2/11, 22, 40, 16
2016/2/12, 34, 42, 14
2016/2/13, 40, 35, 7
2016/2/14, 34, 28, 4
2016/2/15, 22, 32, 6
2016/2/16, 27, 42, 10
2016/2/17, 36, 46, 7
2016/2/18, 31, 33, 3
2016/2/19, 35, 34, 3
2016/2/20, 40, 25, 2
2016/2/21, 30, 22, 5
2016/2/22, 42, 25, 5
2016/2/23, 27, 31, 3
2016/2/24, 14, 33, 5
2016/2/25, 14, 40, 10
2016/2/26, 19, 37, 9
2016/2/27, 21, 42, 10
2016/2/28, 32, 35, 3
2016/2/29, 23, 34, 4
2016/3/1, 28, 33, 3
2016/3/2, 33, 37, 5
2016/3/3, 26, 36, 4
2016/3/4, 36, 41, 10
2016/3/5, 16, 44, 3
2016/3/6, 36, 33, 2
2016/3/7, 35, 24, 3
2016/3/8, 38, 29, 2
2016/3/9, 61, 27, 3
2016/3/10, 20, 24, 2
2016/3/11, 11, 44, 5
2016/3/12, 15, 36, 6
2016/3/13, 17, 38, 5
2016/3/14, 31, 45, 10
2016/3/15, 33, 43, 8
2016/3/16, 66, 34, 4
2016/3/17, 42, 31, 5
2016/3/18, 55, 38, 4
2016/3/19, 47, 35, 2
2016/3/20, 21, 36, 3
2016/3/21, 19, 39, 10
2016/3/22, 21, 40, 6
2016/3/23, 31, 37, 3
2016/3/24, 37, 35, 4
2016/3/25, 20, 43, 8
2016/3/26, 23, 43, 6
2016/3/27, 38, 29, 2
2016/3/28, 37, 36, 5
2016/3/29, 18, 30, 5
2016/3/30, 47, 15, 4
2016/3/31, 37, 38, 5
2016/4/1, 45, 36, 3
2015/10/2, 51, 48, 4
2015/10/3, 31, 57, 6
2015/10/4, 26, 62, 5
2015/10/5, 35, 37, 5
2015/10/6, 28, 57, 8
2015/10/7, 34, 58, 9
2015/10/8, 46, 36, 4
2015/10/9, 35, 41, 6
2015/10/10, 55, 49, 3
2015/10/11, 50, 49, 8
2015/10/12, 57, 38, 4
2015/10/13, 54, 54, 5
2015/10/14, 24, 58, 7
2015/10/15, 36, 57, 7
2015/10/16, 40, 48, 7
2015/10/17, 29, 58, 7
2015/10/18, 49, 45, 5
2015/10/19, 34, 49, 8
2015/10/20, 36, 42, 6
2015/10/21, 31, 30, 3
2015/10/22, 35, 26, 3
2015/10/23, 18, 20, 4
2015/10/24, 21, 25, 1
2015/10/25, 9, 24, 1
2015/10/26, 15, 28, 4
2015/10/27, 16, 29, 8
2015/10/28, 22, 35, 11
2015/10/29, 24, 40, 9
2015/10/30, 35, 22, 2
2015/10/31, 48, 27, 2
2015/11/1, 26, 28, 6
2015/11/2, 22, 38, 10
2015/11/3, 30, 39, 8
2015/11/4, 26, 31, 6
2015/11/5, 21, 17, 4
2015/11/6, 27, 21, 5
2015/11/7, 19, 25, 1
2015/11/8, 18, 26, 3
2015/11/9, 18, 30, 10
2015/11/10, 30, 22, 9
2015/11/11, 34, 29, 5
2015/11/12, 29, 32, 4
2015/11/13, 15, 25, 6
2015/11/14, 21, 19, 9
2015/11/15, 35, 29, 5
2015/11/16, 31, 25, 5
2015/11/17, 22, 27, 5
2015/11/18, 13, 27, 13
2015/11/19, 26, 34, 15
2015/11/20, 32, 41, 12
2015/11/21, 35, 28, 2
2015/11/22, 18, 30, 6
2015/11/23, 22, 31, 16
2015/11/24, 33, 23, 11
2015/11/25, 27, 26, 7
2015/11/26, 21, 24, 2
2015/11/27, 23, 24, 2
2015/11/28, 20, 12, 1
2015/11/29, 7, 7, 2
