date, pm25, pm10, o3, no2, so2
2020/10/15, , 31, 9, , 1
2020/10/16, , 39, 9, , 1
2020/10/17, , 30, 12, , 1
2020/10/18, , 33, 10, 3, 2
2020/10/19, , 48, 14, 5, 2
2020/10/20, , 55, 14, 2, 1
2020/10/21, , 57, 12, 2, 1
2020/10/22, , 53, 11, 6, 2
2020/10/23, , 60, 12, 1, 1
2020/10/24, , 49, 10, 2, 1
2020/10/25, , 76, 8, 4, 1
2020/10/26, , 61, 10, 4, 2
2020/10/27, , 60, 8, 6, 3
2020/10/28, , 71, 8, 6, 2
2020/10/29, , 69, , , 
2020/11/2, , 36, 11, 1, 1
2020/11/3, , 28, 10, , 1
2020/11/4, , 26, 13, , 1
2020/11/5, , 21, 9, , 1
2020/11/6, , 20, 11, , 1
2020/11/7, , 23, 9, 4, 2
2020/11/8, , 43, 10, 3, 1
2020/11/9, , 58, 9, 3, 1
2020/11/10, , 51, 12, 3, 2
2020/11/11, , 47, 13, 1, 2
2020/11/12, , 35, 12, 1, 1
2020/11/13, , 35, 12, , 1
2020/11/14, , 35, 13, , 1
2020/11/15, , 43, 9, 1, 2
2020/11/16, , 34, 10, 2, 1
2020/11/17, , 26, 10, 4, 2
2020/11/18, , 37, 10, 2, 2
2020/11/19, , 44, 10, 4, 3
2020/11/20, , 61, 14, 1, 1
2020/11/21, , 41, 10, , 1
2020/11/22, , 23, , , 
2020/11/24, , 42, 10, 4, 2
2020/11/25, , 37, 13, 2, 2
2020/11/26, , 32, 10, , 2
2020/11/27, , 18, 11, 1, 2
2020/11/28, , 25, 10, 3, 2
2020/11/29, , 46, 8, 4, 2
2020/11/30, , 56, 10, 3, 4
2020/12/1, , 43, 8, 6, 8
2020/12/2, , 52, 7, 5, 9
2020/12/3, , 51, 6, 4, 2
2020/12/4, , 41, 9, , 2
2020/12/5, , 32, 8, 1, 2
2020/12/6, , 38, 13, 1, 1
2020/12/7, , 28, 12, 3, 2
2020/12/8, , 30, 14, 1, 2
2020/12/9, , 39, , , 
2020/12/13, , 43, 10, 1, 2
2020/12/14, , 41, 10, 2, 2
2020/12/15, , 52, 11, , 1
2020/12/16, , 109, 10, , 1
2020/12/17, , 38, 10, 1, 1
2020/12/18, , 18, 9, , 1
2020/12/19, , 27, 8, 4, 2
2020/12/20, , 37, 8, 5, 2
2020/12/21, , 45, 9, 4, 3
2020/12/22, , 56, 12, 2, 2
2020/12/23, , 48, 12, 1, 1
2020/12/24, , 32, 10, 2, 1
2020/12/25, , 29, 12, 2, 2
2020/12/26, , 32, 10, 2, 2
2020/12/27, , 94, 8, 2, 2
2020/12/28, , 46, 9, 2, 1
2020/12/29, , 36, 8, 3, 2
2020/12/30, , 37, 10, 3, 3
2020/12/31, , 45, 11, 4, 2
2021/1/1, , 36, 12, 1, 1
2021/1/2, , 32, 11, 4, 3
2021/1/3, , 38, 13, 5, 3
2021/1/4, , 46, 14, 4, 3
2020/7/2, , 30, , 1, 1
2020/7/3, , 35, , 1, 1
2020/7/4, , 35, 20, , 1
2020/7/5, , 37, 23, , 1
2020/7/6, , 38, 19, , 1
2020/7/7, , 40, 20, , 1
2020/7/8, , 34, , , 
2020/7/10, , 30, 17, , 1
2020/7/11, , 29, 19, , 1
2020/7/12, , 33, 20, , 1
2020/7/13, , 34, 20, 1, 1
2020/7/14, , 37, 20, 1, 1
2020/7/15, , 40, 21, 1, 1
2020/7/16, , 41, 20, 1, 1
2020/7/17, , 42, 18, , 1
2020/7/18, , 33, 18, 1, 1
2020/7/19, , 36, 19, 1, 1
2020/7/20, , 38, 21, 2, 1
2020/7/21, , 43, 20, 1, 1
2020/7/22, , 35, 21, 1, 1
2020/7/23, , 32, 23, 1, 1
2020/7/24, , 38, 23, , 1
2020/7/25, , 36, 23, , 1
2020/7/26, , 32, 20, 3, 1
2020/7/27, , 43, 21, 1, 1
2020/7/28, , 51, 20, 1, 1
2020/7/29, , 52, 20, 2, 1
2020/7/30, , 43, 22, 1, 1
2020/7/31, , 33, 23, 1, 1
2020/8/1, , 29, 22, , 1
2020/8/2, , 36, 21, 1, 1
2020/8/3, , 32, 24, 1, 1
2020/8/4, , 32, 20, 1, 1
2020/8/5, , 39, 21, 1, 1
2020/8/6, , 37, 22, 1, 1
2020/8/7, , 31, 23, , 1
2020/8/8, , 33, 16, , 1
2020/8/9, , 38, 18, , 1
2020/8/10, , 29, 16, , 1
2020/8/11, , 28, 19, , 1
2020/8/12, , 26, 19, , 1
2020/8/13, , 33, 21, , 1
2020/8/14, , 41, 21, , 1
2020/8/15, , 38, 20, , 1
2020/8/16, , 38, 23, 1, 1
2020/8/17, , 35, 23, 1, 1
2020/8/18, , 32, 24, 1, 1
2020/8/19, , 34, 21, 1, 1
2020/8/20, , 37, 22, 1, 1
2020/8/21, , 29, 19, , 1
2020/8/22, , 27, 19, , 1
2020/8/23, , 32, 13, , 1
2020/8/24, , 33, , , 
2020/8/26, , 42, 22, , 1
2020/8/27, , 37, 20, 1, 1
2020/8/28, , 30, 18, , 1
2020/8/29, , 31, 15, 3, 1
2020/8/30, , 49, 17, 2, 1
2020/8/31, , 60, 21, 2, 1
2020/9/1, , 56, 22, 1, 1
2020/9/2, , 47, 19, 2, 1
2020/9/3, , 53, 20, 5, 1
2020/9/4, , 71, 21, 3, 1
2020/9/5, , 62, 22, 2, 1
2020/9/6, , 62, 23, 3, 1
2020/9/7, , 62, 23, 3, 1
2020/9/8, , 59, 25, 2, 1
2020/9/9, , 56, 16, 2, 1
2020/9/10, , 51, 27, 4, 1
2020/9/11, , 61, 23, 1, 1
2020/9/12, , 54, 23, 1, 1
2020/9/13, , 50, 21, 1, 1
2020/9/14, , 36, 21, 1, 1
2020/9/15, , 36, 22, 2, 1
2020/9/16, , 45, 22, 2, 1
2020/9/17, , 53, 21, 2, 1
2020/9/18, , 46, 22, , 1
2020/9/19, , 35, 17, 1, 1
2020/9/20, , 37, 20, 3, 1
2020/9/21, , 46, 14, 1, 1
2020/9/22, , 37, 18, , 1
2020/9/23, , 32, 19, , 1
2020/9/24, , 31, 21, , 1
2020/9/25, , 33, 20, , 1
2020/9/26, , 30, 17, , 1
2020/9/27, , 34, 19, 2, 1
2020/9/28, , 38, , 1, 1
2020/9/29, , 60, , 2, 1
2020/9/30, , 55, 11, 1, 1
2020/10/1, , 49, 10, 1, 1
2020/4/2, , 20, , , 1
2020/4/3, , 16, , , 1
2020/4/4, , 15, , , 1
2020/4/5, , 14, , , 1
2020/4/6, , 23, , , 1
2020/4/7, , 21, , , 1
2020/4/8, , 16, , , 1
2020/4/9, , 13, , , 1
2020/4/10, , 12, , , 1
2020/4/11, , 13, , , 1
2020/4/12, , 14, , , 1
2020/4/13, , 14, , 1, 1
2020/4/14, , 14, , , 1
2020/4/15, , 16, , , 1
2020/4/16, , 16, , , 1
2020/4/17, , 16, , , 1
2020/4/18, , 16, , , 1
2020/4/19, , 15, , , 1
2020/4/20, , 18, , , 1
2020/4/21, , 18, , 1, 1
2020/4/22, , 18, , , 1
2020/4/23, , 18, , , 1
2020/4/24, , 20, , , 1
2020/4/25, , 21, , , 1
2020/4/26, , 17, , , 1
2020/4/27, , 14, , , 1
2020/4/28, , 15, , , 1
2020/4/29, , 13, , , 1
2020/4/30, , 22, , , 1
2020/5/1, , 27, , , 1
2020/5/2, , 30, , , 1
2020/5/3, , 29, , , 1
2020/5/4, , 30, , , 1
2020/5/5, , 33, , , 1
2020/5/6, , 28, , , 1
2020/5/7, , 21, , , 1
2020/5/8, , 23, , , 1
2020/5/9, , 29, , , 1
2020/5/10, , 36, , , 1
2020/5/11, , 28, , 1, 1
2020/5/12, , 28, , 1, 1
2020/5/13, , 34, , 1, 1
2020/5/14, , 56, , 1, 1
2020/5/15, , 75, , , 1
2020/5/16, , 52, , , 1
2020/5/17, , 43, , 1, 1
2020/5/18, , 63, , , 1
2020/5/19, , 56, , , 1
2020/5/20, , 70, , 1, 1
2020/5/21, , 68, , 1, 1
2020/5/22, , 57, , , 1
2020/5/23, , 56, , , 1
2020/5/24, , 28, , , 1
2020/5/25, , 28, , , 1
2020/5/26, , 27, , 1, 1
2020/5/27, , 37, , 1, 1
2020/5/28, , 59, , , 1
2020/5/29, , 30, , , 1
2020/5/30, , 36, , , 1
2020/5/31, , 29, , , 1
2020/6/1, , 27, , , 1
