date, pm25, pm10, o3, no2, so2
2020/8/13, 73, 29, 29, 5, 
2020/8/14, 70, 23, 40, 3, 
2020/8/15, 57, 16, 38, 1, 
2020/8/16, 46, 11, 21, 3, 
2020/8/17, 37, 10, 28, 3, 
2020/8/18, 28, 7, 21, 2, 
2020/8/19, 16, 6, 16, 2, 
2020/8/20, 14, 13, 27, 1, 
2020/8/21, 25, 10, 28, 1, 
2020/8/22, 21, 6, 25, , 
2020/8/23, 14, 6, 24, , 
2020/8/24, 13, 7, 25, 2, 
2020/8/25, 17, 5, 25, , 
2020/8/26, 9, , , , 
2020/8/28, 23, 5, 22, 4, 
2020/8/29, 15, 5, 22, 4, 
2020/8/30, 14, 7, 29, 3, 
2020/8/31, 18, 16, 29, 8, 
2020/9/1, 46, 13, 35, 6, 
2020/9/2, 41, 11, 30, 5, 
2020/9/3, 33, 7, 20, 1, 
2020/9/4, 18, 11, 22, 2, 
2020/9/5, 25, 11, 24, 1, 
2020/9/6, 27, 8, 23, 3, 
2020/9/7, 20, 8, 18, 3, 
2020/9/8, 24, 7, 16, 1, 
2020/9/9, 16, 7, 21, 4, 
2020/9/10, 16, 14, 26, 9, 
2020/9/11, 31, 11, 24, 3, 
2020/9/12, 31, 9, 24, 1, 
2020/9/13, 21, 9, 24, 2, 
2020/9/14, 25, 15, 39, 9, 
2020/9/15, 37, 26, 50, 16, 
2020/9/16, 61, 30, 24, 9, 
2020/9/17, 67, 19, 28, 3, 
2020/9/18, 43, 15, 32, 4, 
2020/9/19, 24, 16, 36, 2, 
2020/9/20, 28, 14, 33, 2, 
2020/9/21, 32, 19, 35, 9, 
2020/9/22, 47, 26, 38, 5, 
2020/9/23, 65, 16, 28, 4, 
2020/9/24, 48, 7, 26, 7, 
2020/9/25, 17, 9, 26, 5, 
2020/9/26, 19, 7, 26, 4, 
2020/9/27, 14, 12, 25, 4, 
2020/9/28, 27, 13, 16, 10, 
2020/9/29, 38, 15, 25, 9, 
2020/9/30, 49, 10, 21, 4, 
2020/10/1, 33, 8, 24, 7, 
2020/4/2, 32, 7, 30, 2, 
2020/4/3, 20, 11, 31, 4, 
2020/4/4, 30, 12, 31, 4, 
2020/4/5, 38, 15, 36, 2, 
2020/4/6, 38, 9, 34, 2, 
2020/4/7, 24, 16, 38, 7, 
2020/4/8, 43, 27, 41, 12, 
2020/4/9, 68, 29, 40, 6, 
2020/4/10, 67, 30, 48, 5, 
2020/4/11, 75, 27, 49, 4, 
2020/4/12, 70, 16, 36, 3, 
2020/4/13, 45, 14, 32, 1, 
2020/4/14, 33, 17, 34, 5, 
2020/4/15, 42, 21, 40, 7, 
2020/4/16, 57, 38, 43, 8, 
2020/4/17, 85, 16, 30, 3, 
2020/4/18, 39, 11, 23, 4, 
2020/4/19, 31, 12, 36, 2, 
2020/4/20, 32, 16, 36, 2, 
2020/4/21, 31, 20, 37, 3, 
2020/4/22, 42, 27, 41, 3, 
2020/4/23, 54, 23, 41, 4, 
2020/4/24, 50, 24, 46, 5, 
2020/4/25, 56, 18, 34, 4, 
2020/4/26, 53, 21, 40, 3, 
2020/4/27, 59, 13, 31, 4, 
2020/4/28, 34, 5, 24, 4, 
2020/4/29, 17, 7, 24, 3, 
2020/4/30, 23, 5, 25, 2, 
2020/5/1, 11, 5, 30, 2, 
