date, pm25, o3, no2, co
2021/2/2, 63, , , 
2021/2/3, 154, , , 
2021/2/4, 133, , , 
2021/2/5, 150, , , 
2021/2/6, 127, , , 
2021/2/7, 97, , , 
2021/2/8, 68, , , 
2021/2/9, 91, , , 
2021/2/10, 134, , , 
2021/2/11, 149, , , 
2021/2/12, 153, , , 
2021/2/13, 70, , , 
2021/2/14, 69, , , 
2021/2/15, 77, , , 
2021/2/16, 113, , , 
2021/2/17, 108, , , 
2021/2/18, 88, , , 
2021/2/19, 60, , , 
2021/2/20, 72, , , 
2021/2/21, 87, , , 
2021/2/22, 64, , , 
2021/2/23, 85, , , 
2021/2/24, 91, , , 
2021/2/25, 62, , , 
2021/2/26, 80, , , 
2021/2/28, 113, , , 
2021/3/1, 113, , , 
2021/3/2, 75, , , 
2021/3/3, 105, , , 
2021/3/4, 102, , , 
2021/3/5, 108, , , 
2021/3/6, 79, , , 
2021/3/7, 77, , , 
2021/3/8, 69, , , 
2021/3/9, 95, , , 
2021/3/10, 70, , , 
2021/3/11, 96, , , 
2021/3/12, 112, , , 
2021/3/13, 78, , , 
2021/3/14, 83, , , 
2021/3/15, 80, , , 
2021/3/16, 81, , , 
2021/3/17, 141, , , 
2021/3/18, 149, , , 
2021/3/19, 87, , , 
2021/3/20, 111, , , 
2021/3/21, 62, , , 
2021/3/22, 65, , , 
2021/3/23, 70, , , 
2021/3/24, 92, , , 
2021/3/25, 114, , , 
2021/3/26, 148, , , 
2021/3/27, 134, , , 
2021/3/28, 130, , , 
2021/3/29, 100, , , 
2021/3/30, 157, , , 
2021/3/31, 104, , , 
2021/4/1, 115, , , 
2020/10/2, 74, , , 
2020/10/3, 86, , , 
2020/10/4, 77, , , 
2020/10/5, 79, , , 
2020/10/7, 86, , , 
2020/10/8, 95, , , 
2020/10/9, 86, , , 
2020/10/10, 81, , , 
2020/10/11, 57, , , 
2020/10/12, 71, , , 
2020/10/13, 64, , , 
2020/10/14, 69, , , 
2020/10/15, 84, , , 
2020/10/16, 88, , , 
2020/10/17, 97, , , 
2020/10/18, 93, , , 
2020/10/19, 82, , , 
2020/10/20, 102, , , 
2020/10/21, 117, , , 
2020/10/22, 129, , , 
2020/10/23, 194, , , 
2020/10/24, 113, , , 
2020/10/25, 87, , , 
2020/10/26, 89, , , 
2020/10/27, 100, , , 
2020/10/28, 105, , , 
2020/10/29, 83, , , 
2020/10/30, 93, , , 
2020/10/31, 110, , , 
2020/11/1, 106, , , 
2020/11/2, 124, , , 
2020/11/3, 111, , , 
2020/11/4, 134, , , 
2020/11/5, 134, , , 
2020/11/6, 127, , , 
2020/11/7, 149, , , 
2020/11/8, 117, , , 
2020/11/9, 136, , , 
2020/11/10, 115, , , 
2020/11/11, 119, , , 
2020/11/12, 102, , , 
2020/11/13, 106, , , 
2020/11/14, 52, , , 
2020/11/15, 62, , , 
2020/11/16, 58, , , 
2020/11/17, 97, , , 
2020/11/18, 95, , , 
2020/11/19, 164, , , 
2020/11/20, 69, , , 
2020/11/21, 82, , , 
2020/11/22, 124, , , 
2020/11/23, 43, , , 
2020/11/24, 106, , , 
2020/11/25, 119, , , 
