date, pm25, o3, no2, so2, co
2020/10/22, 38, 10, 1, , 
2020/10/23, 25, 9, 2, , 
2020/10/24, 17, 10, 1, , 
2020/10/25, 21, 11, 2, , 
2020/10/26, 13, 9, 2, , 
2020/10/27, 34, 9, 3, , 
2020/10/28, 53, 8, 1, , 
2020/10/29, 25, 6, 3, , 
2020/10/30, 30, 9, 1, , 
2020/10/31, 21, 10, 1, , 
2020/11/1, 13, 8, 3, , 
2020/11/2, 34, 6, 7, , 
2020/11/3, 17, 258, 500, 273, 
2020/11/4, 63, 5, 3, , 
2020/11/5, 59, 5, 1, , 
2020/11/6, 25, 8, 1, , 
2020/11/7, 42, , , , 
2020/11/11, 49, 7, 11, , 
2020/11/12, 61, 11, 2, , 
2020/11/13, 25, 1, 25, , 
2020/11/14, 59, 11, 7, , 
2020/11/15, 53, 10, 2, , 
2020/11/16, 38, 12, 1, , 
2020/11/17, 34, 12, 1, , 
2020/11/18, 17, 10, 1, , 
2020/11/19, 46, 9, 2, , 
2020/11/20, 30, 12, 2, , 
2020/11/21, 9, 8, 7, , 
2020/11/22, 68, 7, 8, , 
2020/11/23, 61, 11, 3, , 
2020/11/24, 46, 10, 4, , 
2020/11/25, 46, 11, 5, , 
2020/11/26, 55, 10, 4, , 
2020/11/27, 21, 11, 5, , 
2020/11/28, 30, 9, 10, , 
2020/11/29, 21, 8, 12, , 
2020/11/30, 25, 9, 11, , 
2020/12/1, 50, 6, 18, , 
2020/12/2, 38, 9, 8, , 
2020/12/3, 17, 6, 15, , 
2020/12/4, 55, 3, 19, , 
2020/12/5, 87, 8, 13, , 
2020/12/6, 46, 7, 13, , 
2020/12/7, 65, 1, 26, , 
2020/12/8, 57, 4, 25, , 
2020/12/9, 46, 9, 8, , 
2020/12/10, 50, 9, 6, , 
2020/12/11, 25, 2, 18, , 
2020/12/12, 80, 7, 3, , 
2020/12/13, 55, 11, 1, , 
2020/12/14, 13, 8, 11, , 
2020/12/15, 25, 11, 3, , 
2020/12/16, 21, 9, 6, , 
2020/12/17, 61, 7, 7, , 
2020/12/18, 80, 10, 1, , 
2020/12/19, 21, 10, 5, , 
2020/12/20, 25, 2, 19, , 
2020/12/21, 42, 9, 4, , 
2020/12/22, 34, 342, 500, 204, 
2020/12/23, 80, 10, 3, , 
2020/12/24, 21, 9, 4, , 
2020/12/25, 72, 11, 9, , 
2020/12/26, 17, 9, 5, , 
2020/12/27, 25, 10, 6, , 
2020/12/28, 21, 9, 11, , 
2020/12/29, 17, 10, 7, , 
2020/12/30, 53, 12, 3, , 
2020/12/31, 25, , 28, , 
2021/1/1, 95, 5, 13, , 
2021/1/2, 122, 7, 11, , 
2021/1/3, 97, 11, 7, , 
2021/1/4, 13, 12, 7, , 
2019/7/17, 35, 14, 3, , 
2019/7/18, 27, 14, 4, , 
2019/7/19, 18, 9, 2, , 
2019/7/20, 12, 11, 3, , 
2019/7/21, 26, 10, 3, , 
2019/7/22, 43, 16, 3, , 
2019/7/23, 30, 16, 3, , 
2019/7/24, 32, 13, 4, , 
2019/7/25, 34, 13, 1, , 
2019/7/26, 16, , , , 
2019/4/2, 43, 15, 5, , 
2019/4/3, 22, 15, 4, , 
2019/4/4, 39, 13, 4, , 
2019/4/5, 45, 13, 3, , 
2019/4/6, 49, 8, 2, , 
2019/4/7, 30, 16, 3, , 
2019/4/8, 41, 16, 3, , 
2019/4/9, 38, 9, 3, , 
2019/4/10, 33, 14, 3, , 
2019/4/11, 37, 14, 3, , 
2019/4/12, 34, 17, 9, , 
2019/4/13, 63, 17, 4, , 
2019/4/14, 36, 16, 2, , 
2019/4/15, 17, 15, 3, , 
2019/4/16, 30, 16, 6, , 
2019/4/17, 48, 18, 3, , 
2019/4/18, 27, 16, 3, , 
2019/4/19, 23, 17, 2, , 
2019/4/20, 23, 17, 1, , 
2019/4/21, 35, 16, 3, , 
