date, pm25, pm10, o3, no2, so2
2020/7/21, 12, 11, 25, 6, 1
2020/7/22, 22, 8, 19, 4, 
2020/7/23, 19, 8, 15, 4, 
2020/7/24, 13, 8, 21, 4, 
2020/7/25, 16, 6, 16, 2, 
2020/7/28, 9, 11, 22, 2, 
2020/7/29, 13, 10, 21, 4, 
2020/7/30, 14, 9, 30, 3, 
2020/7/31, 16, 21, 47, 7, 1
2020/8/1, 36, 9, 22, 2, 
2020/8/2, 17, 6, 23, 2, 
2020/8/3, 11, 7, 22, 4, 
2020/8/4, 10, , 17, 3, 1
2020/8/8, 12, 9, 20, 5, 1
2020/8/9, 17, 17, 34, 4, 1
2020/8/10, 37, 23, 26, 9, 1
2020/8/11, 47, 28, 56, 9, 1
2020/8/12, 70, 25, 46, 13, 1
2020/8/13, 62, 23, 35, 10, 1
2020/8/14, 55, 16, 38, 8, 1
2020/8/15, 40, 16, 34, 6, 2
2020/8/16, 45, 6, 19, 7, 2
2020/8/17, 13, 9, 24, 5, 2
2020/8/18, 23, 6, 19, 3, 3
2020/8/19, 12, 6, 14, 4, 1
2020/8/20, 15, 15, 23, 2, 
2020/8/21, 20, 10, 22, 2, 
2020/8/22, 16, 8, 21, 1, 
2020/8/23, 16, 9, 21, 2, 
2020/8/24, 15, 9, 26, 4, 
2020/8/25, 18, 6, 18, 2, 
2020/8/26, 10, 9, 18, 5, 1
2020/8/27, 13, , 12, 6, 
2020/9/2, 22, 12, 21, 3, 
2020/9/3, 23, 9, 23, 3, 
2020/9/4, 18, 14, 23, 2, 
2020/9/5, 24, 13, 22, 1, 
2020/9/6, 21, 11, 19, 1, 
2020/9/7, 19, 9, 16, 4, 
2020/9/8, 13, 7, 16, 2, 
2020/9/9, 8, 12, 26, 2, 
2020/9/10, 21, 16, 28, 4, 
2020/9/11, 25, 12, 22, 2, 
2020/9/12, 23, 11, 22, 1, 
2020/9/13, 19, 10, 20, 2, 
2020/9/14, 18, 11, 33, 6, 
2020/9/15, 30, , 17, 14, 
2020/9/16, 75, , , , 
2020/4/2, 15, 15, 32, 2, 1
2020/4/3, 26, 13, 32, 3, 1
2020/4/4, 18, 11, 30, 3, 2
2020/4/5, 26, 18, 36, 3, 2
2020/4/6, 40, 15, 31, 2, 1
2020/4/7, 26, 16, 34, 6, 2
2020/4/8, 32, 24, 38, 9, 2
2020/4/9, 46, 28, 34, 11, 1
2020/4/10, 62, 30, 43, 3, 2
2020/4/11, 73, 25, 36, 6, 2
2020/4/12, 66, 22, 30, 5, 3
2020/4/13, 62, 18, 34, 2, 2
2020/4/14, 25, 19, 33, 6, 4
2020/4/15, 38, 25, 34, 8, 4
2020/4/16, 51, 31, 42, 9, 4
2020/4/17, 65, 18, 33, 4, 4
2020/4/18, 35, 15, 24, 5, 4
2020/4/19, 35, 17, 37, 3, 3
2020/4/20, 36, 20, 36, 4, 3
2020/4/21, 24, 24, 38, 4, 3
2020/4/22, 34, 27, 41, 5, 3
2020/4/23, 44, 26, 40, 7, 3
2020/4/24, 49, 26, 47, 7, 3
2020/4/25, 56, 24, 39, 4, 4
2020/4/26, 58, 34, 41, 5, 4
2020/4/27, 83, 9, 32, 3, 3
2020/4/28, 14, 13, 26, 6, 3
2020/4/29, 33, 9, 27, 3, 2
2020/4/30, 19, 9, 28, 1, 1
2020/5/1, 13, 12, 35, 2, 
2020/5/2, 14, 13, 34, 2, 
2020/5/3, 22, 20, 32, 7, 1
2020/5/4, 47, 15, 34, 5, 
2020/5/5, 36, 15, 35, 3, 
2020/5/6, 20, 15, 38, 2, 
2020/5/7, 21, 23, 42, 5, 2
2020/5/8, 51, 22, 30, 6, 2
2020/5/9, 52, 18, 35, 6, 3
2020/5/10, 44, 15, 30, 1, 2
2020/5/11, 18, 12, 30, 3, 2
2020/5/12, 11, 13, 34, 3, 2
2020/5/13, 17, 10, 30, 3, 2
2020/5/14, 10, 13, 32, 6, 3
2020/5/15, 17, 11, 35, 3, 2
2020/5/16, 13, 9, 33, 2, 2
2020/5/17, 14, 12, 31, 1, 2
2020/5/18, 19, 10, 33, , 2
2020/5/19, 18, 12, 26, 3, 2
2020/5/20, 17, 17, 33, 5, 3
2020/5/21, 38, 20, 37, 6, 2
2020/5/22, 37, 30, 31, , 4
2020/5/23, 34, 18, 31, , 3
2020/5/24, 17, 18, 28, 1, 3
2020/5/25, 30, 12, 33, 1, 3
2020/5/26, 17, 12, 27, 3, 3
2020/5/27, 18, 22, 31, 5, 3
2020/5/28, 34, 18, 43, 2, 3
2020/5/29, 38, 14, 39, 3, 5
2020/5/30, 20, 16, 44, 3, 7
2020/5/31, 24, 17, 50, 3, 7
2020/6/1, 43, 16, 39, 7, 7
2020/6/2, 30, 19, 43, 8, 7
2020/6/3, 39, 12, 33, 7, 3
2020/6/4, 29, 9, 27, 4, 4
2020/6/5, 15, 12, 26, 2, 4
2020/6/6, 13, 14, 28, 1, 4
2020/6/7, 27, 15, 26, 2, 3
2020/6/8, 31, 18, 25, 5, 3
2020/6/9, 40, 20, 28, 5, 5
2020/6/10, 44, 16, 24, 4, 3
2020/6/11, 42, 16, 28, 5, 4
2020/6/12, 35, 8, 25, 5, 5
2020/6/13, 19, 14, 34, 4, 5
2020/6/14, 44, 18, 35, 5, 5
2020/6/15, 53, 27, 40, 9, 7
2020/6/16, 73, 22, 36, 9, 4
2020/6/17, 60, 15, 34, 6, 5
2020/6/18, 54, 13, 19, 11, 3
2020/6/19, 43, 8, 22, 3, 4
2020/6/20, 28, 9, 26, 2, 6
2020/6/21, 27, 14, 23, 1, 6
