date, pm25, pm10, o3, so2
2018/6/13, 50, , 39, 
2018/6/14, 18, , 39, 1
2018/6/15, 20, , 44, 1
2018/6/16, 35, , 37, 
2018/6/17, 49, , 32, 
2018/6/18, 45, , 27, 
2018/6/19, 35, , 16, 
2018/6/20, 36, , 26, 
2018/6/21, 43, , 25, 
2018/6/22, 37, , 29, 
2018/6/23, 27, , 35, 1
2018/6/24, 33, , 35, 
2018/6/25, 40, , 33, 
2018/6/26, 34, , 29, 
2018/6/27, 39, , 39, 
2018/6/28, 34, , 39, 
2018/6/29, 28, , 32, 
2018/6/30, 30, , 31, 
2018/7/1, 40, , 33, 
2018/1/2, 32, , , 1
2018/1/3, 34, , , 1
2018/1/4, 42, , , 1
2018/1/5, 26, , , 1
2018/1/6, 38, , , 1
2018/1/7, 33, , , 2
2018/1/8, 43, , , 
2018/1/9, 46, , , 1
2018/1/10, 60, , , 
2018/1/11, 39, , , 
2018/1/12, 17, , , 1
2018/1/13, 14, , , 2
2018/1/14, 25, , , 1
2018/1/15, 39, , , 1
2018/1/16, 42, , , 1
2018/1/17, 37, , , 1
2018/1/18, 44, , , 
2018/1/19, 47, , , 
2018/1/20, 45, , , 
2018/1/21, 55, , , 
2018/1/22, 72, , , 
2018/1/23, 13, , , 
2018/1/24, 20, , , 
2018/1/25, 25, , , 
2018/1/26, 54, , , 
2018/1/27, 37, , , 
2018/1/28, 29, , , 
2018/1/29, 38, , , 
2018/1/30, 21, , , 1
2018/1/31, 27, , , 
2018/2/1, 28, , , 1
2018/2/2, 176, , , 
2018/2/3, 21, , , 
2018/2/4, 31, , , 
2018/2/5, 18, , , 
2018/2/6, 24, , , 
2018/2/7, 42, , , 
2018/2/8, 52, , , 
2018/2/9, 46, , , 
2018/2/10, 51, , , 
2018/2/11, 44, , , 1
2018/2/12, 54, , , 
2018/2/13, 41, , , 
2018/2/14, 59, , , 
2018/2/15, 71, , , 
2018/2/16, 55, , , 
2018/2/17, 24, , , 
2018/2/24, 31, , , 
2018/2/25, 42, , , 
2018/2/26, 19, , , 
2018/2/27, 27, , , 
2018/2/28, 23, , , 
2018/3/1, 47, , 33, 
2018/3/2, 20, , 35, 1
2018/3/3, 26, , 34, 
2018/3/4, 21, , 35, 
2018/3/5, 16, , 29, 
2018/3/6, 18, , 30, 
2018/3/7, 33, , 34, 
2018/3/8, 16, , 36, 
2018/3/9, 19, , 37, 
2018/3/10, 31, , 39, 
2018/3/11, 46, , 41, 
2018/3/12, 43, , 37, 1
2018/3/13, 38, , 35, 
2018/3/14, 20, , 36, 
2018/3/15, 24, , 39, 
2018/3/16, 34, , 31, 
2018/3/17, 15, , 36, 
2018/3/18, 29, , 42, 1
2018/3/19, 46, , 35, 
2018/3/20, 21, , 31, 
2018/3/21, 13, , 35, 
2018/3/22, 18, , 38, 
2018/3/23, 26, , 36, 
2018/3/24, 24, , 33, 
2018/3/25, 14, , 36, 
2018/3/26, 13, , 31, 
2018/3/27, 35, , 26, 
2018/3/28, 31, , 31, 
2018/3/29, 53, , 35, 
2018/3/30, 27, , 34, 
2018/3/31, 17, , 32, 
2018/4/1, 20, , 35, 
2017/10/2, 21, , , 
2017/10/8, 45, , 33, 1
2017/10/9, 17, , 26, 
2017/10/10, 32, , 19, 
2017/10/11, 19, , 20, 1
2017/10/12, 15, , 24, 1
2017/10/13, 22, , 16, 1
2017/10/14, 40, , 18, 1
2017/10/15, 31, , 26, 1
2017/10/16, 12, , 26, 1
2017/10/17, 22, , 33, 
2017/10/18, 23, , 20, 1
2017/10/19, 27, , , 
2017/10/20, 26, , , 
2017/10/21, 47, , , 
2017/10/22, 46, , , 1
2017/10/23, 23, , , 1
2017/10/24, 18, , , 
2017/10/25, 19, , , 
2017/10/26, 22, , , 2
2017/10/27, 30, , , 
2017/10/28, 16, , , 
2017/10/29, 14, , , 
2017/10/30, 22, , , 
2017/10/31, 25, , , 1
2017/11/1, 17, , , 1
2017/11/2, 36, , , 
2017/11/3, 45, , , 1
2017/11/4, 28, , , 1
2017/11/5, 22, , , 
2017/11/6, 23, , , 1
2017/11/7, 28, , , 1
2017/11/8, 9, , , 1
2017/11/9, 14, , , 1
2017/11/10, 13, , , 1
2017/11/11, 17, , , 1
2017/11/12, 11, , , 
2017/11/13, 9, , , 1
2017/11/14, 54, , , 1
2017/11/15, 61, , , 1
2017/11/16, 32, , , 1
2017/11/17, 11, , , 1
2017/11/18, 39, , , 
2017/11/19, 25, , , 
2017/11/20, 28, , , 
2017/11/21, 21, , , 
2017/11/22, 18, , , 
2017/11/24, 33, , , 
2017/11/25, 26, , , 
2017/11/26, 16, , , 1
2017/11/27, 26, , , 2
2017/11/28, 46, , , 1
2017/11/29, 30, , , 1
2017/11/30, 16, , , 
2017/12/1, 16, , , 1
2017/12/2, 19, , , 2
2017/12/3, 36, , , 2
2017/12/4, 66, , , 2
2017/12/5, 44, , , 
2017/12/6, 15, , , 
2017/12/7, 11, , , 1
2017/12/8, 14, , , 
2017/12/9, 21, , , 
2017/12/10, 25, , , 
2017/12/11, 24, , , 1
2017/12/12, 41, , , 1
2017/12/13, 13, , , 
2017/12/14, 21, , , 1
2017/12/15, 13, , , 
2017/12/16, 21, , , 
2017/12/17, 28, , , 1
2017/12/18, 66, , , 
2017/12/19, 72, , , 
2017/12/20, 17, , , 1
2017/12/21, 18, , , 
2017/12/22, 39, , , 
2017/12/23, 53, , , 
2017/12/24, 41, , , 
2017/12/25, 16, , , 1
2017/12/26, 18, , , 1
2017/12/27, 21, , , 2
2017/12/28, 37, , , 1
2017/12/29, 45, , , 1
2017/12/30, 54, , , 1
2017/12/31, 36, , , 1
2018/1/1, 24, , , 1
2017/7/2, 19, , 33, 1
2017/7/3, 26, , 36, 1
2017/7/4, 32, , 44, 1
2017/7/5, 37, , 43, 1
2017/7/6, 50, , 41, 
2017/7/7, 34, , 29, 1
2017/7/8, 24, , 27, 1
2017/7/9, 20, , 36, 1
2017/7/10, 23, , 44, 1
2017/7/11, 19, , 38, 
2017/7/12, 34, , 33, 1
2017/7/13, 25, , 27, 1
2017/7/14, 24, , 19, 1
2017/7/15, 17, , 29, 
2017/7/16, 17, , 27, 
2017/7/17, 37, , 32, 1
2017/7/18, 26, , 36, 1
2017/7/19, 34, , 35, 
2017/7/20, 32, , 35, 1
2017/7/21, 16, , 35, 1
2017/7/22, 44, , 38, 
2017/7/23, 33, , 35, 1
2017/7/24, 31, , 31, 
2017/7/25, 21, , 35, 1
2017/7/26, 25, , 30, 1
2017/7/27, 34, , 30, 1
2017/7/28, 31, , 27, 1
2017/7/29, 27, , 27, 1
2017/7/30, 27, , 1, 
2017/7/31, 50, , , 
2017/8/2, 36, , 37, 1
2017/8/3, 43, , 33, 1
2017/8/4, 25, , 24, 1
2017/8/5, 16, , 27, 
2017/8/6, 20, , 28, 1
2017/8/7, 27, , 28, 1
2017/8/8, 21, , 34, 1
2017/8/9, 29, , 36, 1
2017/8/10, 34, , 36, 1
2017/8/11, 35, , 28, 1
2017/8/12, 20, , 28, 1
2017/8/13, 29, , 26, 1
2017/8/14, 42, , 34, 1
2017/8/15, 37, , 35, 1
2017/8/16, 38, , 39, 1
2017/8/17, 39, , 26, 1
2017/8/18, 18, , 27, 1
2017/8/19, 36, , 33, 1
2017/8/20, 52, , 35, 1
2017/8/21, 47, , 30, 
2017/8/22, 47, , 30, 
2017/8/23, 21, , 25, 
2017/8/24, 27, , 30, 1
2017/8/25, 22, , 33, 1
2017/8/26, 21, , 34, 1
2017/8/27, 36, , 30, 
2017/8/28, 47, , 28, 1
2017/8/29, 40, , 39, 1
2017/8/30, 46, , 34, 1
2017/8/31, 37, , 22, 1
2017/9/1, 61, , 29, 1
2017/9/2, 17, , 8, 1
2017/9/3, 31, , , 
2017/9/4, 50, , , 
2017/9/5, 70, , 23, 
2017/9/6, 28, , , 
2017/9/11, 37, , 37, 1
2017/9/12, 34, , 48, 
2017/9/13, 43, , 55, 
2017/9/14, 45, , 48, 
2017/9/15, 49, , 44, 2
2017/9/16, 39, , 40, 
2017/9/17, 57, , 29, 1
2017/9/18, 32, , 33, 1
2017/9/19, 17, , 43, 
2017/9/20, 30, , 36, 
2017/9/21, 50, , 29, 1
2017/9/22, 30, , 31, 
2017/9/23, 48, , 45, 
2017/9/24, 56, , 50, 1
2017/9/25, 57, , 41, 
2017/9/26, 50, , 31, 
2017/9/27, 28, , 20, 1
2017/9/28, 19, , 30, 1
2017/9/29, 16, , 24, 1
2017/9/30, 21, , 31, 1
2017/10/1, 17, , 21, 1
2017/4/2, 36, , 33, 
2017/4/3, 42, , 28, 
2017/4/4, 39, , 35, 
2017/4/5, 26, , 30, 
2017/4/6, 14, , 35, 
2017/4/7, 14, , 38, 
2017/4/8, 20, , 44, 1
2017/4/9, 33, , 41, 1
2017/4/10, 44, , 42, 
2017/4/11, 37, , 24, 
2017/4/12, 13, , 37, 
2017/4/13, 29, , 41, 
2017/4/14, 24, , 36, 1
2017/4/15, 44, , 42, 
2017/4/16, 43, , 39, 
2017/4/17, 11, , 40, 
2017/4/18, 16, , 48, 1
2017/4/19, 19, , 27, 
2017/4/20, 23, , 26, 
2017/4/21, 11, , 34, 
2017/4/22, 16, , 39, 1
2017/4/23, 31, , 47, 
2017/4/24, 39, , 52, 1
2017/4/25, 23, , 47, 1
2017/4/26, 27, , 25, 1
2017/4/27, 31, , 23, 
2017/4/28, 10, , 30, 
2017/4/29, 13, , 36, 
2017/4/30, 15, , 31, 
2017/5/1, 8, , 27, 
2017/5/2, 9, , 36, 
2017/5/3, 11, , 39, 1
2017/5/4, 18, , 42, 1
2017/5/5, 22, , 37, 1
2017/5/6, 15, , 33, 
2017/5/7, 15, , 37, 
2017/5/8, 19, , 42, 
2017/5/9, 18, , 35, 
2017/5/10, 18, , 34, 1
2017/5/11, 44, , 44, 
2017/5/12, 50, , 44, 
2017/5/19, 13, , 30, 
2017/5/20, 14, , 26, 
2017/5/21, 22, , 27, 
2017/5/22, 20, , 34, 
2017/5/23, 19, , 34, 
2017/5/24, 23, , 25, 
2017/5/25, 19, , 41, 
2017/5/26, 37, , 36, 
2017/5/27, 48, , 40, 
2017/5/28, 39, , 38, 1
2017/5/29, 25, , 30, 
2017/5/30, 20, , 32, 
2017/5/31, 14, , 35, 
2017/6/1, 17, , 40, 
2017/6/2, 24, , 53, 1
2017/6/3, 40, , 48, 1
2017/6/4, 41, , 53, 
2017/6/5, 27, , 35, 1
2017/6/6, 31, , 37, 1
2017/6/7, 14, , 43, 1
2017/6/8, 21, , 47, 1
2017/6/9, 22, , 47, 1
2017/6/10, 43, , 48, 1
2017/6/11, 46, , 47, 1
2017/6/12, 43, , 40, 1
2017/6/13, 43, , 44, 
2017/6/14, 19, , 35, 1
2017/6/15, 31, , 46, 1
2017/6/16, 21, , 53, 1
2017/6/17, 16, , 38, 
2017/6/18, 16, , 28, 
2017/6/19, 16, , 29, 
2017/6/20, 12, , 35, 
2017/6/21, 14, , 46, 1
2017/6/22, 23, , 30, 1
2017/6/23, 33, , 36, 1
2017/6/24, 21, , 27, 
2017/6/25, 15, , 18, 
2017/6/26, 16, , 22, 
2017/6/27, 16, , 30, 
2017/6/28, 20, , 41, 1
2017/6/29, 23, , 33, 
2017/6/30, 17, , 40, 
2017/7/1, 14, , 34, 1
2017/1/3, 61, , , 
2017/1/4, 48, , , 
2017/1/5, 21, , , 
2017/1/6, 33, , , 
2017/1/7, 47, , , 1
2017/1/8, 36, , , 
2017/1/9, 27, , , 
2017/1/10, 51, , , 
2017/1/11, 38, , , 
2017/1/12, 50, , , 
2017/1/13, 27, , , 1
2017/1/14, 37, , , 
2017/1/15, 73, , , 1
2017/1/16, 71, , , 
2017/1/17, 62, , , 
2017/1/18, 29, , , 
2017/1/19, 34, , , 
2017/1/20, 60, , , 
2017/1/21, 32, , , 
2017/1/22, 41, , , 
2017/1/23, 41, , , 
2017/1/24, 30, , , 
2017/1/25, 22, , , 
2017/1/26, 14, , , 
2017/1/27, 13, , , 
2017/1/28, 28, , , 
2017/1/29, 49, , , 
2017/1/30, 17, , , 
2017/1/31, 21, , , 
2017/2/1, 36, , , 1
2017/2/2, 24, , , 
2017/2/3, 24, , , 
2017/2/4, 28, , , 1
2017/2/5, 28, , , 1
2017/2/6, 46, , , 1
2017/2/7, 70, , , 
2017/2/8, 54, , , 
2017/2/9, 20, , , 
2017/2/10, 26, , , 1
2017/2/11, 41, , , 
2017/2/12, 53, , , 
2017/2/13, 33, , 31, 
2017/2/14, 19, , 38, 1
2017/2/15, 17, , 34, 1
2017/2/16, 17, , 26, 
2017/2/17, 28, , 29, 1
2017/2/18, 55, , 29, 
2017/2/19, 28, , 32, 1
2017/2/20, 48, , 29, 1
2017/2/21, 70, , 24, 
2017/2/22, 27, , 30, 
2017/2/23, 30, , 27, 
2017/2/24, 20, , 28, 
2017/2/25, 10, , 30, 
2017/2/26, 28, , 29, 
2017/2/27, 24, , 30, 
2017/2/28, 41, , 17, 
2017/3/1, 54, , 31, 
