date, pm25, pm10, no2, co
2021/5/22, 41, 18, 22, 4
2021/5/23, 44, 25, 23, 4
2021/5/24, 55, 38, 19, 5
2021/5/25, 67, 30, 12, 4
2021/5/26, 45, 25, 12, 4
2021/5/27, 41, 25, 16, 4
2021/5/28, 51, 25, 22, 5
2021/5/29, 53, 28, 23, 5
2021/5/30, 60, 19, 19, 4
2021/5/31, 49, 15, 10, 3
2021/6/1, 42, 20, 15, 4
2021/6/2, 51, 20, 16, 3
2021/6/3, 53, 30, 27, 6
2021/6/4, 68, 33, 36, 7
2021/6/5, 72, 27, 29, 7
2021/6/6, 62, 24, 25, 5
2021/6/7, 58, 26, 19, 6
2021/6/8, 56, 19, 15, 4
2021/6/9, 49, 22, 19, 5
2021/6/10, 51, 31, 27, 5
2021/6/11, 77, 31, 23, 4
2021/6/12, 74, 25, 19, 4
2021/6/13, 64, 23, 16, 4
2021/6/14, 59, 23, 16, 4
2021/6/15, 59, 23, 9, 2
2021/6/16, 52, 26, 23, 5
2021/6/17, 58, 30, 22, 5
2021/6/18, 60, 28, 19, 5
2021/6/19, 61, 26, 21, 5
2021/6/20, 63, 24, 22, 4
2021/6/21, 57, 49, 26, 7
2021/6/22, 94, 72, 31, 8
2021/6/23, 125, 76, 28, 6
2021/6/24, 121, 75, 26, 7
2021/6/25, 108, 54, 22, 6
2021/6/26, 80, 36, 22, 4
2021/6/27, 68, 35, 29, 4
2021/6/28, 73, 52, 33, 6
2021/6/29, 94, 62, 20, 5
2021/6/30, 93, 57, 18, 5
2021/7/1, 81, 29, 12, 3
2021/1/5, 46, 15, 18, 5
2021/1/6, 36, 18, 16, 4
2021/1/7, 47, 25, 25, 7
2021/1/8, 70, 20, 22, 7
2021/1/9, 57, 16, 16, 4
2021/1/10, 50, 24, 12, 4
2021/1/11, 57, 27, 19, 7
2021/1/12, 65, 22, 18, 7
2021/1/13, 65, 32, 27, 12
2021/1/14, 77, 45, 30, 16
2021/1/15, 111, 13, 13, 3
2021/1/16, 38, 11, 7, 1
2021/1/17, 43, 21, 18, 5
2021/1/18, 67, 18, 16, 6
2021/1/19, 48, 26, 31, 13
2021/1/20, 64, 22, 24, 9
2021/1/21, 49, 20, 18, 5
2021/1/22, 35, 34, 8, 4
2021/1/23, 43, 21, 13, 5
2021/1/24, 30, 15, 7, 3
2021/1/25, 21, 21, 16, 6
2021/1/26, 35, 13, 15, 3
2021/1/27, 37, 30, 30, 9
2021/1/28, 76, 28, 26, 9
2021/1/29, 64, 29, 21, 10
2021/1/30, 68, 32, 20, 10
2021/1/31, 52, 17, 16, 5
2021/2/1, 33, 19, 21, 9
2021/2/2, 48, 28, 26, 15
