date, pm25, pm10, o3, so2, co
2022/1/7, 32, 9, 21, , 1
2022/1/8, 29, 11, 28, , 1
2022/1/9, 36, 13, 25, , 1
2022/1/10, 35, 6, 26, , 1
2022/1/11, 15, 12, 27, 1, 3
2022/1/12, 30, 19, 26, 1, 4
2022/1/13, 40, 26, 32, 1, 4
2022/1/14, 47, 16, 28, 1, 3
2022/1/15, 33, 11, 24, 1, 2
2022/1/16, 35, 8, 19, , 2
2022/1/17, 31, 12, 26, 1, 2
2022/1/18, 37, 12, 28, 1, 3
2022/1/19, 35, 9, 32, , 1
2022/1/20, 22, 8, 21, , 
2022/1/21, 23, 11, 20, , 1
2022/1/22, 34, 11, 27, , 1
2022/1/23, 42, 21, 31, 1, 2
2022/1/24, 60, 20, 31, 1, 2
2022/1/25, 47, 16, 21, , 1
2022/1/26, 52, 11, 27, , 1
2022/1/27, 30, 18, 30, , 1
2022/1/28, 52, 15, 31, , 1
2022/1/29, 36, 11, 30, , 1
2022/1/30, 27, 14, 37, 1, 1
2022/1/31, 34, 24, 37, 1, 1
2022/2/1, 54, 15, 38, , 
2022/2/2, 35, 10, 34, , 1
2022/2/3, 26, 8, 20, , 
2022/2/4, 23, 9, 27, , 1
2022/2/5, 32, 12, 31, , 1
2022/2/6, 34, 18, 34, 1, 4
2022/2/7, 48, 12, 36, 1, 2
2022/2/8, 31, 24, 32, 1, 3
2022/2/9, 52, 37, 40, 1, 5
2022/2/10, 58, 43, 42, 1, 4
2022/2/11, 70, 33, 46, 1, 2
2022/2/12, 59, 25, 30, 1, 1
2022/2/13, 64, 13, 30, , 1
2022/2/14, 34, 33, 36, 1, 3
2022/2/15, 60, 36, 38, 1, 3
2022/2/16, 73, 22, 34, , 1
2022/2/17, 49, 16, 26, , 1
2022/2/18, 32, 9, 30, , 1
2022/2/19, 28, 13, 35, 1, 3
2022/2/20, 37, 20, 33, 1, 4
2022/2/21, 51, 17, 30, , 1
2022/2/22, 44, 17, 23, , 1
2022/2/23, 42, 13, 11, , 1
2022/2/24, 36, 16, 13, , 2
2022/2/25, 44, 6, 18, , 2
2022/2/26, 18, 10, 14, , 2
2022/2/27, 41, 7, 25, , 2
2022/2/28, 29, 12, 37, 1, 2
2022/3/1, 38, 27, 38, 1, 4
2022/3/2, 57, 31, 48, 1, 5
2022/3/3, 64, 40, 53, 1, 6
2022/3/4, 74, 42, 53, 1, 5
2022/3/5, 92, 21, 36, 1, 1
2022/3/6, 56, 16, 28, , 
2022/3/7, 37, 12, 23, , 
2022/3/8, 28, 5, 19, , 1
2022/3/9, 16, 5, 24, , 1
2022/3/10, 19, 14, 36, 1, 2
2022/3/11, 36, 14, 37, 1, 1
2022/3/12, 36, 6, 36, , 1
2022/3/13, 16, 8, 37, , 2
2022/3/14, 25, 14, 36, 1, 1
2022/3/15, 37, 11, 28, , 1
2022/3/16, 33, 10, 28, , 1
2022/3/17, 34, 13, 36, 1, 2
2022/3/18, 42, 18, 35, , 1
2022/3/19, 32, 7, 36, 1, 1
2022/3/20, 17, 15, 41, 1, 3
2022/3/21, 39, 21, 43, 1, 2
2022/3/22, 48, 11, 32, , 1
2022/3/23, 25, 10, 33, , 1
2022/3/24, 21, 18, 42, 1, 2
2022/3/25, 25, 16, 38, , 2
2022/3/26, 31, 17, 39, 1, 2
2022/3/27, 36, 17, 44, , 1
2022/3/28, 40, 24, 37, 1, 1
2022/3/29, 46, 21, 45, 1, 1
2022/3/30, 40, 22, 40, , 1
2022/3/31, 37, 14, 33, , 1
2022/4/1, 28, 9, 35, , 1
2021/10/2, 47, 15, 21, , 
2021/10/3, 44, 12, 24, , 
2021/10/4, 32, 12, 30, , 
2021/10/5, 32, 15, 29, , 
2021/10/6, 40, 15, 34, , 
2021/10/7, 41, 20, 39, , 2
2021/10/8, 46, 29, 46, , 3
2021/10/9, 59, 26, 40, , 1
2021/10/10, 61, 21, 38, 1, 
2021/10/11, 58, 16, 30, , 
2021/10/12, 37, 17, 21, , 
2021/10/13, 33, 17, 25, , 
2021/10/14, 34, 16, 26, , 
2021/10/15, 34, 18, 24, , 
2021/10/16, 35, 15, 31, , 1
2021/10/17, 29, 11, 32, , 
2021/10/18, 25, 16, 33, 1, 1
2021/10/19, 29, 29, 38, 1, 1
2021/10/20, 59, 21, 28, , 1
2021/10/21, 48, 22, 31, , 1
2021/10/22, 48, 29, 41, , 1
2021/10/23, 53, 20, 34, , 1
2021/10/24, 49, 18, 29, , 1
2021/10/25, 48, 23, 34, , 
2021/10/26, 41, 11, 29, , 1
2021/10/27, 25, 16, 23, , 1
2021/10/28, 37, 15, 20, , 1
2021/10/29, 23, 6, 21, , 1
2021/10/30, 10, 9, 20, , 1
2021/10/31, 23, 15, 28, , 2
2021/11/1, 44, 14, 26, 2, 2
2021/11/2, 36, 15, 24, , 1
2021/11/3, 39, 10, 18, , 1
2021/11/4, 29, 11, 20, , 1
2021/11/5, 32, 16, 10, , 2
2021/11/6, 50, 16, 27, , 2
2021/11/7, 50, 21, 30, , 4
2021/11/8, 61, 37, 27, 1, 7
2021/11/9, 73, 39, 27, 1, 7
2021/11/10, 77, 31, 31, 1, 4
2021/11/11, 65, 12, 26, 1, 2
2021/11/12, 30, 18, 28, 1, 4
2021/11/13, 43, 11, 23, , 2
2021/11/14, 22, 22, 28, 1, 3
2021/11/15, 49, 30, 27, 1, 5
2021/11/16, 59, 22, 32, 1, 2
2021/11/17, 46, 17, 30, , 2
2021/11/18, 36, 12, 21, , 1
2021/11/19, 29, 14, 26, 1, 1
2021/11/20, 26, 22, 27, , 2
2021/11/21, 54, 22, 25, , 1
2021/11/22, 55, 16, 28, , 
2021/11/23, 39, 12, 25, , 1
2021/11/24, 27, 13, 28, , 1
2021/11/25, 34, 12, 18, , 1
2021/11/26, 31, 14, 20, , 1
2021/11/27, 43, 17, 20, 1, 3
2021/11/28, 51, 15, 19, , 1
2021/11/29, 45, 16, 21, 1, 3
2021/11/30, 37, 27, 28, 1, 3
2021/12/1, 58, 26, 29, 1, 2
2021/12/2, 55, 30, 34, 1, 3
2021/12/3, 67, 27, 32, 1, 2
2021/12/4, 63, 23, 24, 1, 2
2021/12/5, 61, 18, 26, 1, 2
2021/12/6, 51, 13, 22, , 
2021/12/7, 33, 15, 18, , 1
2021/12/8, 35, 18, 21, , 1
2021/12/9, 48, 19, 8, , 1
2021/12/10, 52, 18, 15, , 
2021/12/11, 42, 21, 22, , 
2021/12/12, 38, 15, 23, , 1
2021/12/13, 35, 14, 19, 1, 2
2021/12/14, 37, 18, 19, , 1
2021/12/15, 46, 16, 18, , 1
2021/12/16, 47, 17, 21, , 1
2021/12/17, 38, 12, 20, , 1
2021/12/18, 30, 11, 19, , 
2021/12/19, 27, 12, 19, , 1
2021/12/20, 42, 12, 19, , 1
2021/12/21, 43, 10, 24, , 1
2021/12/22, 35, 18, 24, 1, 4
2021/12/23, 49, 18, 30, 1, 3
2021/12/24, 47, 12, 33, , 1
2021/12/25, 31, 14, 26, , 
2021/12/26, 30, 17, 24, , 1
2021/12/27, 38, 14, 24, 1, 1
2021/12/28, 32, 16, 19, 1, 1
2021/12/29, 38, 19, 20, , 1
2021/12/30, 44, 26, 21, , 1
2021/12/31, 60, 23, 22, , 1
2022/1/1, 58, 17, 19, , 
2022/1/2, 38, 7, 20, , 
2022/1/3, 20, 7, 25, , 1
2021/7/2, 34, 13, 23, 11, 
2021/7/3, 29, 18, 34, 11, 
2021/7/4, 47, 18, 32, , 
2021/7/5, 52, 16, 29, , 1
2021/7/6, 48, 13, 19, 7, 
2021/7/7, 32, 13, 24, 1, 
2021/7/8, 28, 17, 21, 5, 
2021/7/9, 31, 16, 20, 1, 
2021/7/10, 28, 14, 17, , 
2021/7/11, 28, 19, 23, , 
2021/7/12, 36, 19, 28, 1, 
2021/7/13, 38, 33, 23, , 
2021/7/14, 54, 27, 32, , 
2021/7/15, 48, 23, 23, , 
2021/7/16, 39, 17, 17, , 
2021/7/17, 34, 14, 16, , 
2021/7/18, 27, 21, 15, , 
2021/7/19, 34, 18, 22, 7, 
2021/7/20, 39, 15, 24, , 
2021/7/21, 32, 11, 19, , 
2021/7/22, 25, 17, 32, , 1
