date, pm25, pm10, o3, no2, so2
2021/7/18, 23, 8, 6, 8, 2
2021/7/19, 17, 8, 14, 11, 2
2021/7/20, 16, 13, 10, 14, 2
2021/7/21, 22, 18, 29, 12, 2
2021/7/22, 29, 23, 23, 23, 6
2021/7/23, 48, 25, 24, 15, 2
2021/7/24, 55, 23, 24, 6, 
2021/7/25, 54, 18, 23, 9, 
2021/7/26, 48, 16, 30, 8, 
2021/7/27, 44, 14, 24, 9, 
2021/7/28, 37, 7, 18, 6, 
2021/7/29, 17, 5, 19, 5, 
2021/7/30, 13, 7, 23, 4, 
2021/7/31, 17, 5, 22, 2, 
2021/8/1, 14, 7, 22, 6, 1
2021/8/2, 17, 9, 19, 9, 
2021/8/3, 23, 10, 20, 7, 
2021/8/4, 28, 10, 15, 7, 1
2021/8/5, 30, 10, 21, 5, 1
2021/8/6, 29, 7, 16, 9, 1
2021/8/7, 18, 7, 25, 10, 1
2021/8/8, 20, 6, 25, 2, 1
2021/8/9, 18, 7, 16, 7, 1
2021/8/10, 17, 9, 24, 6, 1
2021/8/11, 25, 11, 16, 6, 1
2021/8/12, 25, 10, 16, 6, 1
2021/8/13, 23, 13, 19, 4, 1
2021/8/14, 30, 14, 18, 5, 
2021/8/15, 34, 10, 23, 3, 1
2021/8/16, 27, 13, 26, 3, 1
2021/8/17, 36, 6, 22, 2, 1
2021/8/18, 14, 5, 19, 4, 
2021/8/19, 14, 7, 18, 8, 
2021/8/20, 19, 9, 17, 4, 
2021/8/21, 29, 6, 18, 5, 
2021/8/22, 19, 7, 15, 8, 
2021/8/23, 21, 11, 10, 16, 
2021/8/24, 30, 18, 15, 22, 
2021/8/25, 47, 20, 12, 19, 
2021/8/26, 48, 17, 10, 12, 
2021/8/27, 39, 19, 20, 10, 
2021/8/28, 54, 17, 21, 12, 
2021/8/29, 48, 12, 22, 6, 
2021/8/30, 40, 9, 17, 9, 1
2021/8/31, 26, 9, 24, 10, 1
2021/9/1, 19, 11, 21, 14, 1
2021/9/2, 28, 17, 15, 16, 
2021/9/3, 38, 17, 19, 13, 
2021/9/4, 48, 18, 28, 8, 1
2021/9/5, 55, 22, 32, 6, 
2021/9/6, 63, 27, 22, 11, 
2021/9/7, 71, 22, 21, 13, 1
2021/9/8, 60, 31, 22, 28, 1
2021/9/9, 74, 33, 23, 13, 1
2021/9/10, 79, 10, 23, 7, 1
2021/9/11, 34, 6, 21, 4, 1
2021/9/12, 17, 6, 23, 8, 1
2021/9/13, 14, 9, 21, 9, 1
2021/9/14, 21, 13, 22, 8, 1
2021/9/15, 40, 15, 12, 18, 1
2021/9/16, 44, 11, 16, 10, 1
2021/9/17, 34, 9, 20, 9, 1
2021/9/18, 23, 10, 17, 8, 1
2021/9/19, 30, 10, 19, 5, 1
2021/9/20, 29, 9, 17, 7, 1
2021/9/21, 21, 13, 17, 8, 1
2021/9/22, 27, 12, 20, 7, 1
2021/9/23, 20, 14, 25, 7, 1
2021/9/24, 28, 14, 19, 4, 2
2021/9/25, 30, 5, 16, 5, 
2021/9/26, 13, 7, 22, 3, 
2021/9/27, 18, 7, 19, 8, 
2021/9/28, 15, 9, 18, 10, 
2021/9/29, 17, 11, 19, 8, 
2021/9/30, 21, 9, 19, 9, 
2021/10/1, 17, 8, 20, 7, 
2021/4/2, 30, 10, 22, 11, 1
2021/4/3, 23, 16, 21, 13, 1
2021/4/4, 44, 16, 27, 3, 2
2021/4/5, 48, 11, 27, 2, 1
2021/4/6, 29, 7, 24, 3, 1
2021/4/7, 15, 8, 23, 6, 1
2021/4/8, 18, 9, 22, 6, 2
2021/4/9, 18, 9, 24, 5, 1
2021/4/10, 19, 7, 24, 4, 1
2021/4/11, 14, 5, 26, 3, 1
2021/4/12, 11, 8, 21, 11, 2
2021/4/13, 19, 12, 18, 12, 2
2021/4/14, 34, 12, 19, 16, 2
2021/4/15, 32, 17, 27, 11, 2
2021/4/16, 43, 15, 27, 9, 1
2021/4/17, 43, 16, 30, 7, 2
2021/4/18, 40, 14, 26, 3, 2
2021/4/19, 43, 16, 29, 4, 2
2021/4/20, 47, 21, 27, 11, 2
2021/4/21, 59, 16, 26, 7, 2
2021/4/22, 39, 18, 26, 10, 9
