date, pm25, o3, so2
2018/11/4, 17, , 
2018/11/5, 20, , 2
2018/11/6, 20, , 5
2018/11/7, 16, , 
2018/11/8, 18, , 1
2018/11/9, 16, , 
2018/11/10, 30, , 2
2018/11/11, 18, , 1
2018/11/12, 27, , 
2018/11/13, 31, , 
2018/11/14, 15, , 1
2018/11/15, 27, , 
2018/11/16, 49, , 
2018/11/17, 40, , 1
2018/11/18, 18, , 1
2018/11/19, 28, , 1
2018/11/20, 25, , 1
2018/11/21, 25, , 
2018/11/22, 20, , 
2018/11/23, 23, , 1
2018/11/24, 60, , 
2018/11/25, 28, , 1
2018/11/26, 11, , 1
2018/11/27, 14, , 
2018/11/28, 16, , 1
2018/11/29, 26, , 
2018/11/30, 48, , 1
2018/12/1, 74, , 
2018/12/2, 49, , 
2018/12/3, 10, , 1
2018/12/4, 9, , 1
2018/12/5, 16, , 1
2018/12/6, 30, , 
2018/12/7, 20, , 
2018/12/8, 29, , 1
2018/12/9, 57, , 
2018/12/10, 56, , 1
2018/12/11, 63, , 1
2018/12/12, 54, , 
2018/12/13, 64, , 
2018/12/14, 78, , 2
2018/12/15, 75, , 2
2018/12/16, 71, , 1
2018/12/17, 51, , 1
2018/12/18, 30, , 1
2018/12/19, 39, , 1
2018/12/20, 53, , 2
2018/12/21, 63, , 1
2018/12/22, 12, , 1
2018/12/23, 29, , 1
2018/12/24, 35, , 
2018/12/25, 28, , 2
2018/12/26, 54, , 1
2018/12/27, 38, , 
2018/12/28, 40, , 
2018/12/29, 17, , 1
2018/12/30, 17, , 1
2018/12/31, 25, , 
2018/7/2, 23, 40, 1
2018/7/3, 15, 51, 2
2018/7/4, 35, 13, 1
2018/7/5, 53, 30, 1
2018/7/6, 32, 36, 1
2018/7/7, 17, 40, 2
2018/7/8, 18, 46, 2
2018/7/9, 41, 42, 1
2018/7/10, 29, 27, 4
2018/7/11, 24, 34, 1
2018/7/12, 38, 43, 1
2018/7/13, 80, 38, 2
2018/7/14, 27, 37, 1
2018/7/15, 30, 43, 1
2018/7/16, 42, 27, 1
2018/7/17, 23, 16, 3
2018/7/18, 13, 30, 2
2018/7/19, 23, 45, 1
2018/7/20, 26, 43, 1
2018/7/21, 39, 35, 1
2018/7/22, 40, 30, 1
2018/7/23, 55, 22, 2
2018/7/24, 31, 30, 1
2018/7/25, 31, 31, 2
2018/7/26, 19, 19, 1
2018/7/27, 15, 19, 1
2018/7/28, 17, 25, 1
2018/7/29, 30, 29, 1
2018/7/30, 35, 33, 1
2018/7/31, 37, 42, 1
