date, pm25, pm10, o3, no2
2019/7/11, 33, 13, 11, 17
2019/7/12, 33, 6, 26, 13
2019/7/13, 13, 10, 19, 13
2019/7/14, 25, 4, 16, 6
2019/7/15, 11, 8, 18, 11
2019/7/16, 18, 15, , 17
2019/7/17, 39, 11, , 6
2019/7/18, 29, 6, , 8
2019/7/19, 13, 10, , 7
2019/7/20, 23, 10, , 12
2019/7/21, 26, 5, , 1
2019/7/22, 11, 7, 10, 3
2019/7/23, 15, 13, 19, 6
2019/7/24, 29, 13, 30, 9
2019/7/25, 38, 20, 48, 13
2019/7/26, 46, 27, 42, 22
2019/7/27, 57, 22, 35, 22
2019/7/28, 52, 32, 36, 18
2019/7/29, 63, 22, 33, 28
2019/7/30, 57, 12, 19, 11
2019/7/31, 27, 16, 27, 20
2019/8/1, 37, 11, 24, 20
2019/8/2, 22, 12, 20, 18
2019/8/3, 31, 9, 25, 13
2019/8/4, 28, 11, 25, 16
2019/8/5, 32, 9, 24, 7
2019/8/6, 20, 7, 19, 5
2019/8/7, 18, 8, 22, 12
2019/8/8, 17, 10, 23, 15
2019/8/9, 19, 13, 27, 25
2019/8/10, 32, 15, 12, 14
2019/8/11, 31, 7, , 7
2019/8/12, 15, 7, , 10
2019/8/13, 14, 6, , 9
2019/8/14, 12, 9, , 8
2019/8/15, 22, 7, 13, 8
2019/8/16, 16, 13, 13, 5
2019/8/17, 29, 7, 18, 2
2019/8/18, 14, 6, 16, 2
2019/8/19, 13, 5, 15, 5
2019/8/20, 10, 6, 19, 8
2019/8/21, 13, 9, 10, 5
2019/8/22, 21, 8, 16, 3
2019/8/23, 14, 7, 16, 4
2019/8/24, 16, 11, 24, 8
2019/8/25, 31, 19, 40, 9
2019/8/26, 54, 16, 22, 8
2019/8/27, 43, 11, , 8
2019/8/28, 29, 9, , 6
2019/8/29, 25, 9, , 4
2019/8/30, 19, 8, , 4
2019/8/31, 20, 10, , 3
2019/9/1, 25, 3, , 7
