date, pm25, o3, no2, so2, co
2021/10/6, 38, , , , 
2021/10/7, 34, , , , 
2021/10/8, 24, , , 4, 
2021/10/9, 26, , , 4, 
2021/10/10, 32, , , 12, 
2021/10/11, 63, , , 13, 
2021/10/12, 71, , , 10, 
2021/10/13, 69, , , 13, 
2021/10/14, 67, , , 16, 
2021/10/15, 71, , , 11, 
2021/10/16, 80, , , 19, 
2021/10/17, 95, , , 18, 
2021/10/18, 91, , , 17, 
2021/10/19, 83, , , 16, 
2021/10/20, 73, , , 8, 
2021/10/21, 51, , , 4, 
2021/10/22, 19, , , 7, 
2021/10/23, 48, , , 10, 
2021/10/24, 51, , , 15, 
2021/10/25, 70, , , 18, 
2021/10/26, 66, , , 6, 
2021/10/27, 41, , , 5, 
2021/10/28, 42, , , 20, 
2021/10/29, 69, , , 12, 
2021/10/30, 76, , , 4, 
2021/10/31, 76, , , 4, 
2021/11/1, 77, , , 17, 
2021/11/2, 97, , , 18, 
2021/11/3, 113, , , 12, 
2021/11/4, 79, , , 9, 
2021/11/5, 48, , , 5, 
2021/11/6, 25, , , 6, 
2021/11/7, 44, , , 8, 
2021/11/8, 46, , , 14, 
2021/11/9, 59, , , 33, 
2021/11/10, 91, , , 27, 
2021/11/11, 103, , , 7, 
2021/11/12, 50, , , 4, 
2021/11/13, 20, , , 29, 
2021/11/14, 83, , , 25, 
2021/11/15, 115, , , 28, 
2021/11/16, 118, , , 13, 
2021/11/17, 122, , , 14, 
2021/11/18, 82, , , 29, 
2021/11/19, 91, , , 21, 
2021/11/20, 103, , , 31, 
2021/11/21, 134, , , 31, 
2021/11/22, 127, , , 29, 
2021/11/23, 98, , , 33, 
2021/11/24, 131, , , 28, 
2021/11/25, 106, , , 13, 
2021/11/26, 80, , , 18, 
2021/11/27, 69, , , 30, 
2021/11/28, 97, , , 24, 
2021/11/29, 99, , , 23, 
2021/11/30, 82, , , 38, 
2021/12/1, 113, , , 14, 
2021/12/2, 108, , , 9, 
2021/12/3, 38, , , 6, 
2021/12/4, 55, , , 8, 
2021/12/5, 85, , , 14, 
2021/12/6, 104, , , 26, 
2021/12/7, 128, , , 24, 
2021/12/8, 124, , , 11, 
2021/12/9, 89, , , 13, 
2021/12/10, 68, , , 22, 
2021/12/11, 78, , , 27, 
2021/12/12, 90, , , 18, 
2021/12/13, 123, , , 14, 
2021/12/14, 133, , , 11, 
2021/12/15, 134, , , 11, 
2021/12/16, 128, , , 11, 
2021/12/17, 122, , , 8, 
2021/12/18, 87, , , 8, 
2021/12/19, 86, , , 12, 
2021/12/20, 101, , , 11, 
2021/12/21, 87, , , 5, 
2021/12/22, 51, , , 7, 
2021/12/23, 39, , , 10, 
2021/12/24, 76, , , 4, 
2021/12/25, 72, , , 18, 
2021/12/26, 109, , , 35, 
2021/12/27, 146, , , 23, 
2021/12/28, 160, , , 16, 
2021/12/29, 170, , , 22, 
2021/12/30, 159, , , 22, 
2021/12/31, 155, , , 36, 
2022/1/1, 143, , , 20, 
2022/1/2, 149, , , 28, 
2022/1/3, 143, , , 14, 
2021/7/2, 67, , , , 
2021/7/3, 60, , , , 
2021/7/4, 60, , , , 
2021/7/5, 62, , , , 
2021/7/6, 87, , , , 
2021/7/7, 71, , , , 
2021/7/8, 70, , , , 
2021/7/9, 72, , , , 
2021/7/10, 32, , , , 
2021/7/11, 38, , , , 
2021/7/12, 33, , , , 
2021/7/13, 83, , , , 
2021/7/14, 56, , , , 
2021/7/15, 60, , , , 
2021/7/16, 43, , , , 
2021/7/17, 40, , , , 
2021/7/18, 59, , , , 
2021/7/19, 59, , , , 
2021/7/21, 98, , , , 
2021/7/22, 71, , , , 
2021/7/23, 77, , , , 
2021/7/25, 76, , , , 
2021/7/26, 57, , , , 
2021/7/27, 68, , , , 
2021/7/28, 51, , , , 
2021/7/30, 56, , , , 
2021/7/31, 43, , , , 
2021/8/1, 61, , , , 
2021/8/2, 56, , , , 
2021/8/3, 53, , , , 
2021/8/4, 45, , , , 
2021/8/5, 60, , , , 
2021/8/6, 55, , , , 
2021/8/7, 53, , , , 
2021/8/8, 58, , , , 
2021/8/9, 67, , , , 
2021/8/10, 65, , , , 
2021/8/11, 78, , , , 
2021/8/23, 149, , , , 
2021/8/24, 65, , , , 
2021/8/29, 55, , , , 
2021/9/15, 82, , , 13, 
2021/9/16, 92, , , , 
2021/9/17, 79, , , 14, 
2021/9/18, 67, , , 51, 
2021/9/19, 58, , , 29, 
2021/9/20, 62, , , 8, 
2021/9/21, 74, , , 4, 
2021/9/22, 60, , , 5, 
2021/9/23, 70, , , 4, 
2021/9/24, 75, , , 3, 
2021/9/25, 71, , , 3, 
2021/9/26, 55, , , 2, 
2021/9/27, 32, , , 6, 
2021/9/28, 63, , , 6, 
2021/9/29, 58, , , 3, 
2021/9/30, 49, , , 1, 
2021/10/1, 29, , , 1, 
2021/4/2, 81, , , , 
2021/4/3, 65, , , , 
2021/4/4, 43, , , , 
2021/4/5, 60, , , , 
2021/4/6, 77, , , , 
2021/4/7, 90, , , , 
2021/4/8, 103, , , , 
2021/4/9, 100, , , , 
2021/4/10, 97, , , , 
2021/4/11, 81, , , , 
2021/4/12, 57, , , , 
2021/4/13, 66, , , , 
2021/4/14, 53, , , , 
2021/4/15, 55, , , , 
2021/4/16, 61, , , , 
2021/4/17, 53, , , , 
2021/4/18, 68, , , , 
2021/4/19, 66, , , , 
2021/4/20, 87, , , , 
2021/4/21, 87, , , , 
2021/4/22, 91, , , , 
2021/4/23, 65, , , , 
2021/4/29, 41, , , , 
2021/4/30, 68, , , , 
2021/5/1, 59, , , , 
2021/5/2, 40, , , , 
2021/5/3, 39, , , , 
2021/5/4, 45, , , , 
2021/5/5, 47, , , , 
2021/5/6, 60, , , , 
2021/5/7, 64, , , , 
2021/5/8, 54, , , , 
2021/5/9, 49, , , , 
2021/5/10, 64, , , , 
2021/5/11, 62, , , , 
2021/5/12, 59, , , , 
2021/5/13, 81, , , , 
2021/5/14, 71, , , , 
2021/5/15, 66, , , , 
2021/5/16, 56, , , , 
2021/5/17, 60, , , , 
2021/5/18, 71, , , , 
2021/5/19, 63, , , , 
