date, pm25, pm10, no2
2022/3/9, 41, 28, 16
2022/3/10, 34, 33, 6
2022/3/11, 29, 46, 14
2022/3/12, 45, 87, 20
2022/3/13, 63, 58, 13
2022/3/14, 58, 69, 17
2022/3/15, 81, 46, 11
2022/3/16, 80, 59, 22
2022/3/17, 85, 40, 8
2022/3/18, 61, 31, 10
2022/3/19, 44, 47, 14
2022/3/20, 35, 58, 14
2022/3/21, 41, 58, 16
2022/3/22, 73, 64, 17
2022/3/23, 81, 51, 14
2022/3/24, 62, 56, 17
2022/3/25, 58, 41, 12
2022/3/26, 50, 69, 4
2022/3/27, 30, 25, 7
2022/3/28, 19, 40, 6
2022/3/29, 27, 24, 11
2022/3/30, 19, 32, 15
2022/3/31, 23, 44, 24
2022/4/1, 36, 19, 19
2021/10/2, 15, 13, 3
2021/10/3, 36, 23, 2
2021/10/4, 60, 24, 8
2021/10/5, 60, 13, 7
2021/10/6, 37, 15, 5
2021/10/7, 40, 11, 9
2021/10/8, 30, 13, 10
2021/10/9, 32, 11, 8
2021/10/10, 32, 15, 5
2021/10/11, 39, 13, 10
2021/10/12, 34, 4, 9
2021/10/13, 9, 5, 11
2021/10/14, 9, 5, 11
2021/10/15, 11, 4, 6
2021/10/16, 9, 4, 8
2021/10/17, 7, 3, 9
2021/10/18, 6, 6, 10
2021/10/19, 9, 11, 16
2021/10/20, 22, 5, 6
2021/10/21, 17, 5, 7
2021/10/22, 12, 3, 8
2021/10/23, 5, 4, 8
2021/10/24, 9, 6, 10
2021/10/25, 14, 10, 10
2021/10/26, 24, 13, 9
2021/10/27, 35, 4, 9
2021/10/28, 12, 6, 11
2021/10/29, 15, 16, 9
2021/10/30, 44, 26, 7
2021/10/31, 63, 27, 7
2021/11/1, 65, 21, 5
2021/11/2, 56, 30, 5
2021/11/3, 72, 24, 6
2021/11/4, 62, 9, 12
2021/11/5, 23, 5, 8
2021/11/6, 13, 4, 8
2021/11/7, 9, 4, 8
2021/11/8, 9, 4, 9
2021/11/9, 11, 9, 8
2021/11/10, 19, 3, 8
2021/11/11, 8, 6, 10
2021/11/12, 13, 9, 11
2021/11/13, 12, 11, 17
2021/11/14, 28, 9, 8
2021/11/15, 21, 10, 12
2021/11/16, 18, 11, 9
2021/11/17, 26, 7, 9
2021/11/18, 18, 4, 11
2021/11/19, 10, 5, 11
2021/11/20, 10, 9, 7
2021/11/21, 8, 5, 6
2021/11/22, 7, 7, 9
2021/11/23, 12, 5, 12
2021/11/24, 8, 3, 13
2021/11/25, 9, 4, 11
2021/11/26, 7, 16, 13
2021/11/27, 24, 15, 9
2021/11/28, 21, 23, 8
2021/11/29, 26, 16, 10
2021/11/30, 22, 9, 10
2021/12/1, 19, 13, 13
2021/12/2, 30, 5, 10
2021/12/3, 16, 8, 
2021/12/4, 25, 9, 17
2021/12/5, 29, 4, 7
2021/12/6, 12, 7, 17
2021/12/7, 19, 15, 31
2021/12/8, 41, 13, 19
2021/12/9, 35, 5, 5
2021/12/10, 15, 6, 6
2021/12/11, 19, 8, 10
2021/12/12, 28, 21, 18
2021/12/13, 58, 10, 12
2021/12/14, 31, 5, 9
2021/12/15, 15, 5, 9
2021/12/16, 14, 8, 9
2021/12/17, 9, 10, 11
2021/12/18, 13, 5, 8
2021/12/19, 11, 12, 3
2021/12/20, 9, 22, 9
2021/12/21, 19, 14, 15
2021/12/22, 24, 27, 22
2021/12/23, 48, 6, 8
2021/12/24, 17, 8, 4
2021/12/25, 19, 2, 5
2021/12/26, 7, 4, 10
2021/12/27, 12, 7, 13
2021/12/28, 22, 9, 6
2021/12/29, 29, 29, 12
2021/12/30, 68, 18, 8
2021/12/31, 54, 4, 8
2022/1/1, 14, 7, 6
2022/1/2, 21, 4, 6
2022/1/3, 12, 6, 11
2021/7/2, 14, 14, 12
2021/7/3, 25, 13, 6
2021/7/4, 30, 12, 6
2021/7/5, 28, 12, 7
2021/7/6, 25, 11, 5
2021/7/7, 25, 13, 7
2021/7/8, 36, 13, 7
2021/7/9, 24, 11, 18
2021/7/10, 20, 11, 6
2021/7/11, 32, 7, 4
2021/7/12, 15, 11, 9
2021/7/13, 23, 12, 11
2021/7/14, 29, 13, 11
2021/7/15, 30, 18, 9
2021/7/16, 44, 12, 9
2021/7/17, 26, 13, 5
2021/7/18, 30, 10, 5
2021/7/19, 24, 5, 6
2021/7/20, 9, 8, 7
2021/7/21, 13, 6, 5
2021/7/22, 8, 11, 10
2021/7/23, 15, 9, 6
2021/7/24, 15, 7, 4
2021/7/25, 14, 7, 5
2021/7/26, 14, 8, 6
2021/7/27, 16, 17, 7
2021/7/28, 32, 18, 12
2021/7/29, 49, 11, 8
