date, pm25, pm10, o3, no2, so2
2022/9/12, 111, 75, , 11, 1
2022/9/13, 153, 89, , 9, 2
2022/9/14, 163, 96, , 12, 2
2022/9/15, 149, 88, , 14, 3
2022/9/21, 117, 118, 7, 16, 4
2022/9/22, 129, 106, , 14, 2
2022/9/23, 121, 97, , 16, 4
2022/4/6, 151, 99, , 16, 7
2022/4/7, 144, 94, , 19, 10
2022/4/8, 140, 99, , 21, 9
2022/4/9, 135, 100, , 22, 7
2022/4/10, 145, 98, , 17, 10
2022/4/11, 160, 125, , 22, 12
2022/4/12, 157, 148, , 10, 11
2022/4/13, 126, 255, , 16, 6
2022/4/14, 122, 126, , 25, 9
2022/4/15, 140, 134, , 23, 8
2022/4/16, 130, 144, , 15, 8
2022/4/17, 111, 109, , 11, 7
2022/4/18, 132, 133, , 7, 10
2022/4/19, 69, 111, , 4, 10
2022/4/20, 80, 72, , 7, 10
2022/4/21, 102, 73, , 15, 9
2022/4/22, 107, 75, , 13, 6
2022/4/23, 125, 81, , 21, 10
2022/4/24, 153, 97, , 15, 16
2022/4/25, 136, 121, , 15, 7
2022/4/26, 118, 122, , 14, 6
2022/4/27, 129, 133, , 16, 7
2022/4/28, 104, 133, , 12, 7
2022/4/29, 95, 87, , 12, 7
2022/4/30, 133, 114, , 12, 6
2022/5/1, 92, 119, , 4, 6
2022/5/2, 106, 83, , 5, 8
2022/5/3, 124, 104, , 7, 8
2022/5/4, 180, 348, , 2, 9
2022/5/5, 107, 298, , 4, 8
2022/5/6, 110, 114, , 10, 8
2022/5/7, 154, 134, , 15, 7
2022/5/8, 147, 211, , 11, 5
2022/5/9, 139, 179, , 15, 6
2022/5/10, 85, 130, , 5, 6
2022/5/11, 79, 86, , 3, 9
2022/5/12, 89, 88, , 5, 7
2022/5/13, 101, 109, , 7, 6
2022/5/14, 102, 109, , 5, 7
2022/5/15, 129, 135, , 2, 8
2022/5/16, 171, 338, , 6, 7
2022/5/17, 114, 355, , 5, 6
2022/5/18, 238, 287, , 9, 5
2022/5/19, 286, 999, , 6, 5
2022/5/20, 161, 601, , 9, 6
2022/5/21, 113, 167, , 7, 5
2022/5/22, 106, 115, , 6, 4
2022/5/23, 119, 122, , 4, 4
2022/5/24, 105, 109, , 8, 4
2022/5/25, 208, 231, , 10, 5
2022/5/26, 197, 879, , 6, 9
2022/5/27, 117, 303, , 5, 7
2022/5/28, 104, 108, , 6, 4
2022/5/29, 131, 119, , 5, 5
2022/5/30, 98, 99, , 8, 5
2022/5/31, 101, 91, , 7, 7
2022/6/1, 122, 92, , 11, 6
2022/6/2, 134, 73, , 14, 5
2022/6/3, 148, 108, , 13, 5
2022/6/4, 152, 158, , 11, 7
2022/6/5, 164, 134, , 15, 4
2022/6/6, 170, 111, , 19, 7
2022/6/7, 163, 118, , 19, 7
2022/6/8, 157, 129, , 13, 5
2022/6/9, 134, 143, , 16, 5
2022/6/10, 144, 123, , 14, 7
2022/6/11, 145, 101, , 8, 4
2022/6/12, 104, 96, , 3, 4
2022/6/13, 91, 96, , 5, 5
2022/6/14, 127, 106, , 5, 3
2022/6/15, 148, 139, , 7, 
2022/6/16, 160, 161, , 17, 2
2022/6/17, 155, 133, , 17, 3
2022/6/18, 106, 124, , 4, 2
2022/6/19, 114, 122, , 6, 3
2022/6/20, 142, 136, , 7, 2
2022/6/21, 160, 169, , 9, 2
2022/6/22, 149, 149, , 20, 2
2022/6/23, 149, 116, , 21, 3
2022/6/24, 168, 161, , 21, 2
2022/6/25, 174, 386, , 9, 2
2022/6/26, 166, 375, , 9, 2
2022/6/27, 132, 151, , 7, 3
2022/6/28, 151, 149, , 7, 3
2022/6/29, 138, 170, , 5, 4
2022/6/30, 172, 357, , 8, 3
2022/7/1, 141, 208, , 10, 4
2022/1/4, 115, 99, , 4, 5
2022/1/5, 45, 64, , 4, 6
2022/1/6, 49, 68, , 7, 6
2022/1/7, 44, 71, , 23, 6
2022/1/8, 34, 72, , 19, 5
2022/1/9, 55, 76, , 13, 7
2022/1/10, 64, 75, , 19, 6
2022/1/11, 86, 77, , 23, 4
2022/1/12, 67, 81, , 20, 3
2022/1/13, 61, 82, , 14, 8
2022/1/14, 82, 78, , 23, 5
2022/1/15, 73, 89, , 15, 4
2022/1/16, 105, 95, , 12, 5
2022/1/17, 89, 82, , 13, 3
2022/1/18, 70, 88, , 10, 3
2022/1/19, 62, 85, , 8, 4
2022/1/20, 23, 95, , 7, 4
2022/1/21, 21, 92, , 2, 4
2022/1/22, 55, 96, , 2, 6
2022/1/23, 67, 102, , 3, 6
2022/1/24, 32, 99, , 9, 5
2022/1/25, 45, 99, , 10, 8
2022/1/26, 93, 104, , 17, 6
2022/1/27, 112, 97, , 17, 5
2022/1/28, 120, 97, , 15, 4
2022/1/29, 114, 103, , 6, 3
2022/1/30, 119, 86, , 7, 6
2022/1/31, 73, 89, , 16, 5
