date, pm25, o3
2017/7/18, 31, 49
2017/7/19, 43, 42
2017/7/20, 45, 42
2017/7/21, 44, 44
2017/7/22, 48, 35
2017/7/23, 45, 51
2017/7/24, 32, 43
2017/7/25, 38, 41
2017/7/26, 28, 47
2017/7/27, 37, 26
2017/7/28, 23, 34
2017/7/29, 36, 29
2017/7/30, 39, 32
2017/7/31, 36, 33
2017/8/1, 46, 46
2017/8/2, 42, 54
2017/8/3, 34, 39
2017/8/4, 49, 24
2017/8/5, 26, 25
2017/8/6, 31, 22
2017/8/7, 19, 31
2017/8/8, 17, 33
2017/8/9, 37, 42
2017/8/10, 42, 36
2017/8/11, 46, 33
2017/8/12, 39, 27
2017/8/13, 25, 34
2017/8/14, 51, 31
2017/8/15, 31, 35
2017/8/16, 29, 21
2017/8/17, 15, 33
2017/8/18, 15, 45
2017/8/19, 39, 48
2017/8/20, 48, 38
2017/8/21, 41, 35
2017/8/22, 24, 28
2017/8/23, 16, 27
2017/8/24, 35, 32
2017/8/25, 49, 32
2017/8/26, 42, 40
2017/9/10, 51, 25
2017/9/11, 42, 24
2017/9/12, 33, 21
2017/9/13, 27, 19
2017/9/14, 37, 47
2017/9/15, 46, 38
2017/9/16, 42, 34
2017/9/17, 45, 31
2017/9/18, 46, 29
2017/9/19, 35, 41
2017/9/20, 38, 27
2017/9/21, 43, 22
2017/9/22, 39, 36
2017/9/23, 43, 41
2017/9/24, 40, 39
2017/9/25, 40, 40
2017/9/26, 40, 43
2017/9/27, 47, 19
2017/9/28, 23, 25
2017/9/29, 24, 31
2017/9/30, 32, 27
2017/10/1, 28, 31
2017/4/2, 28, 26
2017/4/3, 34, 20
2017/4/4, 19, 23
2017/4/5, 28, 30
2017/4/6, 30, 30
2017/4/7, 18, 34
2017/4/8, 20, 41
2017/4/9, 23, 38
2017/4/10, 35, 37
2017/4/11, 37, 23
2017/4/12, 36, 36
2017/4/13, 36, 40
2017/4/14, 42, 35
2017/4/15, 30, 38
2017/4/16, 46, 36
2017/4/17, 23, 32
2017/4/18, 33, 34
2017/4/19, 46, 32
2017/4/20, 38, 33
2017/4/21, 39, 23
2017/4/22, 26, 29
2017/4/23, 25, 42
2017/4/24, 35, 46
2017/4/25, 51, 45
2017/4/26, 26, 33
2017/4/27, 27, 26
2017/4/28, 30, 15
2017/4/29, 31, 27
2017/4/30, 21, 36
2017/5/1, 27, 32
2017/5/2, 20, 38
2017/5/3, 36, 35
2017/5/4, 20, 37
2017/5/5, 23, 36
2017/5/6, 25, 40
2017/5/7, 27, 44
2017/5/8, 45, 42
2017/5/9, 40, 46
2017/5/10, 44, 38
2017/5/11, 37, 37
2017/5/12, 43, 44
2017/5/13, 37, 56
2017/5/14, 44, 45
2017/5/15, 40, 48
2017/5/16, 32, 44
2017/5/17, 34, 37
2017/5/18, 40, 40
2017/5/19, 40, 39
2017/5/20, 45, 33
2017/5/21, 36, 35
2017/5/22, 21, 46
2017/5/23, 28, 33
2017/5/24, 26, 32
2017/5/25, 28, 40
2017/5/26, 37, 40
2017/6/15, 26, 50
2017/6/16, 14, 59
2017/6/17, 33, 
2017/6/22, 47, 35
2017/6/23, 29, 
2017/6/24, 6, 
2017/6/25, 19, 
2017/6/26, 39, 
2017/6/27, 27, 41
2017/6/28, 31, 34
2017/6/29, 34, 30
2017/6/30, 10, 35
2017/7/1, 7, 39
2017/1/3, 44, 15
2017/1/4, 25, 20
2017/1/5, 21, 21
2017/1/6, 11, 20
2017/1/7, 22, 19
2017/1/8, 18, 19
2017/1/11, 11, 21
2017/1/12, 25, 12
2017/1/13, 53, 15
2017/1/14, 38, 8
2017/1/15, 47, 6
2017/1/16, 61, 2
2017/1/17, 41, 8
2017/1/18, 9, 13
2017/1/19, 25, 3
2017/1/20, 29, 10
2017/1/21, 15, 25
2017/1/22, 28, 14
2017/1/23, 47, 16
2017/1/24, 34, 21
2017/1/25, 32, 16
2017/1/26, 25, 17
2017/1/27, 19, 20
2017/1/28, 26, 25
2017/1/29, 27, 25
2017/1/30, 20, 22
2017/1/31, 25, 24
2017/2/1, 16, 21
2017/2/2, 22, 22
2017/2/3, 22, 24
2017/2/4, 27, 24
2017/2/5, 29, 23
2017/2/6, 34, 11
2017/2/7, 44, 22
2017/2/8, 27, 20
2017/2/9, 39, 20
2017/2/10, 19, 30
2017/2/11, 22, 25
2017/2/12, 36, 29
2017/2/13, 44, 27
2017/2/14, 27, 27
2017/2/15, 33, 30
2017/2/16, 15, 32
2017/2/17, 49, 36
2017/2/18, 27, 26
2017/2/19, 52, 33
2017/2/20, 52, 30
2017/2/21, 48, 22
2017/2/22, 46, 24
2017/2/23, 57, 24
2017/2/24, 30, 20
2017/2/25, 23, 27
2017/2/26, 15, 28
2017/2/27, 32, 32
2017/2/28, 38, 21
2017/3/1, 25, 25
2017/3/2, 39, 20
2017/3/3, 18, 22
2017/3/4, 20, 29
2017/3/5, 31, 26
2017/3/6, 31, 23
2017/3/7, 27, 27
2017/3/8, 18, 27
2017/3/9, 18, 28
2017/3/10, 37, 23
2017/3/11, 20, 21
2017/3/13, 14, 22
2017/3/14, 14, 24
2017/3/15, 14, 25
2017/3/16, 14, 21
2017/3/17, 14, 21
2017/3/18, 14, 26
2017/3/21, 13, 28
2017/3/22, 33, 28
2017/3/23, 26, 23
2017/3/24, 32, 30
2017/3/25, 46, 29
2017/3/26, 24, 12
2017/3/27, 34, 12
2017/3/28, 47, 23
2017/3/29, 42, 24
2017/3/30, 38, 20
2017/3/31, 17, 19
2017/4/1, 25, 29
2016/10/3, 22, 12
2016/10/4, 6, 23
2016/10/5, 14, 34
2016/10/6, 22, 26
2016/10/7, 27, 44
2016/10/8, 15, 22
2016/10/9, 7, 27
2016/10/10, 9, 30
2016/10/11, 7, 31
2016/10/12, 6, 39
2016/11/24, 29, 
2016/11/25, 50, 
2016/11/26, 57, 
2016/11/27, 58, 
2016/11/28, 50, 
2016/11/29, 22, 
2016/11/30, 40, 
2016/12/1, 28, 
2016/12/2, 38, 
2016/12/3, 69, 
2016/12/4, 72, 
2016/12/5, 44, 
2016/12/6, 40, 
2016/12/7, 38, 
2016/12/8, 27, 
2016/12/9, 32, 
2016/12/10, 41, 
2016/12/11, 45, 
2016/12/12, 28, 
2016/12/13, 40, 
2016/12/14, 41, 15
2016/12/15, 25, 20
2016/12/16, 31, 18
2016/12/17, 24, 14
2016/12/18, 24, 16
2016/12/19, 35, 22
2016/12/20, 37, 19
2016/12/21, 37, 17
2016/12/22, 51, 12
2016/12/23, 33, 17
2016/12/24, 47, 7
2016/12/25, 50, 15
2016/12/26, 39, 10
2016/12/27, 24, 21
2016/12/28, 32, 19
2016/12/29, 27, 15
2016/12/30, 17, 23
2016/12/31, 21, 22
2017/1/1, 16, 21
2017/1/2, 54, 14
2016/7/2, 31, 28
2016/7/3, 25, 23
2016/7/4, 29, 27
2016/7/5, 23, 37
2016/7/6, 23, 31
2016/7/7, 23, 29
2016/7/8, 13, 38
2016/7/9, 3, 45
2016/7/10, 2, 35
2016/7/11, 2, 37
2016/7/12, 2, 40
2016/7/13, 30, 25
2016/7/14, 40, 44
2016/7/15, 26, 37
2016/7/16, 24, 36
2016/7/17, 21, 30
2016/7/18, 32, 45
2016/7/19, 36, 36
2016/7/20, 40, 36
2016/7/21, 25, 40
2016/7/22, 31, 44
2016/7/23, 24, 46
2016/7/24, 24, 39
2016/7/25, 35, 38
2016/7/26, 25, 37
2016/7/27, 25, 34
2016/7/28, 28, 43
2016/7/29, 34, 
2016/8/5, 33, 31
2016/8/6, 23, 34
2016/8/7, 22, 39
2016/8/8, 23, 38
2016/8/9, 23, 69
2016/8/10, 32, 54
2016/8/11, 36, 36
2016/8/12, 28, 30
2016/8/13, 22, 27
2016/8/14, 23, 
2016/8/15, 22, 2
2016/8/16, 19, 
2016/8/17, 24, 30
2016/8/18, 26, 30
2016/8/19, 24, 22
2016/8/20, 23, 31
2016/8/21, 21, 22
2016/8/22, 21, 30
2016/8/23, 24, 19
2016/8/24, 29, 21
2016/8/25, 30, 32
2016/8/26, 14, 38
2016/8/27, 15, 35
2016/8/28, 25, 37
2016/8/29, 28, 39
2016/8/30, 28, 36
2016/8/31, 29, 24
2016/9/1, 26, 24
2016/9/2, 19, 25
2016/9/3, 19, 31
2016/9/7, 30, 24
2016/9/8, 36, 15
2016/9/9, 31, 20
2016/9/10, 25, 22
2016/9/11, 23, 27
2016/9/12, 18, 35
2016/9/13, 18, 40
2016/9/14, 28, 37
2016/9/15, 61, 34
2016/9/16, 43, 18
2016/9/17, 33, 29
2016/9/18, 20, 27
2016/9/19, 21, 38
2016/9/20, 31, 36
2016/9/21, 30, 49
2016/9/22, 33, 49
2016/9/23, 29, 56
2016/9/24, 29, 46
2016/9/25, 38, 34
2016/9/26, 25, 29
2016/9/27, 13, 30
2016/9/28, 18, 16
2016/10/1, 54, 11
2016/4/2, 23, 34
2016/4/3, 26, 41
2016/4/4, 36, 32
2016/4/5, 47, 33
2016/4/6, 40, 24
2016/4/7, 37, 27
2016/4/8, 21, 32
2016/4/9, 23, 33
2016/4/10, 30, 27
2016/4/11, 43, 26
2016/4/12, 38, 35
2016/4/13, 34, 42
2016/4/14, 44, 48
2016/4/15, 43, 43
2016/4/16, 46, 39
2016/4/17, 51, 40
2016/4/18, 45, 44
2016/4/19, 49, 31
2016/4/20, 42, 27
2016/4/21, 46, 32
2016/4/22, 35, 36
2016/4/23, 34, 42
2016/4/24, 49, 42
2016/4/25, 52, 41
2016/4/26, 40, 30
2016/4/27, 35, 30
2016/4/28, 36, 32
2016/4/29, 35, 23
2016/4/30, 34, 32
2016/5/4, 43, 37
2016/5/5, 37, 34
2016/5/6, 33, 44
2016/5/7, 43, 42
2016/5/8, 48, 37
2016/5/9, 52, 26
2016/5/10, 53, 37
2016/5/11, 41, 29
2016/5/12, 51, 29
2016/5/13, 32, 39
2016/5/14, 45, 34
2016/5/15, 28, 35
2016/5/16, 31, 31
2016/5/17, 35, 28
2016/5/18, 31, 38
2016/5/19, 42, 43
2016/5/20, 43, 41
2016/5/21, 47, 50
2016/5/22, 43, 55
2016/5/23, 55, 56
2016/5/24, 53, 40
2016/5/25, 54, 32
2016/5/26, 52, 32
2016/5/27, 31, 24
2016/5/28, 24, 34
2016/5/29, 25, 43
2016/5/30, 23, 42
2016/5/31, 27, 44
2016/6/1, 27, 39
2016/6/2, 32, 45
2016/6/3, 34, 34
2016/6/4, 31, 36
2016/6/5, 37, 34
2016/6/6, 27, 47
2016/6/7, 29, 35
2016/6/8, 25, 58
2016/6/9, 32, 59
2016/6/10, 35, 63
2016/6/11, 35, 45
2016/6/12, 34, 55
2016/6/13, 43, 56
2016/6/14, 43, 36
2016/6/15, 37, 51
2016/6/16, 40, 70
2016/6/17, 37, 50
2016/6/18, 31, 19
2016/6/19, 38, 
2016/6/20, 39, 
2016/6/21, 42, 
2016/6/22, 36, 27
2016/6/23, 42, 45
2016/6/24, 41, 67
2016/6/25, 33, 44
2016/6/26, 39, 35
2016/6/27, 35, 50
2016/6/28, 30, 39
2016/6/29, 32, 45
2016/6/30, 26, 34
2016/7/1, 26, 39
2016/1/5, 60, 21
2016/1/6, 69, 17
2016/1/7, 69, 16
2016/1/8, 70, 14
2016/1/9, 65, 24
2016/1/10, 65, 24
2016/1/11, 36, 22
2016/1/12, 64, 24
2016/1/13, 57, 23
2016/1/14, 36, 32
2016/1/15, 2, 26
2016/1/16, 33, 20
2016/1/17, 185, 24
2016/1/18, 120, 23
2016/1/20, 39, 15
2016/1/21, 62, 18
2016/1/22, 72, 22
2016/1/23, 77, 20
2016/1/24, 62, 23
2016/1/25, 56, 22
2016/1/26, 50, 21
2016/1/27, 45, 23
2016/1/28, 42, 25
2016/1/29, 33, 21
2016/1/30, 31, 32
2016/1/31, 38, 29
2016/2/1, 47, 28
2016/2/2, 36, 20
2016/2/3, 46, 23
2016/2/4, 23, 25
2016/2/5, 35, 19
2016/2/6, 44, 28
2016/2/7, 55, 29
2016/2/8, 43, 23
2016/2/9, 20, 25
2016/2/10, 29, 25
2016/2/11, 27, 25
2016/2/12, 40, 28
2016/2/13, 50, 27
2016/2/14, 26, 23
2016/2/15, 42, 14
2016/2/16, 71, 10
2016/2/17, 74, 20
2016/2/18, 51, 31
2016/2/19, 54, 34
2016/2/20, 34, 38
2016/2/21, 44, 22
2016/2/22, 47, 19
2016/2/24, 51, 23
2016/2/25, 42, 20
2016/2/26, 38, 20
2016/2/27, 43, 30
2016/2/28, 53, 39
2016/2/29, 41, 28
2016/3/1, 36, 22
2016/3/2, 39, 22
2016/3/3, 44, 13
2016/3/4, 49, 18
2016/3/5, 64, 24
2016/3/6, 56, 26
2016/3/7, 48, 38
2016/3/8, 35, 32
2016/3/9, 40, 23
2016/3/10, 30, 17
2016/3/11, 37, 22
2016/3/12, 45, 11
2016/3/13, 54, 6
2016/3/14, 31, 17
2016/3/15, 35, 36
2016/3/16, 37, 31
2016/3/17, 24, 34
2016/3/18, 36, 24
2016/3/19, 39, 27
2016/3/20, 34, 23
2016/3/21, 41, 34
2016/3/22, 49, 37
2016/3/23, 40, 32
2016/3/24, 29, 28
2016/3/25, 29, 32
2016/3/26, 37, 33
2016/3/27, 52, 25
2016/3/28, 56, 32
2016/3/29, 42, 36
2016/3/30, 41, 32
2016/3/31, 40, 29
2016/4/1, 20, 26
2015/10/2, 29, 28
2015/10/3, 20, 26
2015/10/4, 19, 17
2015/10/5, 27, 10
2015/10/6, 50, 25
2015/10/7, 57, 19
2015/10/8, 48, 31
2015/10/9, 47, 19
2015/10/10, 41, 29
2015/10/11, 31, 31
2015/10/12, 35, 30
2015/10/13, 38, 25
2015/10/14, 19, 27
2015/10/15, 30, 33
2015/10/16, 44, 26
2015/10/17, 24, 27
2015/10/18, 42, 29
2015/10/19, 19, 36
2015/10/21, 54, 38
2015/10/22, 75, 42
2015/10/23, 83, 23
2015/10/24, 67, 16
2015/10/25, 53, 23
2015/10/26, 51, 27
2015/10/27, 49, 13
2015/10/28, 54, 14
2015/10/29, 51, 21
2015/10/30, 24, 19
2015/10/31, 14, 20
2015/11/7, 31, 23
2015/11/8, 34, 25
2015/11/9, 12, 23
2015/11/10, 8, 27
2015/11/11, 36, 23
2015/11/12, 50, 23
2015/11/13, 31, 24
2015/11/14, 23, 25
2015/11/15, 9, 29
2015/11/18, 18, 26
2015/11/19, 19, 25
2015/11/20, 13, 26
2015/11/25, 25, 27
2015/11/26, 44, 28
2015/11/27, 46, 19
2015/11/28, 27, 16
2015/11/29, 37, 12
2015/11/30, 49, 6
2015/12/1, 53, 17
2015/12/2, 31, 16
2015/12/3, 35, 12
2015/12/4, 55, 14
2015/12/5, 56, 13
2015/12/6, 63, 11
2015/12/7, 62, 11
2015/12/8, 67, 22
2015/12/9, 54, 16
2015/12/10, 48, 18
2015/12/11, 43, 13
2015/12/12, 61, 16
2015/12/13, 53, 28
2015/12/14, 40, 30
2015/12/15, 22, 8
2015/12/16, 32, 20
2015/12/17, 35, 19
2015/12/18, 25, 25
2015/12/19, 27, 15
2015/12/20, 35, 27
2015/12/21, 37, 21
2015/12/23, 51, 23
2015/12/24, 34, 19
2015/12/25, 20, 
2015/12/30, 44, 16
2015/12/31, 53, 23
2016/1/1, 47, 
2016/1/4, 61, 24
2015/7/31, 13, 36
2015/8/1, 29, 44
2015/8/2, 39, 39
2015/8/3, 38, 39
2015/8/4, 43, 50
2015/8/5, 42, 49
2015/8/6, 33, 33
2015/8/7, 39, 38
2015/8/8, 44, 41
2015/8/9, 50, 40
2015/8/10, 65, 32
2015/8/11, 65, 31
2015/8/12, 31, 26
2015/8/13, 35, 35
2015/8/14, 49, 67
2015/8/15, 58, 49
2015/8/16, 55, 47
